X Lag Time,Record 1: MQW_0rpm_0min 1,Record 2: MQW_0rpm_0min 2,Record 3: MQW_0rpm_0min 3,X Intensity,Record 1: MQW_0rpm_0min 1,Record 2: MQW_0rpm_0min 2,Record 3: MQW_0rpm_0min 3
0.5,0.06,0.0673,0.0703,0.4,0,0,0
1,0.0426,0.0416,0.0518,0.463,0,0,0
1.5,0.0442,0.0362,0.0474,0.536,0,0,0
2,0.0395,0.0388,0.0382,0.621,0,0,12.5
2.5,0.0456,0.0331,0.0308,0.719,0,0,8.13
3,0.0351,0.0359,0.0297,0.833,0,0,3.53
3.5,0.0379,0.023,0.026,0.965,0,0,0.624
4,0.0361,0.0253,0.0379,1.12,0.326,0,0
4.5,0.032,0.0293,0.0289,1.29,1.94,0,0
5.5,0.0262,0.0336,0.0263,1.5,4.47,0,0
6.5,0.0249,0.0209,0.0263,1.74,7.03,0,0
7.5,0.0231,0.0268,0.0254,2.01,8.76,0,0
8.5,0.0193,0.0271,0.0201,2.33,9.15,0,0
9.5,0.0206,0.0197,0.0205,2.7,8.17,0.106,0
10.5,0.0194,0.0199,0.0178,3.12,6.2,1.08,0
11.5,0.0165,0.0123,0.0151,3.62,3.85,2.92,0
12.5,0.0201,0.0153,0.0164,4.19,1.78,5.23,0
14.5,0.0145,0.0177,0.0184,4.85,0.46,7.48,0.251
16.5,0.0147,0.0115,0.0144,5.61,0,9.2,1.28
18.5,0.0133,0.0125,0.00947,6.5,0,10.1,2.99
20.5,0.0145,0.00829,0.0125,7.53,0,10,4.97
22.5,0.0196,0.00906,0.0129,8.72,0,9.1,6.74
24.5,0.0123,0.0137,0.0117,10.1,0,7.52,7.89
26.5,0.0134,0.0111,0.00706,11.7,0,5.6,8.18
28.5,0.00974,0.00981,0.0106,13.5,0,3.67,7.6
32.5,0.0114,0.00643,0.00905,15.7,0.217,2.02,6.29
36.5,0.012,0.00478,0.00819,18.2,0.686,0.834,4.57
40.5,0.0103,0.00561,0.0095,21,1.32,0.191,2.79
44.5,0.0102,0.00726,0.00664,24.4,2,0,1.31
48.5,0.0117,0.00558,0.00663,28.2,2.6,0,0.364
52.5,0.0103,0.00463,0.00961,32.7,3,0,0
56.5,0.00908,0.00686,0.00584,37.8,3.17,0,0
60.5,0.00678,0.00672,0.00541,43.8,3.08,0,0
68.5,0.0102,0.00431,0.00481,50.7,2.79,0,0
76.5,0.00984,0.00523,0.00693,58.8,2.33,0,0
84.5,0.0055,0.0049,0.00437,68.1,1.79,0,0
92.5,0.00677,0.00574,0.00497,78.8,1.25,0,0
101,0.00736,0.00468,0.00361,91.3,0.768,0,0
109,0.00686,0.00243,0.00572,106,0.392,0,0
117,0.00472,0.00353,0.00585,122,0.147,0,0
125,0.0056,0.00379,0.00514,142,0.0278,0,0
141,0.00662,0.00295,0.00441,164,0,0,0
157,0.00734,0.00432,0.0052,190,0,0,0
173,0.00616,0.00383,0.00466,220,0,0.0111,0
189,0.00611,0.00164,0.00443,255,0,0.0501,0
205,0.00717,0.00451,0.00486,295,0,0.124,0
221,0.00598,0.00287,0.00445,342,0,0.232,0
237,0.00309,0.00453,0.0032,396,0,0.371,0
253,0.0051,0.00397,0.00413,459,0.0085,0.533,0
285,0.0064,0.00285,0.00432,531,0.0481,0.711,0
317,0.00501,0.00334,0.00303,615,0.131,0.894,0
349,0.00501,0.00295,0.00396,712,0.261,1.08,0
381,0.004,0.00236,0.00481,825,0.437,1.25,0
413,0.00429,0.00252,0.00477,955,0.65,1.4,0.0374
445,0.00547,0.0029,0.00415,1.11E+03,0.89,1.53,0.152
477,0.00541,0.00167,0.00424,1.28E+03,1.14,1.64,0.357
509,0.00482,0.00272,0.00407,1.48E+03,1.4,1.71,0.647
573,0.00337,0.00315,0.00302,1.72E+03,1.63,1.76,1
637,0.00415,0.00247,0.0033,1.99E+03,1.84,1.77,1.39
701,0.00388,0.00193,0.0029,2.30E+03,2,1.74,1.78
765,0.00311,0.00189,0.00293,2.67E+03,2.11,1.68,2.13
829,0.00227,0.00193,0.00264,3.09E+03,2.16,1.59,2.42
893,0.00177,0.000982,0.00221,3.58E+03,2.13,1.46,2.6
957,0.00166,0.00151,0.00291,4.15E+03,2.03,1.31,2.65
1.02E+03,0.00143,0.00104,0.00205,4.80E+03,1.85,1.13,2.55
1.15E+03,0.00115,0.000449,0.00177,5.56E+03,1.59,0.936,2.31
1.28E+03,0.000548,0.000433,0.00124,6.44E+03,0,0,0
1.40E+03,0.000601,0.000212,0.00123,7.46E+03,0,0,0
1.53E+03,0.000486,0.00029,0.00152,8.63E+03,0,0,0
1.66E+03,0.000295,0.000136,0.00101,,,,
1.79E+03,0.000428,5.04E-05,0.00079,,,,
1.92E+03,0.000307,0,0.00134,,,,
2.04E+03,0.000198,4.19E-05,0.00115,,,,
2.30E+03,0.000217,4.57E-05,0.00146,,,,
2.56E+03,0.000344,0.000702,0.00173,,,,
2.81E+03,0.00129,0.00144,0.00267,,,,
3.07E+03,0.00246,0.00226,0.00351,,,,
3.32E+03,0.00335,0.00289,0.00387,,,,
3.58E+03,0.0036,0.00283,0.00426,,,,
3.84E+03,0.00379,0.00309,0.00436,,,,
4.09E+03,0.00272,0.00285,0.00404,,,,
4.60E+03,0.00119,0.00121,0.00197,,,,
5.12E+03,8.73E-05,0.000199,0.00141,,,,
5.63E+03,0,0,0.00117,,,,
6.14E+03,0.000206,0.000448,0.00147,,,,
6.65E+03,0.00216,0.00183,0.00281,,,,
7.16E+03,0.00374,0.00304,0.00416,,,,
7.68E+03,0.00328,0.00274,0.00363,,,,
8.19E+03,0.00144,0.00134,0.00216,,,,
9.21E+03,0.000219,0.000234,0.00128,,,,
1.02E+04,0.00173,0.00152,0.00254,,,,
1.13E+04,0.0033,0.00225,0.00333,,,,
1.23E+04,0.000802,0.000479,0.00156,,,,
1.33E+04,0.000751,0.000329,0.00136,,,,
1.43E+04,0.00293,0.00216,0.00324,,,,
1.54E+04,0.00201,0.00121,0.00261,,,,
1.64E+04,0.00101,0.000677,0.00173,,,,
1.84E+04,0.00215,0.00127,0.00247,,,,
2.05E+04,0.00146,0.000758,0.00183,,,,
2.25E+04,0.00201,0.00107,0.0021,,,,
2.46E+04,0.00217,0.000846,0.00213,,,,
2.66E+04,0.00191,0.000784,0.00179,,,,
2.87E+04,0.00254,0.00101,0.00226,,,,
3.07E+04,0.00209,0.000759,0.0018,,,,
3.28E+04,0.00134,0.00096,0.00205,,,,
3.69E+04,0.00168,0.00096,0.00198,,,,
4.10E+04,0.00132,0.000842,0.00195,,,,
4.51E+04,0.00142,0.000876,0.00193,,,,
4.91E+04,0.00135,0.00094,0.00181,,,,
5.32E+04,0.00128,0.000951,0.00186,,,,
5.73E+04,0.00122,0.00086,0.00188,,,,
6.14E+04,0.00135,0.000892,0.00181,,,,
6.55E+04,0.00192,0.000907,0.00183,,,,
7.37E+04,0.0017,0.000884,0.00175,,,,
8.19E+04,0.00193,0.000881,0.00165,,,,
9.01E+04,0.00165,0.000874,0.00174,,,,
9.83E+04,0.00168,0.000924,0.00153,,,,
1.06E+05,0.00176,0.000792,0.00153,,,,
1.15E+05,0.00175,0.000771,0.0014,,,,
1.23E+05,0.00157,0.000727,0.00143,,,,
1.31E+05,0.00128,0.00086,0.00134,,,,
1.47E+05,0.00138,0.000791,0.00111,,,,
1.64E+05,0.00189,0.000861,0.00101,,,,
1.80E+05,0.00121,0.000883,0.000921,,,,
1.97E+05,0.00147,0.000873,0.000785,,,,
2.13E+05,0.00165,0.000824,0.000723,,,,
2.29E+05,0.00174,0.00077,0.000674,,,,
