X Lag Time,Record 1: H2O_000rpm_00-00min_NA_No3_230530 1,Record 2: H2O_000rpm_00-00min_NA_No3_230530 2,Record 3: H2O_000rpm_00-00min_NA_No3_230530 3,X Intensity,Record 1: H2O_000rpm_00-00min_NA_No3_230530 1,Record 2: H2O_000rpm_00-00min_NA_No3_230530 2,Record 3: H2O_000rpm_00-00min_NA_No3_230530 3
0.5,0.0194,0.0223,0.0283,0.4,0,0,0
1,0.016,0.0183,0.0207,0.463,0,0,0
1.5,0.0126,0.0223,0.017,0.536,0,0,0
2,0.0129,0.013,0.0166,0.621,0,10.6,0
2.5,0.0119,0.0154,0.0139,0.719,0,10,0
3,0.0103,0.0146,0.0162,0.833,0,8.13,0
3.5,0.0104,0.0119,0.0138,0.965,0,5.62,0
4,0.0133,0.00977,0.0121,1.12,0,3.18,0.0325
4.5,0.0115,0.0108,0.014,1.29,0,1.31,0.268
5.5,0.0093,0.0119,0.0122,1.5,0.0235,0.282,0.772
6.5,0.00888,0.0108,0.00853,1.74,0.285,0,1.53
7.5,0.00709,0.0103,0.00982,2.01,0.859,0,2.46
8.5,0.00703,0.00938,0.00839,2.33,1.72,0,3.47
9.5,0.00767,0.00724,0.00765,2.7,2.78,0,4.43
10.5,0.0067,0.00454,0.00706,3.12,3.93,0,5.23
11.5,0.00604,0.00677,0.00855,3.62,5.05,0.13,5.8
12.5,0.00572,0.00531,0.00858,4.19,6.02,0.482,6.1
14.5,0.00504,0.00695,0.00662,4.85,6.76,1.04,6.09
16.5,0.00538,0.00501,0.00318,5.61,7.19,1.73,5.81
18.5,0.00465,0.00444,0.00614,6.5,7.31,2.45,5.31
20.5,0.00349,0.00356,0.00453,7.53,7.1,3.1,4.64
22.5,0.00429,0.00412,0.00402,8.72,6.59,3.61,3.88
24.5,0.00361,0.00306,0.00573,10.1,5.85,3.92,3.1
26.5,0.00253,0.00332,0.00289,11.7,4.94,4,2.36
28.5,0.00274,0.00272,0.00359,13.5,3.94,3.87,1.72
32.5,0.00301,0.00391,0.00265,15.7,2.95,3.53,1.19
36.5,0.00228,0.00398,0.00266,18.2,2.02,3.06,0.803
40.5,0.00216,0.00243,0.00296,21,1.24,2.49,0.554
44.5,0.00123,0.00461,0.00346,24.4,0.649,1.89,0.433
48.5,0.00245,0.00293,0.00105,28.2,0.258,1.32,0.421
52.5,0.00173,0.003,0.00287,32.7,0.0571,0.819,0.492
56.5,0.00149,0.00205,0.00367,37.8,0,0.434,0.62
60.5,0.00205,0.00199,0.00252,43.8,0,0.176,0.778
68.5,0.00142,0.0027,0.00113,50.7,0,0.0411,0.943
76.5,0.00166,0.00211,0.00124,58.8,0,0,1.1
84.5,0.00112,0.00221,0.0015,68.1,0,0,1.22
92.5,0.00184,0.00197,0.00129,78.8,0,0,1.31
101,0.00201,0.00133,0.00131,91.3,0,0,1.36
109,0.00187,0.00248,0.00124,106,0,0,1.37
117,0.00132,0.00132,0.00187,122,0,0,1.34
125,0.00105,0.00147,0.00202,142,0,0,1.27
141,0.0012,0.00182,0.00137,164,0,0,1.19
157,0.00128,0.0023,0.00134,190,0,0,1.09
173,0.000913,0.00197,0.00117,220,0,0.00102,0.981
189,0.00134,0.00166,0.00107,255,0,0.0186,0.876
205,0.00131,0.00143,0.000969,295,0,0.0614,0.78
221,0.00116,0.00117,0.00122,342,0,0.133,0.699
237,0.00152,0.00181,0.00123,396,0,0.233,0.638
253,0.00115,0.00171,0.00147,459,0.014,0.359,0.6
285,0.00102,0.00198,0.00126,531,0.0611,0.506,0.585
317,0.0012,0.00137,0.000992,615,0.151,0.667,0.594
349,0.00126,0.00178,0.00134,712,0.288,0.836,0.624
381,0.00105,0.00151,0.000865,825,0.466,1.01,0.671
413,0.00131,0.00125,0.000877,955,0.681,1.17,0.733
445,0.00129,0.00168,0.00106,1.11E+03,0.919,1.32,0.804
