X Lag Time,Record 1: MQW_0rpm_10min_PMMA 1,Record 2: MQW_0rpm_10min_PMMA 2,Record 3: MQW_0rpm_10min_PMMA 3,X Intensity,Record 1: MQW_0rpm_10min_PMMA 1,Record 2: MQW_0rpm_10min_PMMA 2,Record 3: MQW_0rpm_10min_PMMA 3
0.5,0.142,0.162,0.221,0.4,0,0,0
1,0.114,0.118,0.188,0.463,0,0,0
1.5,0.107,0.11,0.191,0.536,0,0,0
2,0.104,0.115,0.182,0.621,0,0,0
2.5,0.0964,0.108,0.181,0.719,0,0,0
3,0.0886,0.102,0.18,0.833,0,0,0
3.5,0.104,0.0999,0.191,0.965,0,0,0
4,0.0891,0.105,0.178,1.12,0,0,0
4.5,0.0878,0.105,0.177,1.29,0.543,0,0
5.5,0.0904,0.0943,0.17,1.5,2.09,0,0
6.5,0.0803,0.0973,0.172,1.74,3.7,0,0
7.5,0.0789,0.0952,0.168,2.01,4.44,0,0
8.5,0.0786,0.0963,0.169,2.33,3.98,0.558,0
9.5,0.0698,0.097,0.17,2.7,2.68,1.8,0
10.5,0.0688,0.0848,0.164,3.12,1.23,3.09,1.32
11.5,0.0718,0.0844,0.166,3.62,0.274,3.78,3.09
12.5,0.0696,0.0831,0.16,4.19,0,3.58,3.72
14.5,0.0653,0.0825,0.153,4.85,0,2.64,2.67
16.5,0.0707,0.0837,0.159,5.61,0.518,1.43,0.917
18.5,0.0709,0.0747,0.156,6.5,1.4,0.452,0
20.5,0.0653,0.0744,0.151,7.53,2.29,0,0
22.5,0.0636,0.0734,0.143,8.72,2.81,0,0
24.5,0.0563,0.0783,0.148,10.1,2.78,0,0
26.5,0.0574,0.0739,0.143,11.7,2.24,0.179,0
28.5,0.055,0.071,0.14,13.5,1.41,0.588,0
32.5,0.0559,0.0697,0.138,15.7,0.612,1.11,0
36.5,0.0528,0.0702,0.137,18.2,0.119,1.58,0
40.5,0.0512,0.0669,0.137,21,0,1.84,0
