X Lag Time,Record 1: H2O_000rpm_10-00min_PM_No2_230530 1,Record 2: H2O_000rpm_10-00min_PM_No2_230530 2,Record 3: H2O_000rpm_10-00min_PM_No2_230530 3,X Intensity,Record 1: H2O_000rpm_10-00min_PM_No2_230530 1,Record 2: H2O_000rpm_10-00min_PM_No2_230530 2,Record 3: H2O_000rpm_10-00min_PM_No2_230530 3
0.5,0.0645,0.0559,0.0765,0.4,0,0,0
1,0.0507,0.0447,0.0648,0.463,0,0,0
1.5,0.0513,0.0393,0.0648,0.536,0,0,0
2,0.0423,0.0367,0.0605,0.621,0,0,0
2.5,0.0379,0.0389,0.0625,0.719,0,0,0
3,0.0344,0.0383,0.0565,0.833,0.367,0,0
3.5,0.0449,0.0362,0.0629,0.965,1.36,0,0
4,0.0353,0.0344,0.0601,1.12,2.85,0,0
4.5,0.0345,0.0317,0.0597,1.29,4.42,0,0
5.5,0.0327,0.0351,0.0549,1.5,5.66,0,0.62
6.5,0.0317,0.0329,0.0522,1.74,6.22,0,1.77
7.5,0.0299,0.0307,0.0519,2.01,5.96,0.292,2.91
8.5,0.0265,0.0262,0.0519,2.33,4.99,1.15,3.58
9.5,0.0214,0.0277,0.0488,2.7,3.57,2.42,3.57
10.5,0.025,0.0264,0.0464,3.12,2.09,3.77,2.98
11.5,0.0196,0.0226,0.0475,3.62,0.887,4.83,2.08
12.5,0.0228,0.025,0.0494,4.19,0.195,5.37,1.16
14.5,0.0248,0.0267,0.0488,4.85,0,5.27,0.473
16.5,0.0234,0.0243,0.045,5.61,0,4.6,0.102
18.5,0.0238,0.0206,0.0462,6.5,0,3.53,0
20.5,0.021,0.0249,0.0467,7.53,0,2.3,0
22.5,0.0165,0.0206,0.0446,8.72,0,1.18,0
24.5,0.0204,0.0212,0.043,10.1,0.107,0.393,0
26.5,0.0191,0.02,0.0435,11.7,0.393,0.025,0
28.5,0.0197,0.0206,0.0439,13.5,0.82,0,0
32.5,0.0183,0.0184,0.0419,15.7,1.29,0,0
36.5,0.0172,0.0168,0.0412,18.2,1.71,0,0
40.5,0.0181,0.0192,0.0411,21,1.98,0,0
44.5,0.0173,0.0183,0.0408,24.4,2.05,0,0
48.5,0.0145,0.0171,0.0378,28.2,1.93,0,0
52.5,0.0155,0.0157,0.0384,32.7,1.65,0,0
56.5,0.0142,0.0154,0.0381,37.8,1.27,0,0
60.5,0.0143,0.014,0.0384,43.8,0.853,0,0
68.5,0.0148,0.0151,0.0364,50.7,0.48,0,0
76.5,0.0132,0.0145,0.0373,58.8,0.212,0,0
84.5,0.0135,0.0146,0.0369,68.1,0.0921,0.0897,0
92.5,0.0125,0.0145,0.0346,78.8,0.143,0.427,0
101,0.0128,0.0142,0.0354,91.3,0.363,1.05,0.328
109,0.0115,0.0134,0.0339,106,0.733,1.91,1.27
117,0.0116,0.0134,0.0346,122,1.22,2.91,2.79
125,0.0121,0.013,0.0332,142,1.76,3.94,4.66
141,0.0112,0.0126,0.0308,164,2.33,4.89,6.57
157,0.0107,0.0119,0.0294,190,2.87,5.65,8.22
173,0.00969,0.012,0.0293,220,3.33,6.15,9.34
189,0.00942,0.0112,0.0281,255,3.68,6.35,9.79
205,0.0088,0.0112,0.0264,295,3.9,6.25,9.53
221,0.00944,0.0103,0.0258,342,3.98,5.86,8.6
237,0.00929,0.0118,0.0246,396,3.91,5.23,7.17
253,0.0081,0.00991,0.0237,459,3.7,4.43,5.46
285,0.00736,0.00798,0.0212,531,3.38,3.53,3.7
317,0.0063,0.00889,0.0204,615,2.97,2.62,2.13
349,0.00617,0.0073,0.0184,712,2.5,1.77,0.95
381,0.00635,0.00752,0.0161,825,2,1.06,0.25
413,0.00555,0.00724,0.0152,955,1.51,0.521,0
445,0.00604,0.00608,0.0139,1.11E+03,1.06,0.182,0
477,0.00549,0.00616,0.0127,1.28E+03,0.677,0.0269,0
509,0.00463,0.00517,0.0117,1.48E+03,0.375,0,0
573,0.00339,0.00393,0.00977,1.72E+03,0.165,0,0
637,0.0025,0.0037,0.00803,1.99E+03,0.0451,0,0
701,0.00253,0.00261,0.00657,2.30E+03,0,0,0
765,0.000939,0.00253,0.00537,2.67E+03,0,0,0
829,0.00178,0.00177,0.00478,3.09E+03,0,0,0
893,0.0011,0.00138,0.00436,3.58E+03,0,0,0
957,0.000415,0.000981,0.00346,4.15E+03,0,0,0
1.02E+03,0.000424,0.000672,0.0028,4.80E+03,0,0,0
1.15E+03,0.000183,0.000221,0.00205,5.56E+03,0,0,0
1.28E+03,0.000132,0.000151,0.0019,6.44E+03,0,0,0
1.40E+03,1.83E-05,0,0.00137,7.46E+03,0,0,0
1.53E+03,9.22E-05,1.62E-05,0.00102,8.63E+03,0,0,0
1.66E+03,0.000385,0,0.00129,,,,
1.79E+03,0.000103,0,0.0012,,,,
1.92E+03,0.000262,0,0.00142,,,,
2.04E+03,0.000151,0,0.00114,,,,
2.30E+03,0.00015,0,0.00104,,,,
2.56E+03,0.000131,0.000142,0.00125,,,,
2.81E+03,0.000469,0.000609,0.00128,,,,
3.07E+03,0.000917,0.00178,0.00137,,,,
3.32E+03,0.00111,0.00261,0.00119,,,,
3.58E+03,0.00141,0.00288,0.00103,,,,
