X Lag Time,Record 1: H2O_000rpm_10-00min_ST_No3_230530 1,Record 2: H2O_000rpm_10-00min_ST_No3_230530 2,Record 3: H2O_000rpm_10-00min_ST_No3_230530 3,X Intensity,Record 1: H2O_000rpm_10-00min_ST_No3_230530 1,Record 2: H2O_000rpm_10-00min_ST_No3_230530 2,Record 3: H2O_000rpm_10-00min_ST_No3_230530 3
0.5,0.103,0.135,0.174,0.4,0,0,0
1,0.064,0.0996,0.145,0.463,0,0,0
1.5,0.0495,0.108,0.121,0.536,0,0,0
2,0.0617,0.0847,0.118,0.621,0,0,0
2.5,0.0555,0.0891,0.119,0.719,0,0,0
3,0.0481,0.0906,0.12,0.833,0,0,0
3.5,0.0499,0.0843,0.112,0.965,0,0,0
4,0.0346,0.0775,0.11,1.12,0,0,0
4.5,0.0371,0.0747,0.112,1.29,0.162,0,0
5.5,0.0338,0.0742,0.116,1.5,1.23,0,0
6.5,0.0304,0.0642,0.103,1.74,3.03,0,0.259
7.5,0.0397,0.0732,0.0992,2.01,5.02,0,0.727
8.5,0.0314,0.0672,0.104,2.33,6.62,0,1.19
9.5,0.0264,0.0702,0.107,2.7,7.42,0,1.51
10.5,0.0257,0.0704,0.0975,3.12,7.26,0,1.66
11.5,0.0318,0.0594,0.093,3.62,6.27,0.0246,1.72
12.5,0.0275,0.0643,0.0902,4.19,4.75,1.39,1.79
14.5,0.0235,0.0577,0.0954,4.85,3.06,3.55,1.88
16.5,0.0211,0.0531,0.0916,5.61,1.59,5.36,1.92
18.5,0.0119,0.0598,0.0941,6.5,0.573,5.91,1.8
20.5,0.0171,0.0576,0.0882,7.53,0.0845,4.96,1.43
22.5,0.0162,0.0525,0.0882,8.72,0,3.02,0.861
24.5,0.0154,0.0495,0.0864,10.1,0,1.07,0.302
26.5,0.0197,0.0512,0.0897,11.7,0,0,0
28.5,0.0198,0.0505,0.0863,13.5,0.12,0,0
32.5,0.0149,0.0477,0.0797,15.7,0.393,0,0
36.5,0.0184,0.0459,0.0799,18.2,0.793,0,0
40.5,0.0136,0.0425,0.0773,21,1.27,0,0
44.5,0.0143,0.0421,0.0799,24.4,1.76,0,0
48.5,0.00994,0.0497,0.0758,28.2,2.21,0,0
52.5,0.013,0.0434,0.0753,32.7,2.59,0,0
56.5,0.00825,0.0416,0.0751,37.8,2.86,0,0
60.5,0.0103,0.0398,0.0746,43.8,3.01,0,0
68.5,0.0098,0.0398,0.0712,50.7,3.05,0,0
76.5,0.0102,0.0401,0.0694,58.8,2.97,0,0
84.5,0.00907,0.0386,0.0683,68.1,2.81,0,0
92.5,0.00584,0.0351,0.0672,78.8,2.57,0,0
101,0.0055,0.0358,0.066,91.3,2.28,0.6,0.158
109,0.0102,0.0348,0.0615,106,1.96,1.99,1.38
117,0.00776,0.0326,0.0638,122,1.63,3.96,3.65
125,0.00788,0.0305,0.0614,142,1.32,6.11,6.47
141,0.00639,0.0322,0.06,164,1.03,8.04,9.19
157,0.00586,0.029,0.0557,190,0.777,9.39,11.2
173,0.00833,0.0282,0.0547,220,0.568,9.93,12
189,0.00337,0.028,0.0505,255,0.408,9.61,11.7
205,0.00568,0.0261,0.05,295,0.297,8.51,10.1
221,0.00512,0.0235,0.0466,342,0.235,6.84,7.82
237,0.00538,0.0228,0.043,396,0.219,4.89,5.22
253,0.00493,0.0224,0.0419,459,0.242,2.99,2.82
285,0.004,0.0205,0.0391,531,0.301,1.44,1.07
317,0.00457,0.0184,0.0353,615,0.387,0.423,0.168
349,0.00374,0.0162,0.0321,712,0.493,0,0
381,0.00492,0.0155,0.0287,825,0.612,0,0
413,0.0039,0.0146,0.0263,955,0.736,0,0
445,0.00302,0.013,0.0237,1.11E+03,0.86,0,0
477,0.00366,0.013,0.021,1.28E+03,0.975,0,0
509,0.0041,0.0103,0.0199,1.48E+03,1.08,0,0
573,0.00361,0.00788,0.0165,1.72E+03,1.16,0,0
637,0.00368,0.0072,0.0146,1.99E+03,1.22,0,0
701,0.00222,0.00523,0.0119,2.30E+03,1.25,0,0
765,0.00285,0.00585,0.0106,2.67E+03,1.25,0,0
829,0.00153,0.00397,0.0096,3.09E+03,1.23,0,0
893,0.00248,0.00322,0.00833,3.58E+03,1.17,0,0
957,0.0012,0.00395,0.00792,4.15E+03,1.07,0,0
1.02E+03,0.00144,0.00308,0.0075,4.80E+03,0.951,0,0
1.15E+03,0.00191,0.00185,0.00622,5.56E+03,0.802,0,0
1.28E+03,0.00156,0.0021,0.00527,6.44E+03,0,0,0
1.40E+03,0.000942,0.0014,0.00531,7.46E+03,0,0,0
1.53E+03,0.00104,0.00314,0.00514,8.63E+03,0,0,0
1.66E+03,0.00106,0.00181,0.00562,,,,
1.79E+03,0.000851,0.00126,0.00502,,,,
1.92E+03,0.000957,0.00181,0.00565,,,,
2.04E+03,0.000822,0.00149,0.00517,,,,
2.30E+03,0.00068,0.00199,0.00571,,,,
2.56E+03,0.00114,0.0016,0.0052,,,,
2.81E+03,0.00116,0.0015,0.00525,,,,
3.07E+03,0.00118,0.00195,0.00472,,,,
