X Lag Time,Record 1: H2O_200rpm_10min_PMMA 1,Record 2: H2O_200rpm_10min_PMMA 2,Record 3: H2O_200rpm_10min_PMMA 3,X Intensity,Record 1: H2O_200rpm_10min_PMMA 1,Record 2: H2O_200rpm_10min_PMMA 2,Record 3: H2O_200rpm_10min_PMMA 3
0.5,0.821,0.835,0.824,0.4,0,0,0
1,0.82,0.834,0.824,0.463,0,0,0
1.5,0.821,0.833,0.82,0.536,0,0,0
2,0.814,0.828,0.822,0.621,0,0,0
2.5,0.816,0.832,0.818,0.719,0,0,0
3,0.81,0.829,0.815,0.833,0,0,0
3.5,0.811,0.826,0.817,0.965,0,0,0
4,0.811,0.822,0.816,1.12,0,0,0
4.5,0.809,0.82,0.812,1.29,0,0,0
5.5,0.807,0.818,0.809,1.5,0,0,0
6.5,0.803,0.816,0.807,1.74,0,0,0
7.5,0.799,0.815,0.802,2.01,0,0,0
8.5,0.797,0.81,0.798,2.33,0,0,0
9.5,0.795,0.809,0.798,2.7,0,0,0
10.5,0.792,0.804,0.793,3.12,0,0,0
11.5,0.789,0.804,0.79,3.62,0,0,0
12.5,0.788,0.8,0.788,4.19,0,0,0
14.5,0.783,0.796,0.786,4.85,0,0,0
16.5,0.777,0.791,0.777,5.61,0,0,0
18.5,0.772,0.786,0.773,6.5,0,0,0
20.5,0.769,0.782,0.769,7.53,0,0,0
22.5,0.762,0.777,0.762,8.72,0,0,0
24.5,0.759,0.773,0.761,10.1,0,0,0
26.5,0.757,0.766,0.756,11.7,0,0,0
28.5,0.751,0.763,0.75,13.5,0,0,0
32.5,0.741,0.754,0.742,15.7,0,0,0
36.5,0.732,0.744,0.732,18.2,0,0,0
40.5,0.723,0.737,0.723,21,0,0,0
44.5,0.716,0.726,0.713,24.4,0,0,0
48.5,0.706,0.718,0.705,28.2,0,0,0
52.5,0.698,0.711,0.696,32.7,0,0,0
56.5,0.69,0.701,0.688,37.8,0,0,0
60.5,0.682,0.694,0.679,43.8,0,0,0
68.5,0.666,0.677,0.663,50.7,0,0,0
76.5,0.65,0.662,0.648,58.8,0,0,0
84.5,0.636,0.647,0.632,68.1,0,0,0
92.5,0.621,0.633,0.616,78.8,0,0.321,0
101,0.607,0.618,0.603,91.3,0.223,1.66,0.543
109,0.593,0.605,0.588,106,1.85,3.77,2.81
117,0.58,0.591,0.574,122,5.03,6.13,6.31
125,0.567,0.578,0.561,142,9.12,8.24,9.97
141,0.541,0.552,0.535,164,13.1,9.78,12.8
157,0.517,0.528,0.511,190,15.8,10.6,14.2
173,0.495,0.506,0.487,220,16.6,10.7,13.9
189,0.474,0.484,0.465,255,15,10.1,12.2
205,0.453,0.464,0.444,295,11.7,9.05,9.51
221,0.434,0.444,0.424,342,7.39,7.63,6.49
237,0.415,0.425,0.405,396,3.4,6.05,3.69
253,0.398,0.408,0.388,459,0.813,4.46,1.58
285,0.366,0.375,0.354,531,0,3,0.381
317,0.336,0.346,0.325,615,0,1.78,0
349,0.309,0.319,0.298,712,0,0.882,0
381,0.285,0.295,0.274,825,0,0.318,0
413,0.263,0.273,0.252,955,0,0.0544,0
445,0.244,0.254,0.232,1.11E+03,0,0,0
477,0.226,0.236,0.214,1.28E+03,0,0,0
509,0.21,0.22,0.198,1.48E+03,0,0,0
573,0.181,0.192,0.17,1.72E+03,0,0,0
637,0.158,0.168,0.148,1.99E+03,0,0.0218,0
701,0.137,0.148,0.129,2.30E+03,0,0.116,0
765,0.12,0.131,0.112,2.67E+03,0,0.295,0.0354
829,0.106,0.117,0.0979,3.09E+03,0,0.543,0.244
893,0.0942,0.105,0.0851,3.58E+03,0,0.82,0.638
