X Lag Time,Record 1: H2O_00mg_200rpm_10-00min_PM_No2_230601 1,Record 2: H2O_00mg_200rpm_10-00min_PM_No2_230601 2,Record 3: H2O_00mg_200rpm_10-00min_PM_No2_230601 3,X Intensity,Record 1: H2O_00mg_200rpm_10-00min_PM_No2_230601 1,Record 2: H2O_00mg_200rpm_10-00min_PM_No2_230601 2,Record 3: H2O_00mg_200rpm_10-00min_PM_No2_230601 3
0.5,0.833,0.838,0.828,0.4,0,0,0
1,0.833,0.837,0.825,0.463,0,0,0
1.5,0.831,0.835,0.826,0.536,0,0,0
2,0.826,0.834,0.824,0.621,0,0,0
2.5,0.828,0.832,0.823,0.719,0,0,0
3,0.826,0.83,0.82,0.833,0,0,0
3.5,0.822,0.828,0.816,0.965,0,0,0
4,0.822,0.827,0.819,1.12,0,0,0
4.5,0.82,0.824,0.815,1.29,0,0,0
5.5,0.814,0.82,0.81,1.5,0,0,0
6.5,0.81,0.817,0.807,1.74,0,0,0
7.5,0.811,0.813,0.804,2.01,0,0,0
8.5,0.808,0.81,0.801,2.33,0,0,0
9.5,0.803,0.807,0.797,2.7,0,0,0
10.5,0.799,0.804,0.794,3.12,0,0,0
11.5,0.796,0.8,0.791,3.62,0,0,0
12.5,0.794,0.797,0.788,4.19,0,0,0
14.5,0.788,0.793,0.783,4.85,0,0,0
16.5,0.78,0.785,0.776,5.61,0,0,0
18.5,0.775,0.78,0.77,6.5,0,0,0
20.5,0.769,0.774,0.765,7.53,0,0,0
22.5,0.763,0.77,0.759,8.72,0,0,0
24.5,0.757,0.763,0.753,10.1,0,0,0
26.5,0.754,0.757,0.748,11.7,0,0,0
28.5,0.749,0.752,0.742,13.5,0,0,0
32.5,0.737,0.742,0.732,15.7,0,0,0
36.5,0.725,0.731,0.721,18.2,0,0,0
40.5,0.716,0.72,0.709,21,0,0,0
44.5,0.706,0.71,0.699,24.4,0,0,0
48.5,0.695,0.699,0.689,28.2,0,0,0
52.5,0.685,0.689,0.679,32.7,0,0,0
56.5,0.675,0.68,0.669,37.8,0,0,0
60.5,0.665,0.67,0.659,43.8,0,0,0
68.5,0.646,0.651,0.64,50.7,0,0,0
76.5,0.628,0.633,0.621,58.8,0,0,0
84.5,0.611,0.615,0.603,68.1,0,0,0
92.5,0.593,0.598,0.585,78.8,0,0.125,0.428
101,0.577,0.581,0.569,91.3,0.781,1.2,1.94
109,0.561,0.564,0.553,106,3.47,3.45,4.54
117,0.544,0.549,0.537,122,7.55,6.56,7.78
125,0.529,0.534,0.521,142,11.8,9.89,11
141,0.501,0.505,0.492,164,15,12.7,13.4
157,0.473,0.478,0.465,190,16.3,14.4,14.5
173,0.448,0.453,0.439,220,15.5,14.6,14.1
189,0.423,0.429,0.415,255,12.8,13.2,12.3
205,0.4,0.406,0.392,295,9.05,10.6,9.48
221,0.38,0.385,0.371,342,5.17,7.31,6.2
237,0.359,0.365,0.351,396,2.09,4.09,3.2
253,0.34,0.346,0.332,459,0.39,1.61,1.05
285,0.305,0.311,0.297,531,0,0.269,0.0522
317,0.273,0.281,0.267,615,0,0,0
349,0.245,0.254,0.24,712,0,0,0
381,0.219,0.229,0.215,825,0,0,0
413,0.196,0.208,0.193,955,0,0,0
445,0.176,0.188,0.173,1.11E+03,0,0,0
477,0.159,0.17,0.155,1.28E+03,0,0,0
509,0.145,0.154,0.14,1.48E+03,0,0,0
573,0.119,0.126,0.114,1.72E+03,0,0,0
637,0.0977,0.102,0.0922,1.99E+03,0,0,0
701,0.0811,0.0841,0.0754,2.30E+03,0,0,0
765,0.0678,0.0694,0.0619,2.67E+03,0,0,0
829,0.056,0.0583,0.051,3.09E+03,0,0,0
893,0.0463,0.0496,0.0424,3.58E+03,0,0,0
957,0.0377,0.0423,0.0355,4.15E+03,0,0,0
1.02E+03,0.0313,0.0364,0.0301,4.80E+03,0,0,0
1.15E+03,0.0211,0.0271,0.0194,5.56E+03,0,0,0
1.28E+03,0.0143,0.0215,0.0125,6.44E+03,0,0,0
1.40E+03,0.0103,0.0166,0.00868,7.46E+03,0,0,0
1.53E+03,0.00838,0.0121,0.00593,8.63E+03,0,0,0
1.66E+03,0.00744,0.00971,0.00438,,,,
1.79E+03,0.00799,0.00778,0.00386,,,,
1.92E+03,0.00859,0.00877,0.00377,,,,
2.04E+03,0.0108,0.0103,0.00456,,,,
2.30E+03,0.0133,0.0108,0.00607,,,,
2.56E+03,0.011,0.0105,0.0065,,,,
2.81E+03,0.0105,0.00836,0.00642,,,,
3.07E+03,0.0121,0.0057,0.00491,,,,
3.32E+03,0.0117,0.00416,0.00423,,,,
3.58E+03,0.00843,0.00327,0.00394,,,,
3.84E+03,0.00759,0.00375,0.00356,,,,
4.09E+03,0.00849,0.00485,0.00295,,,,
4.60E+03,0.0101,0.00671,0.00306,,,,
5.12E+03,0.0097,0.00316,0.00423,,,,
5.63E+03,0.00663,0.0052,0.00431,,,,
6.14E+03,0.00685,0.00488,0.00358,,,,
6.65E+03,0.00804,0.00433,0.006,,,,
7.16E+03,0.00472,0.00532,0.00624,,,,
7.68E+03,0.00464,0.00262,0.00255,,,,
8.19E+03,0.00504,0.00427,0.00158,,,,
9.21E+03,0.00557,0.00501,0.00149,,,,
1.02E+04,0.00644,0.00489,0.000556,,,,
1.13E+04,0.0123,0.00271,0.00193,,,,
1.23E+04,0.0103,0.00175,0.000956,,,,
1.33E+04,0.0103,0.00102,0.000945,,,,
1.43E+04,0.00981,0.00663,0.00126,,,,
1.54E+04,0.0108,0.00362,0.00321,,,,
1.64E+04,0.00716,0.00298,0.00323,,,,
1.84E+04,0.0112,0.00627,0.00294,,,,
2.05E+04,0.00716,0.00203,0.00127,,,,
2.25E+04,0.0103,0.00469,0.00273,,,,
2.46E+04,0.00877,0.00376,0.00411,,,,
2.66E+04,0.00872,0.00892,0.00351,,,,
2.87E+04,0.00764,0.00476,0.00345,,,,
3.07E+04,0.0089,0.0058,0.0027,,,,
3.28E+04,0.007,0.00385,0.00292,,,,
3.69E+04,0.00817,0.0059,0.00102,,,,
4.10E+04,0.00585,0.00457,0.00161,,,,
4.51E+04,0.00512,0.007,0.000598,,,,
4.91E+04,0.00363,0.00614,0.00232,,,,
5.32E+04,0.00662,0.00565,0.00166,,,,
5.73E+04,0.00681,0.00563,0.000819,,,,
6.14E+04,0.00752,0.00358,0.00121,,,,
6.55E+04,0.00536,0.00421,0.00186,,,,
7.37E+04,0.00737,0.00488,0.00267,,,,
