X Lag Time,Record 1: H2O_00mg_200rpm_10-00min_ST_No1_230601 1,Record 2: H2O_00mg_200rpm_10-00min_ST_No1_230601 2,Record 3: H2O_00mg_200rpm_10-00min_ST_No1_230601 3,X Intensity,Record 1: H2O_00mg_200rpm_10-00min_ST_No1_230601 1,Record 2: H2O_00mg_200rpm_10-00min_ST_No1_230601 2,Record 3: H2O_00mg_200rpm_10-00min_ST_No1_230601 3
0.5,0.297,0.308,0.254,0.4,0,0,0
1,0.26,0.284,0.223,0.463,0,0,0
1.5,0.268,0.279,0.224,0.536,0,0,0
2,0.266,0.282,0.231,0.621,0,0,0
2.5,0.259,0.281,0.225,0.719,0,0,0
3,0.257,0.284,0.217,0.833,0,0,0.468
3.5,0.247,0.276,0.216,0.965,0,0,2.21
4,0.24,0.261,0.213,1.12,0,0,3.37
4.5,0.245,0.262,0.207,1.29,0,0,2.81
5.5,0.243,0.257,0.194,1.5,0,1.83,1.15
6.5,0.235,0.259,0.198,1.74,0,3.31,0
7.5,0.247,0.255,0.196,2.01,0,2.75,0
8.5,0.236,0.254,0.199,2.33,0,0.924,0
9.5,0.232,0.248,0.189,2.7,0,0,0
10.5,0.227,0.256,0.188,3.12,0,0,0
11.5,0.232,0.242,0.187,3.62,0.439,0,0
12.5,0.229,0.243,0.186,4.19,1.52,0,0
14.5,0.227,0.238,0.186,4.85,2.09,0,0.59
16.5,0.219,0.238,0.18,5.61,1.6,0,1.43
18.5,0.218,0.229,0.177,6.5,0.565,0,1.72
20.5,0.219,0.231,0.176,7.53,0,0,1.2
22.5,0.212,0.229,0.17,8.72,0,0,0.374
24.5,0.212,0.227,0.169,10.1,0,0,0
26.5,0.207,0.226,0.166,11.7,0,0,0
28.5,0.206,0.227,0.164,13.5,0,0,0
32.5,0.202,0.219,0.161,15.7,0,0,0
36.5,0.202,0.214,0.156,18.2,0,0,0
40.5,0.195,0.211,0.158,21,0,0,0
44.5,0.193,0.209,0.151,24.4,0,0,0
48.5,0.189,0.203,0.148,28.2,0,0,0
52.5,0.187,0.202,0.147,32.7,0,0,0
56.5,0.183,0.198,0.141,37.8,0,0,0
60.5,0.181,0.195,0.142,43.8,0,0.0918,0
68.5,0.176,0.19,0.135,50.7,0,0.542,0
76.5,0.167,0.181,0.132,58.8,0,1.35,0
84.5,0.164,0.176,0.128,68.1,0,2.43,0.203
92.5,0.159,0.173,0.122,78.8,0.597,3.66,1.68
101,0.153,0.165,0.119,91.3,2.8,4.94,4.34
109,0.148,0.16,0.117,106,6.28,6.17,7.54
