X Lag Time,Record 1: H2O_00mg_PO1_500ug_000rpm_00-00min_NA_No1 1,Record 2: H2O_00mg_PO1_500ug_000rpm_00-00min_NA_No1 2,Record 3: H2O_00mg_PO1_500ug_000rpm_00-00min_NA_No1 3,X Intensity,Record 1: H2O_00mg_PO1_500ug_000rpm_00-00min_NA_No1 1,Record 2: H2O_00mg_PO1_500ug_000rpm_00-00min_NA_No1 2,Record 3: H2O_00mg_PO1_500ug_000rpm_00-00min_NA_No1 3
0.5,0.299,0.254,0.272,0.4,0,0,0
1,0.285,0.25,0.26,0.463,0,0,0
1.5,0.273,0.243,0.248,0.536,0,0,0
2,0.266,0.236,0.243,0.621,0,0,0
2.5,0.272,0.231,0.242,0.719,0,0,0
3,0.257,0.225,0.238,0.833,0,0,0
3.5,0.253,0.223,0.23,0.965,0,0,0
4,0.249,0.219,0.231,1.12,0,0,0
4.5,0.244,0.215,0.226,1.29,0,0,0
5.5,0.238,0.205,0.215,1.5,0,0,0
6.5,0.231,0.201,0.209,1.74,0,0,0
7.5,0.225,0.193,0.204,2.01,0,0,0
8.5,0.212,0.188,0.197,2.33,0,0,0
9.5,0.212,0.185,0.189,2.7,0,0,0
10.5,0.201,0.178,0.19,3.12,0,0,0
11.5,0.196,0.177,0.184,3.62,0.576,0,1.68
12.5,0.194,0.17,0.176,4.19,3.11,2.23,4.46
14.5,0.186,0.164,0.171,4.85,6.3,5.73,6.82
16.5,0.176,0.154,0.164,5.61,8.25,8.3,7.48
18.5,0.172,0.148,0.158,6.5,7.83,8.38,6.14
20.5,0.163,0.143,0.152,7.53,5.27,5.94,3.55
22.5,0.157,0.139,0.145,8.72,2.03,2.5,1.1
24.5,0.152,0.134,0.142,10.1,0,0.162,0
26.5,0.148,0.131,0.142,11.7,0,0,0
28.5,0.146,0.127,0.138,13.5,0,0,0
32.5,0.139,0.121,0.131,15.7,0,0,0
36.5,0.135,0.115,0.125,18.2,0,0,0
40.5,0.129,0.112,0.123,21,0,0,0
44.5,0.126,0.108,0.118,24.4,0,0,0
48.5,0.122,0.105,0.115,28.2,0,0,0
52.5,0.119,0.104,0.114,32.7,0,0,0
56.5,0.117,0.104,0.112,37.8,0,0,0
60.5,0.115,0.0997,0.109,43.8,0,0,0
68.5,0.111,0.0966,0.106,50.7,0,0,0
76.5,0.108,0.094,0.103,58.8,0,0,0
84.5,0.106,0.0918,0.102,68.1,0,0,0
92.5,0.103,0.0898,0.0994,78.8,0,0,0
101,0.1,0.0874,0.0969,91.3,0,0,0
109,0.099,0.0865,0.0944,106,0,0,0
117,0.0966,0.0842,0.093,122,0,0.195,0.576
125,0.0949,0.0825,0.0904,142,1.13,1.71,2.3
141,0.0931,0.0783,0.0871,164,3.59,4.36,4.86
157,0.0887,0.076,0.0831,190,6.69,7.36,7.56
173,0.0849,0.0724,0.0803,220,9.46,9.81,9.7
189,0.0808,0.0691,0.0779,255,11.1,11,10.8
205,0.0778,0.0682,0.0741,295,11.2,10.8,10.5
221,0.0746,0.0648,0.071,342,9.72,9.14,9.03
237,0.0716,0.0613,0.0685,396,7.2,6.6,6.75
253,0.069,0.0591,0.0655,459,4.33,3.86,4.21
285,0.0643,0.0542,0.0604,531,1.87,1.6,1.99
317,0.0587,0.0496,0.0547,615,0.394,0.306,0.542
349,0.0542,0.0458,0.0496,712,0,0,0
381,0.0488,0.0413,0.0464,825,0,0,0
413,0.0456,0.0382,0.0435,955,0,0,0
445,0.0418,0.0346,0.0397,1.11E+03,0,0,0
477,0.0385,0.0316,0.0366,1.28E+03,0,0,0
509,0.0357,0.0292,0.033,1.48E+03,0,0,0
573,0.0299,0.0239,0.0278,1.72E+03,0,0,0
637,0.0244,0.0203,0.024,1.99E+03,0,0,0
701,0.0205,0.0166,0.0202,2.30E+03,0,0,0
765,0.0169,0.0138,0.0166,2.67E+03,0,0,0
829,0.0144,0.0112,0.014,3.09E+03,0,0,0
893,0.0111,0.00881,0.0124,3.58E+03,0,0,0
957,0.00933,0.00685,0.0109,4.15E+03,0,0,0
1.02E+03,0.0078,0.00538,0.00923,4.80E+03,0,0,0
1.15E+03,0.00472,0.00339,0.00667,5.56E+03,0,0,0
1.28E+03,0.00299,0.00227,0.00417,6.44E+03,0,0,0
1.40E+03,0.00171,0.00125,0.00346,7.46E+03,0,0,0
1.53E+03,0.00198,0.00108,0.00271,8.63E+03,0,0,0
1.66E+03,0.00146,0.000713,0.00157,,,,
1.79E+03,0.00119,0.000763,0.00156,,,,
1.92E+03,0.000943,0.000985,0.00149,,,,
2.04E+03,0.00108,0.00107,0.00091,,,,
2.30E+03,0.000717,0.00143,0.000583,,,,
2.56E+03,0.000887,0.00169,0.000444,,,,
2.81E+03,0.000755,0.00132,0.00031,,,,
3.07E+03,0.000614,0.00143,0.000407,,,,
3.32E+03,0.001,0.00156,0.00013,,,,
3.58E+03,0.00155,0.00199,0.000116,,,,
3.84E+03,0.00122,0.00191,0.000316,,,,
4.09E+03,0.00136,0.00165,0.000119,,,,
4.60E+03,0.0015,0.00103,0.000124,,,,
5.12E+03,0.00107,0.0006,0.000294,,,,
5.63E+03,0.000706,0.000178,0.000851,,,,
6.14E+03,0.000753,0.000247,0.000482,,,,
6.65E+03,0.000617,0.000322,0.00058,,,,
7.16E+03,0.000625,0.000586,0.000474,,,,
7.68E+03,0.000644,0.00064,0.0011,,,,
8.19E+03,0.000258,0.000963,0.00119,,,,
9.21E+03,0.000654,0.000507,0.000865,,,,
1.02E+04,0.000629,0.000228,0.000755,,,,
