X Lag Time,Record 1: H2O_00mg_PS8_500ug_000rpm_00-00min_NA_No1 1,Record 2: H2O_00mg_PS8_500ug_000rpm_00-00min_NA_No1 2,Record 3: H2O_00mg_PS8_500ug_000rpm_00-00min_NA_No1 3,X Intensity,Record 1: H2O_00mg_PS8_500ug_000rpm_00-00min_NA_No1 1,Record 2: H2O_00mg_PS8_500ug_000rpm_00-00min_NA_No1 2,Record 3: H2O_00mg_PS8_500ug_000rpm_00-00min_NA_No1 3
0.5,0.624,0.576,0.517,0.4,0,0,0
1,0.612,0.567,0.505,0.463,0,0,0
1.5,0.595,0.55,0.486,0.536,0,0,0
2,0.579,0.535,0.473,0.621,0,0,0
2.5,0.567,0.523,0.458,0.719,0,0,0
3,0.549,0.512,0.443,0.833,0,0,0
3.5,0.538,0.5,0.432,0.965,0,0,0
4,0.525,0.488,0.42,1.12,0,0,0
4.5,0.512,0.476,0.408,1.29,0,0,0
5.5,0.486,0.453,0.384,1.5,0,0,0
6.5,0.464,0.433,0.362,1.74,0,0,0
7.5,0.441,0.413,0.342,2.01,0.0333,0,0
8.5,0.42,0.395,0.322,2.33,0.162,0,0
9.5,0.402,0.376,0.305,2.7,0.221,0,0
10.5,0.384,0.359,0.287,3.12,0.15,0,0
11.5,0.363,0.343,0.272,3.62,0.0648,0,0
12.5,0.348,0.329,0.257,4.19,0.188,0,0.123
14.5,0.317,0.299,0.232,4.85,0.734,0.311,1.26
16.5,0.289,0.275,0.206,5.61,1.82,1.2,3.4
18.5,0.266,0.252,0.186,6.5,3.4,2.71,6.05
20.5,0.243,0.23,0.167,7.53,5.33,4.72,8.67
22.5,0.223,0.211,0.15,8.72,7.32,6.95,10.7
24.5,0.203,0.195,0.135,10.1,9.1,9.05,12
26.5,0.188,0.179,0.123,11.7,10.4,10.7,12.2
28.5,0.172,0.164,0.111,13.5,11,11.6,11.5
32.5,0.147,0.139,0.0913,15.7,10.9,11.7,10
36.5,0.125,0.119,0.0755,18.2,10,10.9,8.04
40.5,0.106,0.102,0.0621,21,8.57,9.41,5.91
44.5,0.0914,0.0871,0.0524,24.4,6.77,7.42,3.87
48.5,0.0792,0.0751,0.0442,28.2,4.86,5.26,2.17
52.5,0.0684,0.0652,0.0374,32.7,3.07,3.22,0.946
56.5,0.0601,0.0565,0.0317,37.8,1.62,1.59,0.248
60.5,0.053,0.0488,0.027,43.8,0.634,0.524,0
68.5,0.041,0.0372,0.0204,50.7,0.129,0.0482,0
76.5,0.0328,0.0296,0.015,58.8,0,0,0
84.5,0.0265,0.0236,0.0113,68.1,0,0,0
92.5,0.0217,0.0194,0.00901,78.8,0,0,0
101,0.0176,0.0151,0.00697,91.3,0,0,0
109,0.0146,0.0124,0.00523,106,0,0,0
117,0.0126,0.0113,0.00506,122,0,0,0
125,0.0113,0.00951,0.0045,142,0,0,0
141,0.00878,0.00651,0.0035,164,0,0,0
157,0.00749,0.00552,0.00219,190,0,0,0
173,0.00657,0.00533,0.00172,220,0,0,0
189,0.00593,0.00486,0.00198,255,0,0,0
205,0.00524,0.00453,0.00173,295,0,0,0
221,0.0041,0.00427,0.0016,342,0,0,0
237,0.00429,0.00341,0.00158,396,0,0,0
253,0.00294,0.00313,0.00142,459,0,0,0
285,0.00331,0.00373,0.000662,531,0,0,0
317,0.00186,0.00301,0.000904,615,0,0,0
349,0.00222,0.0023,0.000946,712,0,0,0
381,0.00295,0.00156,0.000939,825,0,0,0
413,0.0018,0.000687,0.000709,955,0,0,0
445,0.0014,0.000691,0.0006,1.11E+03,0,0,0.00209
477,0.000546,0.00068,0.000689,1.28E+03,0.0027,0,0.0174
509,0.00033,0.000969,0.000148,1.48E+03,0.0259,0,0.0506
573,0.00123,0.00114,0.000245,1.72E+03,0.0765,0.0106,0.101
637,0.00113,0.0014,0.000845,1.99E+03,0.153,0.0484,0.166
701,0.000741,0.000899,0.000908,2.30E+03,0.249,0.117,0.238
765,0.000849,0.00186,0.000444,2.67E+03,0.353,0.209,0.31
829,0.0013,0.0015,0.000216,3.09E+03,0.452,0.312,0.374
893,0.00117,0.000549,0.00063,3.58E+03,0.534,0.412,0.422
957,0.00135,0.00158,0.000686,4.15E+03,0.587,0.491,0.447
1.02E+03,0.00071,0.000844,0.000229,4.80E+03,0.601,0.535,0.445
1.15E+03,0.0014,0.000768,0.00034,5.56E+03,0.57,0.532,0.413
1.28E+03,0.000781,0.00118,0.000267,6.44E+03,0,0,0
1.40E+03,0.00172,0.000585,0.000172,7.46E+03,0,0,0
1.53E+03,0.0011,0.00138,0.000392,8.63E+03,0,0,0
1.66E+03,0.000686,0.00119,0.00103,,,,
1.79E+03,0.000342,0.00067,0.000181,,,,
1.92E+03,0.000523,0.000412,0.000641,,,,
2.04E+03,0.000555,0.000354,0.000239,,,,
2.30E+03,0.000603,0.000449,0.0003,,,,
2.56E+03,0.000304,0.000253,0.00015,,,,
2.81E+03,0.000767,0.000361,0.000173,,,,
3.07E+03,0.000865,0.000352,0.000481,,,,
3.32E+03,0.000383,0.00016,0.000338,,,,
3.58E+03,3.91E-05,0.000251,0.000368,,,,
3.84E+03,0.000395,0.000665,0.000312,,,,
4.09E+03,0.000277,0.000463,0.000364,,,,
4.60E+03,0.000477,0.00021,0.000318,,,,
5.12E+03,0.000125,9.08E-05,0.000144,,,,
5.63E+03,0.000318,0.000202,0.000544,,,,
6.14E+03,5.78E-05,0.000638,0.000356,,,,
6.65E+03,0.00039,0.000224,0.000446,,,,
7.16E+03,0.000461,0.000348,0.000173,,,,
7.68E+03,9.74E-05,0.000265,1.51E-05,,,,
8.19E+03,0.000414,0.000362,6.09E-05,,,,
9.21E+03,0.000311,0.00025,0.000145,,,,
1.02E+04,0.000225,8.93E-05,0.000209,,,,
1.13E+04,0.000311,0.000282,0.000222,,,,
1.23E+04,0.00013,0.000312,9.18E-05,,,,
1.33E+04,0.000102,0.000459,1.23E-05,,,,
1.43E+04,0.000287,0.0006,0.000569,,,,
1.54E+04,0.000234,0.000179,0.000198,,,,
1.64E+04,0.000215,9.64E-05,0.000205,,,,
1.84E+04,0.000439,0.000177,9.45E-05,,,,
2.05E+04,0.000296,0.000377,8.91E-05,,,,
2.25E+04,2.30E-05,0.000503,0.000264,,,,
2.46E+04,0.000301,0.000443,8.25E-05,,,,
2.66E+04,0.000333,0.000207,9.89E-05,,,,
2.87E+04,9.41E-05,0.000457,0.000324,,,,
