X Lag Time,Record 13: R 1,Record 14: R 2,Record 15: R 3,X Intensity,Record 13: R 1,Record 14: R 2,Record 15: R 3
0.5,0.7,0.709,0.705,0.4,0,0,0
1,0.678,0.687,0.683,0.463,0,0,0
1.5,0.652,0.663,0.658,0.536,0,0,0
2,0.63,0.638,0.632,0.621,0,0,0
2.5,0.612,0.618,0.612,0.719,0,0,0
3,0.592,0.599,0.594,0.833,0.265,0,0
3.5,0.576,0.581,0.576,0.965,1.09,0,0
4,0.558,0.566,0.559,1.12,1.79,0,0
4.5,0.543,0.551,0.545,1.29,1.81,0,0
5.5,0.515,0.52,0.516,1.5,1.17,0,0
6.5,0.489,0.495,0.49,1.74,0.382,0,0
7.5,0.463,0.469,0.466,2.01,0,0,0
8.5,0.443,0.448,0.445,2.33,0,0,0
9.5,0.423,0.428,0.424,2.7,0,0,0
10.5,0.403,0.409,0.403,3.12,0,0,0
11.5,0.386,0.391,0.387,3.62,0,0,0
12.5,0.369,0.374,0.369,4.19,0,0,0
14.5,0.338,0.341,0.337,4.85,0,0,0.0351
16.5,0.31,0.313,0.309,5.61,0,0.466,0.721
18.5,0.284,0.287,0.283,6.5,0.879,1.81,2.21
20.5,0.262,0.263,0.261,7.53,2.77,3.94,4.32
22.5,0.24,0.242,0.239,8.72,5.33,6.48,6.7
24.5,0.221,0.222,0.22,10.1,8.03,8.97,8.94
26.5,0.203,0.204,0.201,11.7,10.3,11,10.7
28.5,0.187,0.189,0.186,13.5,11.8,12.1,11.6
32.5,0.16,0.16,0.159,15.7,12.2,12.3,11.7
36.5,0.137,0.137,0.136,18.2,11.6,11.5,11
40.5,0.117,0.118,0.116,21,10.1,9.92,9.53
44.5,0.1,0.101,0.1,24.4,7.98,7.83,7.64
48.5,0.0865,0.087,0.0868,28.2,5.66,5.55,5.58
52.5,0.0742,0.0752,0.0744,32.7,3.48,3.42,3.63
56.5,0.0642,0.0657,0.0655,37.8,1.72,1.71,2
60.5,0.0558,0.0571,0.0574,43.8,0.579,0.592,0.841
68.5,0.0429,0.0437,0.0439,50.7,0.0622,0.0756,0.205
76.5,0.033,0.0339,0.0347,58.8,0,0,0
84.5,0.0254,0.0269,0.0276,68.1,0,0,0
92.5,0.0198,0.0212,0.0222,78.8,0,0,0
101,0.0161,0.0172,0.0181,91.3,0,0,0
109,0.0131,0.0142,0.0145,106,0,0,0
117,0.0109,0.0116,0.0121,122,0,0,0
125,0.00888,0.0098,0.0106,142,0,0,0
141,0.00627,0.00714,0.00777,164,0,0,0
157,0.00481,0.00547,0.00586,190,0,0,0
173,0.00397,0.00476,0.0042,220,0,0,0
189,0.00373,0.00479,0.00333,255,0,0,0
205,0.00298,0.0042,0.00255,295,0,0,0
221,0.00238,0.00353,0.00277,342,0,0,0
237,0.00188,0.00283,0.00256,396,0,0,0
253,0.00153,0.00267,0.00257,459,0,0,0
285,0.000994,0.00224,0.00226,531,0,0,0
317,0.00131,0.00224,0.00128,615,0,0,0
349,0.0016,0.00235,0.00127,712,0,0,0
381,0.00202,0.0016,0.00122,825,0,0,0
413,0.00194,0.00117,0.00157,955,0,0,0
445,0.00151,0.000929,0.000896,1.11E+03,0,0,0
477,0.00128,0.000757,0.000757,1.28E+03,0,0,0
509,0.00108,0.000587,0.000578,1.48E+03,0,0,0.0134
573,0.000538,0.000771,0.000373,1.72E+03,0,0.0104,0.0478
