X Lag Time,Record 1: JJmAb1_0rpm_0min 1,Record 2: JJmAb1_0rpm_0min 2,Record 3: JJmAb1_0rpm_0min 3,X Intensity,Record 1: JJmAb1_0rpm_0min 1,Record 2: JJmAb1_0rpm_0min 2,Record 3: JJmAb1_0rpm_0min 3
0.5,0.74,0.701,0.763,0.4,0,0,0
1,0.718,0.678,0.737,0.463,0,0,0
1.5,0.697,0.654,0.711,0.536,0,0,0
2,0.672,0.629,0.685,0.621,0,0,0
2.5,0.653,0.607,0.661,0.719,0,0,0
3,0.634,0.587,0.644,0.833,0,0,0
3.5,0.616,0.57,0.621,0.965,0,0,0
4,0.599,0.555,0.602,1.12,0,0,0
4.5,0.583,0.536,0.583,1.29,0,0,0
5.5,0.554,0.507,0.55,1.5,0,0,0
6.5,0.527,0.48,0.52,1.74,0,0,0
7.5,0.502,0.452,0.492,2.01,0,0,0
8.5,0.48,0.428,0.464,2.33,0,0,0
9.5,0.456,0.408,0.441,2.7,0,0,0
10.5,0.435,0.389,0.418,3.12,0,0,0
11.5,0.417,0.368,0.397,3.62,0,0,0
12.5,0.398,0.35,0.377,4.19,0,0,0
14.5,0.364,0.316,0.34,4.85,0,0,0
16.5,0.333,0.286,0.308,5.61,0.246,0,0
18.5,0.305,0.259,0.277,6.5,1.32,0.873,1.17
20.5,0.28,0.235,0.251,7.53,3.27,3.69,4.22
22.5,0.256,0.211,0.226,8.72,5.81,7.95,8.53
24.5,0.236,0.191,0.205,10.1,8.48,12.4,12.8
26.5,0.217,0.174,0.185,11.7,10.8,15.8,15.9
28.5,0.2,0.157,0.168,13.5,12.3,17,16.9
32.5,0.169,0.129,0.137,15.7,12.9,15.9,15.5
36.5,0.142,0.105,0.112,18.2,12.4,12.7,12.2
40.5,0.122,0.0865,0.0918,21,10.9,8.38,7.89
44.5,0.104,0.0712,0.0759,24.4,8.75,4.18,3.83
48.5,0.0882,0.0585,0.0623,28.2,6.3,1.21,1.05
52.5,0.0758,0.048,0.0504,32.7,3.92,0,0
56.5,0.0651,0.0409,0.0415,37.8,1.95,0,0
60.5,0.0564,0.0335,0.0341,43.8,0.65,0,0
68.5,0.0417,0.0228,0.0231,50.7,0.0588,0,0
76.5,0.0315,0.0156,0.0149,58.8,0,0,0
84.5,0.0237,0.0107,0.0103,68.1,0,0,0
92.5,0.018,0.00812,0.00675,78.8,0,0,0
