X Lag Time,Record 1: JJmAb1_0rpm_10min_PMMA 1,Record 2: JJmAb1_0rpm_10min_PMMA 2,Record 3: JJmAb1_0rpm_10min_PMMA 3,X Intensity,Record 1: JJmAb1_0rpm_10min_PMMA 1,Record 2: JJmAb1_0rpm_10min_PMMA 2,Record 3: JJmAb1_0rpm_10min_PMMA 3
0.5,0.798,0.805,0.812,0.4,0,0,0
1,0.766,0.772,0.776,0.463,0,0,0
1.5,0.731,0.747,0.757,0.536,0,0,0
2,0.713,0.715,0.735,0.621,0,0.591,0
2.5,0.688,0.699,0.713,0.719,0,1.43,0
3,0.667,0.676,0.691,0.833,0,1.92,0
3.5,0.645,0.651,0.678,0.965,0.622,1.66,0
4,0.625,0.633,0.653,1.12,1.41,0.833,0
4.5,0.607,0.615,0.636,1.29,1.75,0.0984,0
5.5,0.576,0.583,0.607,1.5,1.4,0,0
6.5,0.547,0.552,0.576,1.74,0.672,0,0
7.5,0.522,0.523,0.555,2.01,0.0893,0,0
8.5,0.492,0.5,0.528,2.33,0,0,0
9.5,0.467,0.475,0.509,2.7,0,0,0
10.5,0.446,0.455,0.48,3.12,0,0,0
11.5,0.423,0.436,0.464,3.62,0,0,0
12.5,0.406,0.413,0.445,4.19,0,0,0
14.5,0.367,0.379,0.41,4.85,0,0,0
16.5,0.337,0.344,0.379,5.61,0,0,0
18.5,0.308,0.313,0.349,6.5,0.67,1.05,0.715
20.5,0.283,0.289,0.323,7.53,2.66,3.5,2.96
22.5,0.255,0.264,0.299,8.72,5.73,6.82,6.39
24.5,0.236,0.24,0.275,10.1,9.16,10.2,10.1
26.5,0.215,0.223,0.255,11.7,12.1,12.7,13.1
28.5,0.197,0.204,0.238,13.5,13.9,13.8,14.4
32.5,0.166,0.173,0.206,15.7,14.1,13.3,13.9
36.5,0.137,0.147,0.181,18.2,12.8,11.5,11.5
40.5,0.115,0.125,0.157,21,10.2,8.65,8.07
44.5,0.0983,0.108,0.139,24.4,7.02,5.53,4.41
48.5,0.0815,0.0903,0.121,28.2,3.92,2.75,1.54
52.5,0.0689,0.0755,0.107,32.7,1.55,0.846,0.101
56.5,0.0585,0.068,0.0959,37.8,0.271,0.00858,0
60.5,0.0512,0.0581,0.0844,43.8,0,0,0
68.5,0.0377,0.0444,0.0689,50.7,0,0,0
76.5,0.0287,0.0328,0.0563,58.8,0,0,0
84.5,0.0212,0.0272,0.0472,68.1,0,0,0
92.5,0.0159,0.0215,0.0401,78.8,0,0,0
101,0.0117,0.0186,0.0357,91.3,0,0,0
109,0.0112,0.0169,0.0317,106,0,0,0
117,0.00729,0.014,0.0293,122,0,0,0
125,0.00762,0.0121,0.026,142,0,0,0
141,0.00596,0.00878,0.0218,164,0,0,0
157,0.0041,0.0066,0.02,190,0,0,0
173,0.00408,0.00755,0.0184,220,0,0,0
189,0.00276,0.00572,0.0182,255,0,0,0
205,0.00254,0.00539,0.0177,295,0,0,0
221,0.00318,0.00581,0.0159,342,0,0,0
237,0.00242,0.00596,0.0153,396,0,0,0
253,0.00226,0.00498,0.0138,459,0,0,0
285,0.00249,0.00346,0.0137,531,0,0,0
317,0.00427,0.00249,0.016,615,0,0,0
349,0.0038,0.00307,0.0151,712,0,0,0
381,0.00267,0.00364,0.0148,825,0,0,0
413,0.00307,0.0044,0.0137,955,0,0,0.0622
445,0.00126,0.00276,0.0147,1.11E+03,0,0,0.238
477,0.00249,0.00108,0.0136,1.28E+03,0,0,0.51
509,0.00273,0.00155,0.0135,1.48E+03,0,0,0.83
573,0.00204,0.00342,0.0142,1.72E+03,0,0,1.14
637,0.0029,0.00293,0.0123,1.99E+03,0,0,1.39
701,0.00299,0.00261,0.0111,2.30E+03,0,0.00677,1.54
765,0.00267,0.00257,0.0117,2.67E+03,0,0.0736,1.58
829,0.00339,0.00437,0.0128,3.09E+03,0,0.21,1.52
893,0.00332,0.00515,0.012,3.58E+03,0,0.396,1.35
957,0.0018,0.00278,0.0114,4.15E+03,0,0.593,1.12
1.02E+03,0.00145,0.00291,0.0102,4.80E+03,0,0.756,0.863
1.15E+03,0.00179,0.002,0.00996,5.56E+03,0,0.845,0.605
1.28E+03,0.00236,0.00168,0.00918,6.44E+03,0,0,0
1.40E+03,0.000562,0.00195,0.00811,7.46E+03,0,0,0
1.53E+03,0.00148,0.00152,0.0073,8.63E+03,0,0,0
1.66E+03,0.00122,0.00215,0.00758,,,,
1.79E+03,0.00146,0.00103,0.0061,,,,
1.92E+03,0.00199,0.00205,0.00791,,,,
2.04E+03,0.00121,0.00204,0.00661,,,,
2.30E+03,0.000979,0.0012,0.00572,,,,
2.56E+03,0.000707,0.00138,0.00606,,,,
2.81E+03,0.000838,0.00121,0.00435,,,,
3.07E+03,0.00128,0.00121,0.00394,,,,
3.32E+03,0.00125,0.00192,0.00403,,,,
3.58E+03,0.00077,0.00198,0.00408,,,,
3.84E+03,0.000864,0.00119,0.00264,,,,
4.09E+03,0.000339,0.000573,0.0023,,,,
4.60E+03,0.00119,0.000913,0.00186,,,,
5.12E+03,0.00056,0.000744,0.00198,,,,
5.63E+03,0.00104,0.000974,0.00158,,,,
6.14E+03,0.000467,0.00122,0.00188,,,,
6.65E+03,0.00044,0.00067,0.00138,,,,
7.16E+03,0.000513,0.000857,0.00109,,,,
7.68E+03,0.000711,0.000642,0.00148,,,,
8.19E+03,0.000668,0.000851,0.00118,,,,
9.21E+03,0.000531,0.000756,0.00158,,,,
1.02E+04,0.000452,0.00105,0.00112,,,,
1.13E+04,0.000349,0.000904,0.00139,,,,
1.23E+04,0.000556,0.000897,0.000767,,,,
1.33E+04,0.000337,0.00101,0.00117,,,,
1.43E+04,0.000733,0.000794,0.000929,,,,
1.54E+04,0.000324,0.000378,0.000176,,,,
1.64E+04,0.000468,0.00058,0.000951,,,,
1.84E+04,0.000273,0.000646,0.000871,,,,
2.05E+04,0.000512,0.00014,0.000829,,,,
2.25E+04,0.000545,0.000229,0.000979,,,,
2.46E+04,0.000523,0.000225,0.000885,,,,
2.66E+04,0.000195,0.000333,0.00093,,,,
2.87E+04,0.000471,0.000509,0.000544,,,,
3.07E+04,0.000451,0.000295,0.000709,,,,
3.28E+04,0.000349,0.000521,0.000513,,,,
3.69E+04,0.000111,0.00022,0.000604,,,,
4.10E+04,0.000295,0.000335,0.000648,,,,
4.51E+04,0.000171,0.000204,0.000421,,,,
4.91E+04,0.000273,0.000392,0.000457,,,,
5.32E+04,0.000176,0.000171,0.00012,,,,
5.73E+04,0.000307,0.000688,0.000329,,,,
6.14E+04,0.000252,0.000267,0.000361,,,,
6.55E+04,0.000131,0.000271,0.000556,,,,
7.37E+04,0.000175,0.000283,0.000861,,,,
8.19E+04,4.47E-05,0.000397,0.000514,,,,
9.01E+04,7.59E-05,0.000383,0.000636,,,,
9.83E+04,0.000188,0.000315,0.000489,,,,
1.06E+05,0.000213,0.000324,0.000315,,,,
1.15E+05,0.000111,0.000376,0.000256,,,,
1.23E+05,0.000244,0.000417,0.000321,,,,
1.31E+05,0.000109,0.000543,7.07E-05,,,,
1.47E+05,0.000165,0.000713,0,,,,
1.64E+05,0.000138,0.000437,7.51E-05,,,,
1.80E+05,0.000117,0.000432,1.49E-05,,,,
1.97E+05,0.000208,0.000504,0.000242,,,,
2.13E+05,0.000165,0.000372,6.62E-05,,,,
2.29E+05,0.000275,0.000354,0.00011,,,,
2.46E+05,0.000241,0.000357,9.80E-05,,,,
2.62E+05,0.000369,0.000337,0.000275,,,,
2.95E+05,0.000201,0.000179,0.000705,,,,
3.28E+05,0.000138,0.000296,0.000888,,,,
3.60E+05,0.000192,0.000259,0.000656,,,,
3.93E+05,0.000191,0.000311,0.000569,,,,
4.26E+05,9.84E-05,0.000362,0.000602,,,,
4.59E+05,0.000213,0.000188,0.000604,,,,
4.92E+05,0.000327,0.000283,0.000616,,,,
5.24E+05,0.000329,0.000443,0.000705,,,,
5.90E+05,0.000179,0.000206,0.000833,,,,
6.55E+05,8.76E-05,0.00036,0.000528,,,,
7.21E+05,0.00011,0.000119,0.00071,,,,
7.86E+05,0.00018,0.000155,0.000836,,,,
8.52E+05,0.000314,0.000219,0.00036,,,,
9.18E+05,0.000159,0.000149,0.000869,,,,
9.83E+05,4.99E-05,0.000196,0.000217,,,,
1.05E+06,0.000747,0.000182,0.000638,,,,
1.18E+06,0.00106,0.000354,0.000742,,,,
1.31E+06,0.000253,0.000325,0.000513,,,,
1.44E+06,0.000666,0.000316,0.000833,,,,
1.57E+06,1.70E-05,0.000274,0.001,,,,
1.70E+06,0.000118,0.000387,0.000824,,,,
1.84E+06,0,5.15E-05,0.000466,,,,
1.97E+06,0.000294,0,0.00147,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
