X Lag Time,Record 16: BRJ R 1,Record 17: BRJ R 2,Record 18: BRJ R 3
0.5,0.767,0.768,0.757
1,0.737,0.74,0.728
1.5,0.707,0.71,0.702
2,0.68,0.683,0.673
2.5,0.658,0.66,0.654
3,0.637,0.638,0.632
3.5,0.616,0.618,0.611
4,0.596,0.598,0.594
4.5,0.577,0.58,0.575
5.5,0.545,0.547,0.541
6.5,0.514,0.517,0.512
7.5,0.485,0.488,0.484
8.5,0.462,0.465,0.462
9.5,0.438,0.44,0.438
10.5,0.415,0.42,0.416
11.5,0.394,0.398,0.397
12.5,0.375,0.38,0.378
14.5,0.34,0.345,0.343
16.5,0.31,0.314,0.312
18.5,0.281,0.284,0.285
20.5,0.254,0.259,0.259
22.5,0.233,0.236,0.235
24.5,0.211,0.213,0.215
26.5,0.191,0.195,0.195
28.5,0.175,0.178,0.179
32.5,0.144,0.147,0.149
36.5,0.12,0.122,0.125
40.5,0.0996,0.101,0.104
44.5,0.0827,0.0844,0.0875
48.5,0.0686,0.0696,0.0737
52.5,0.0567,0.0584,0.0603
56.5,0.0474,0.049,0.0511
60.5,0.0398,0.0412,0.0436
68.5,0.0287,0.0279,0.0314
76.5,0.0197,0.0204,0.022
84.5,0.0142,0.0149,0.0156
92.5,0.0123,0.0106,0.0114
101,0.00889,0.00807,0.00766
109,0.00592,0.00588,0.00582
117,0.0049,0.00469,0.00458
125,0.00446,0.00344,0.00359
141,0.003,0.00181,0.00171
157,0.00244,0.00103,0.000732
173,0.00215,0.000986,0.00177
189,0.00176,0.00115,0.00198
205,0.00183,0.00101,0.00188
221,0.00144,0.000907,0.00137
237,0.00153,0.000893,0.000984
253,0.00174,0.000919,0.000816
285,0.00206,0.000586,0.000216
317,0.00114,0.00072,0.00152
349,0.00116,0.000472,0.000443
381,0.000893,0.000951,0.00103
413,0.00121,0.00158,0.00144
445,0.000336,8.44E-05,0.00249
477,0.00103,0.000537,0.00107
509,0.000606,0.000316,0.000599
573,0.000641,0.000366,0.000344
637,0.000186,0.00128,0.000721
701,0,6.18E-05,0.00189
765,0.00054,0.000283,0.00188
829,0.00111,0.000635,0.0012
893,0.000661,0.000851,0.000532
957,0.000583,0.000526,0.000271
1.02E+03,0.000254,0.000331,0.000382
1.15E+03,0.000566,0.000115,0.000753
1.28E+03,0.000797,0.000438,0.00129
1.40E+03,0.000796,0.00102,0.000884
1.53E+03,0.00108,0.000454,0.000449
1.66E+03,0.000565,0.000901,0.000212
1.79E+03,4.49E-05,0.000803,0.00114
1.92E+03,0.00021,0.000418,0.00118
2.04E+03,7.58E-05,0.00101,0.000879
2.30E+03,0.000118,0.000834,7.66E-05
2.56E+03,0,0.000568,8.45E-06
2.81E+03,0.000238,0.000339,0.000772
3.07E+03,0.000403,0.000207,0.000403
3.32E+03,0.000635,0.00036,0.000637
3.58E+03,0.000129,0.000443,0.000258
3.84E+03,0.000123,0.00048,0.00017
4.09E+03,0.000136,5.63E-05,0.00027
4.60E+03,0.000444,6.17E-05,0.000452
5.12E+03,0.000221,0.000265,0.000497
5.63E+03,0.000354,0.000212,0.000342
6.14E+03,0.000275,9.23E-05,3.09E-05
6.65E+03,0.000132,5.16E-05,0.000315
7.16E+03,0.00041,0.00062,0.000255
7.68E+03,0.000214,0.000142,0.000233
8.19E+03,0.000176,0.000297,0.000417
9.21E+03,6.34E-05,9.74E-05,0.000258
1.02E+04,0.000397,0.00022,0.000278
1.13E+04,0.000357,0.000355,0.00015
1.23E+04,0.000181,0.000318,0.000292
1.33E+04,7.25E-05,0.000173,0.000408
1.43E+04,6.73E-05,0.000244,6.13E-05
1.54E+04,7.36E-05,0.00022,0.000519
1.64E+04,8.77E-05,0.00017,0.000236
1.84E+04,0.00018,0.000181,1.40E-05
2.05E+04,6.96E-05,0.000205,0.00017
2.25E+04,0.000202,0.000143,0.000101
2.46E+04,0.000151,0.000286,0.000108
2.66E+04,0.000216,2.47E-05,7.42E-05
2.87E+04,2.01E-05,0.000379,2.84E-05
3.07E+04,0.000235,0.000232,0.000133
3.28E+04,0.000232,0.000151,0.000126
3.69E+04,0.000222,0.000294,1.94E-05
4.10E+04,0.000122,0.000302,8.86E-05
4.51E+04,8.63E-05,0.000306,2.08E-05
4.91E+04,7.23E-05,5.73E-05,0.00031
5.32E+04,0.000124,0.000241,0.000155
5.73E+04,9.48E-05,0.000154,3.62E-05
6.14E+04,0.000194,0.000181,0.000146
6.55E+04,0.000118,0.000229,9.75E-05
7.37E+04,6.06E-06,9.90E-05,1.26E-05
8.19E+04,0.000164,0.000249,9.42E-05
9.01E+04,1.69E-05,0.000183,0.000199
9.83E+04,7.45E-05,0.000112,0.000198
1.06E+05,0.00015,1.75E-05,9.59E-05
1.15E+05,6.59E-05,0.000146,4.19E-05
1.23E+05,8.53E-05,8.92E-05,2.07E-05
1.31E+05,3.78E-05,0.000228,0.000178
1.47E+05,5.14E-05,0.000118,7.21E-05
1.64E+05,8.29E-05,0.000112,0.000143
1.80E+05,7.14E-05,0.000168,0.000175
1.97E+05,6.84E-05,5.39E-05,4.01E-05
2.13E+05,8.90E-06,0.000158,8.74E-05
2.29E+05,1.07E-05,0.000104,0.000108
2.46E+05,9.82E-05,0.000136,1.27E-05
2.62E+05,0.000351,0.000133,7.60E-05
2.95E+05,0.000572,0.000236,0.000136
3.28E+05,0.000402,2.38E-05,8.22E-05
3.60E+05,0.000195,4.75E-05,0.00011
3.93E+05,0.000233,4.05E-06,0.000171
4.26E+05,0.000233,0.000173,0.00014
4.59E+05,0.000242,6.11E-05,0.000279
4.92E+05,0.00032,0.000115,0.000115
5.24E+05,0.000282,0.000263,3.55E-05
5.90E+05,9.88E-05,0.000343,0.000227
6.55E+05,0.000367,0.000206,0.000131
7.21E+05,0.000228,0.000194,0.000215
7.86E+05,2.85E-05,0.000418,0.000126
8.52E+05,0.000298,0.000263,0.00026
9.18E+05,0.000218,0.000442,0.000209
9.83E+05,0.000201,0.000249,0.000158
1.05E+06,2.51E-05,0.000326,0.000445
1.18E+06,0.00012,0.000162,0.000727
1.31E+06,0.00029,0.000164,0.000346
1.44E+06,0.000371,0.000156,0.000222
1.57E+06,0.00011,0.000309,0.000122
1.70E+06,3.36E-06,0.000484,0.000304
1.84E+06,0.000113,3.41E-05,0.00055
1.97E+06,0.000226,0.000206,0.000248
2.10E+06,0,0,0
2.36E+06,0,0,0
2.62E+06,0,0,0
2.88E+06,0,0,0
3.15E+06,0,0,0
3.41E+06,0,0,0
3.67E+06,0,0,0
3.93E+06,0,0,0
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
