X Lag Time,Record 7: PS80 R 1,Record 8: PS80 R 2,Record 9: PS80 R 3
0.5,0.767,0.742,0.77
1,0.745,0.719,0.749
1.5,0.72,0.693,0.72
2,0.698,0.672,0.698
2.5,0.677,0.652,0.675
3,0.66,0.634,0.655
3.5,0.641,0.616,0.637
4,0.625,0.6,0.619
4.5,0.608,0.584,0.603
5.5,0.579,0.555,0.568
6.5,0.551,0.529,0.542
7.5,0.527,0.507,0.515
8.5,0.504,0.482,0.492
9.5,0.481,0.46,0.469
10.5,0.46,0.441,0.449
11.5,0.443,0.423,0.429
12.5,0.425,0.406,0.41
14.5,0.391,0.373,0.375
16.5,0.361,0.344,0.343
18.5,0.334,0.317,0.316
20.5,0.309,0.292,0.29
22.5,0.286,0.27,0.267
24.5,0.265,0.249,0.244
26.5,0.245,0.23,0.224
28.5,0.228,0.212,0.208
32.5,0.196,0.183,0.177
36.5,0.17,0.157,0.151
40.5,0.147,0.134,0.129
44.5,0.128,0.117,0.111
48.5,0.112,0.1,0.0939
52.5,0.0975,0.0877,0.0806
56.5,0.0852,0.0753,0.0699
60.5,0.0754,0.0657,0.0614
68.5,0.059,0.0494,0.0456
76.5,0.0463,0.0385,0.0335
84.5,0.0366,0.0303,0.0261
92.5,0.0288,0.0251,0.0208
101,0.0226,0.0208,0.0166
109,0.0178,0.017,0.0143
117,0.015,0.0135,0.0118
125,0.0123,0.0112,0.00971
141,0.00851,0.00793,0.0068
157,0.00628,0.00654,0.004
173,0.00545,0.00534,0.00389
189,0.00465,0.00379,0.003
205,0.00339,0.00236,0.00236
221,0.00249,0.00177,0.00238
237,0.00208,0.00202,0.00261
253,0.00244,0.00181,0.00209
285,0.00207,0.00274,0.00236
317,0.00165,0.00287,0.00241
349,0.00121,0.00333,0.0017
381,0.000357,0.00325,0.00186
413,0.000416,0.00232,0.000374
445,0.00081,0.00187,0.00133
477,0.00167,0.00126,0.00151
509,0.00136,0.00131,0.00139
573,0.000974,0.00159,0.00114
637,0.0013,0.000818,0.00152
701,0.00142,0.000822,0.000886
765,0.00225,0.0011,0.000608
829,0.00144,0.00152,0.000887
893,0.00137,0.0012,0.000452
957,0.00151,0.000973,0.00158
1.02E+03,0.000717,0.000671,0.00132
1.15E+03,0.00141,0.00207,0.000237
1.28E+03,0.000942,0.000425,0.00056
1.40E+03,0.000308,0.000231,0.000418
1.53E+03,0.000585,0.000629,0.000458
1.66E+03,8.38E-05,0.000407,0.000679
1.79E+03,0.000769,0.000549,0.000126
1.92E+03,0.000332,0.00103,0.00054
2.04E+03,0.00022,0.000458,0.000532
2.30E+03,0.000909,9.19E-05,0.00123
2.56E+03,0.00128,0.000119,0.000701
2.81E+03,0.00094,0.000169,2.75E-05
3.07E+03,0.000117,0.000523,0.000708
3.32E+03,0.000244,5.99E-05,0.000552
3.58E+03,0.000469,0.000273,0.00107
3.84E+03,0.00024,0.000326,0.00015
4.09E+03,0.000246,0,0.000103
4.60E+03,0.000316,0.000446,0.000374
5.12E+03,0.000465,0.000473,0.000241
5.63E+03,0.000357,0.000129,0.000178
6.14E+03,0.000152,0.00029,0.00017
6.65E+03,0.000213,0.000534,0.000139
7.16E+03,0.00097,0.000711,0.000228
7.68E+03,0.000723,0.000356,0.000159
8.19E+03,0.000176,0.000357,0.000194
9.21E+03,0.000341,0.000253,0.00019
1.02E+04,0.000207,8.70E-05,0.000192
1.13E+04,0.000188,0.000499,0.000487
1.23E+04,0.000322,0.000277,0
1.33E+04,0.000437,0.000334,0.000324
1.43E+04,0.000182,0.000289,0.000118
1.54E+04,0.000104,2.38E-05,0.000387
1.64E+04,0.000149,6.99E-05,0.000183
1.84E+04,0.000394,0.000139,0.000104
2.05E+04,0.000192,0.00033,0
2.25E+04,0.000292,5.95E-05,6.08E-05
2.46E+04,1.46E-05,7.32E-08,0.000193
2.66E+04,4.86E-05,0,0.00023
2.87E+04,0.000205,0.000154,0.00025
3.07E+04,0.000134,0.000259,8.09E-05
3.28E+04,7.78E-05,0.000503,0.000337
3.69E+04,1.62E-05,4.45E-05,0.000214
4.10E+04,0.000135,4.93E-05,0.00014
4.51E+04,2.09E-05,0.000152,0.000121
4.91E+04,0,0.000267,0.000289
5.32E+04,5.84E-05,0,0.000216
5.73E+04,3.36E-05,0.000256,0.000215
6.14E+04,1.04E-05,2.11E-06,0.000156
6.55E+04,8.11E-05,0.000125,0.000138
7.37E+04,5.25E-05,0.000178,0.000269
8.19E+04,0.00011,8.77E-06,0.000115
9.01E+04,2.03E-05,4.41E-05,7.00E-05
9.83E+04,9.31E-05,5.17E-05,0.000138
1.06E+05,0.000157,2.47E-05,6.96E-05
1.15E+05,6.50E-05,9.55E-05,0.000115
1.23E+05,9.93E-05,0.000162,0.000176
1.31E+05,0.000132,2.49E-05,0.000159
1.47E+05,0.00025,5.14E-05,0.000123
1.64E+05,0.000194,3.88E-05,0.000118
1.80E+05,0.000177,4.93E-05,0.000122
1.97E+05,0.000153,7.39E-05,0.000188
2.13E+05,5.97E-05,0.000147,0.000106
2.29E+05,0.00012,3.66E-05,0.000124
2.46E+05,1.07E-05,5.61E-05,0.000264
2.62E+05,1.65E-05,9.95E-05,0.000163
2.95E+05,0,0.000236,0.000139
3.28E+05,3.43E-05,0.000245,0.000186
3.60E+05,8.83E-05,0.000141,0.000225
3.93E+05,8.67E-07,0.000152,0.000165
4.26E+05,6.06E-05,0.000248,0.00024
4.59E+05,1.97E-05,0.000216,0.000202
4.92E+05,0.000139,5.02E-05,0.00018
5.24E+05,0.000151,0.000145,0.000252
5.90E+05,0.000182,7.22E-05,0.000126
6.55E+05,0.000451,3.18E-05,0.000526
7.21E+05,0.0001,0.000344,0.000508
7.86E+05,0.000118,4.02E-05,0.000515
8.52E+05,0.000281,0.000284,0.000236
9.18E+05,0.00026,0.00024,0.000156
9.83E+05,0.000143,1.80E-05,0.000343
1.05E+06,0.000363,0.000388,0.000178
1.18E+06,0.000278,0.000191,0.000138
1.31E+06,6.25E-05,0.000195,6.28E-05
1.44E+06,5.30E-05,0.000166,0.00017
1.57E+06,0.000276,0.000248,0.000294
1.70E+06,0.000104,4.52E-05,0.000144
