X Lag Time,Record 1: JJ1_10mg_000rpm_00-00min_NA_No2_230626 1,Record 2: JJ1_10mg_000rpm_00-00min_NA_No2_230626 2,Record 3: JJ1_10mg_000rpm_00-00min_NA_No2_230626 3,X Intensity,Record 1: JJ1_10mg_000rpm_00-00min_NA_No2_230626 1,Record 2: JJ1_10mg_000rpm_00-00min_NA_No2_230626 2,Record 3: JJ1_10mg_000rpm_00-00min_NA_No2_230626 3
0.5,0.831,0.833,0.828,0.4,0,0,0
1,0.814,0.815,0.809,0.463,0,0,0
1.5,0.792,0.794,0.787,0.536,0,0,0
2,0.772,0.771,0.767,0.621,0,0,0
2.5,0.749,0.754,0.746,0.719,0,0,0
3,0.731,0.735,0.727,0.833,0,0,0
3.5,0.714,0.715,0.711,0.965,0,0,0
4,0.695,0.697,0.691,1.12,0,0,0
4.5,0.678,0.679,0.675,1.29,0,0,0
5.5,0.645,0.646,0.642,1.5,0,0,0
6.5,0.613,0.613,0.608,1.74,0,0,0
7.5,0.584,0.584,0.579,2.01,0,0,0
8.5,0.553,0.555,0.551,2.33,0,0,0
9.5,0.528,0.527,0.523,2.7,0,0,0
10.5,0.501,0.503,0.499,3.12,0,0,0
11.5,0.477,0.479,0.474,3.62,0,0,0
12.5,0.454,0.456,0.452,4.19,0,0,0
14.5,0.411,0.413,0.409,4.85,0,0,0
16.5,0.372,0.374,0.371,5.61,0,0,0
18.5,0.337,0.339,0.336,6.5,0,0,0
20.5,0.305,0.307,0.304,7.53,0.654,2.28,2.25
22.5,0.277,0.279,0.276,8.72,5.21,6.74,6.78
24.5,0.251,0.251,0.25,10.1,12.1,12,12.1
26.5,0.227,0.229,0.227,11.7,18.2,16.2,16.5
28.5,0.206,0.209,0.205,13.5,20.9,18.1,18.4
32.5,0.169,0.173,0.17,15.7,19.3,17.1,17.3
36.5,0.14,0.142,0.14,18.2,14,13.6,13.6
40.5,0.115,0.117,0.115,21,7.42,8.78,8.52
44.5,0.0936,0.0968,0.0945,24.4,2.19,4.1,3.79
48.5,0.0778,0.0799,0.0784,28.2,0,1,0.799
52.5,0.0632,0.0651,0.0645,32.7,0,0,0
56.5,0.0521,0.0534,0.0531,37.8,0,0,0
60.5,0.0432,0.0446,0.0441,43.8,0,0,0
68.5,0.0295,0.0311,0.0295,50.7,0,0,0
76.5,0.0205,0.0213,0.0203,58.8,0,0,0
84.5,0.0143,0.0144,0.0141,68.1,0,0,0
92.5,0.00941,0.0102,0.0106,78.8,0,0,0
101,0.0064,0.00699,0.00761,91.3,0,0,0
109,0.00415,0.00454,0.00566,106,0,0,0
117,0.00337,0.00363,0.00401,122,0,0,0
125,0.00305,0.00259,0.00323,142,0,0,0
141,0.00224,0.00194,0.00213,164,0,0,0
157,0.000784,0.00125,0.00156,190,0,0,0
173,0.000251,0.00114,0.00214,220,0,0,0
189,0.000186,0.00126,0.0016,255,0,0,0
205,0.000874,0.00112,0.00121,295,0,0,0
221,0.000869,0.0017,0.0005,342,0,0,0
237,0.000824,0.00151,0.00101,396,0,0,0
253,0.00109,0.00115,0.000726,459,0,0,0
285,0.000589,0.00106,0.00109,531,0,0,0
317,0.000828,0.000791,0.00096,615,0,0,0
349,0.000537,0.00132,0.000401,712,0,0,0
381,0.000579,0.000819,0.000746,825,0,0,0
413,0.000606,0.000509,0.000743,955,0,0,0
445,0.00142,0.00065,0.0011,1.11E+03,0,0,0
477,0.00179,0.000673,0.00092,1.28E+03,0,0,0
509,0.00141,0.000301,0.000631,1.48E+03,0,0,0
573,0.000441,0.000174,0.000548,1.72E+03,0,0,0
637,0.000141,0,0.000896,1.99E+03,0,0,0
701,0.00122,0.000388,0.000412,2.30E+03,0,0,0
765,0.000638,0.000612,0.000859,2.67E+03,0,0,0
829,0.000465,0.0012,0.000766,3.09E+03,0,0,0
893,0.00112,0.00021,0.00119,3.58E+03,0,0,0
957,0.000332,0.00215,0.00157,4.15E+03,0,0,0
1.02E+03,0.0005,0.00133,0.0013,4.80E+03,0,0,0
1.15E+03,0.00116,0.000438,0.000939,5.56E+03,0,0,0
1.28E+03,3.84E-05,0.000835,0.000511,6.44E+03,0,0,0
1.40E+03,0.000522,0.000258,0.000396,7.46E+03,0,0,0
1.53E+03,0.000555,0,0.000179,8.63E+03,0,0,0
1.66E+03,0.000182,0.000255,0.000997,,,,
1.79E+03,0.00128,0.000363,0.000869,,,,
1.92E+03,0.00062,0.00058,0.000105,,,,
2.04E+03,0.000665,0.000341,0.000278,,,,
2.30E+03,0.0001,0.000785,0.000667,,,,
2.56E+03,0.000499,0.000452,0.000173,,,,
2.81E+03,8.96E-05,0.000517,0.00126,,,,
3.07E+03,0.000347,0.000125,0.00015,,,,
3.32E+03,0.000232,0.000518,0.00035,,,,
3.58E+03,0.000474,9.75E-05,0.000714,,,,
3.84E+03,0.000804,0.000393,0.00149,,,,
4.09E+03,3.79E-05,1.50E-05,0.000454,,,,
4.60E+03,0.000163,0.000317,0.000173,,,,
5.12E+03,0.000342,0.000359,0.000177,,,,
5.63E+03,0.000498,0.000445,0.000199,,,,
6.14E+03,0.000255,0.000122,0.00016,,,,
6.65E+03,0.000247,0.00039,0.000201,,,,
7.16E+03,0.000564,0.000322,0.000399,,,,
7.68E+03,0.000102,0.00014,0.000106,,,,
8.19E+03,3.55E-05,0.000328,0.000343,,,,
9.21E+03,6.01E-05,0.000184,9.35E-05,,,,
1.02E+04,0,0.000229,9.52E-05,,,,
1.13E+04,0.000185,0,6.20E-05,,,,
1.23E+04,0.000253,2.58E-05,0.000206,,,,
1.33E+04,1.66E-05,0.000156,0.000698,,,,
1.43E+04,0.000109,0.000226,0,,,,
1.54E+04,0.000222,8.41E-05,0.000209,,,,
1.64E+04,0.000121,0,0.000203,,,,
1.84E+04,0.000106,3.57E-05,2.14E-05,,,,
2.05E+04,0.000163,0,3.22E-05,,,,
2.25E+04,9.41E-05,5.48E-05,0.000161,,,,
2.46E+04,0.00014,2.51E-06,0.000193,,,,
2.66E+04,0.000111,5.99E-05,0.000238,,,,
2.87E+04,2.94E-05,0.000303,0.000204,,,,
3.07E+04,0.000256,0,0.000167,,,,
3.28E+04,0.000147,0.000111,6.52E-05,,,,
3.69E+04,0.000176,9.51E-05,7.58E-05,,,,
4.10E+04,8.14E-05,8.52E-06,6.04E-05,,,,
4.51E+04,0.000186,0.000113,4.74E-05,,,,
4.91E+04,0.000175,7.54E-05,0.000105,,,,
5.32E+04,0.000203,0.000166,0.000113,,,,
5.73E+04,0.000268,0.000236,0.000252,,,,
6.14E+04,0.000156,0.000101,4.29E-05,,,,
6.55E+04,0.000247,0.000139,6.61E-05,,,,
7.37E+04,0.000112,4.88E-05,4.63E-05,,,,
8.19E+04,0.000197,8.39E-05,0.000131,,,,
9.01E+04,0.000139,0.000129,6.81E-05,,,,
9.83E+04,0.000179,8.51E-05,0.000126,,,,
1.06E+05,0.000173,0.000137,0.000112,,,,
1.15E+05,0.000454,0.000111,5.35E-05,,,,
1.23E+05,0.000168,0.00021,0.000111,,,,
1.31E+05,1.41E-05,0.000129,5.54E-05,,,,
1.47E+05,2.82E-05,0.000121,0.000108,,,,
1.64E+05,7.03E-05,0.000127,1.34E-05,,,,
1.80E+05,1.62E-06,0.000129,0.000209,,,,
1.97E+05,0,4.65E-05,8.61E-05,,,,
2.13E+05,4.58E-05,0.000151,0.000177,,,,
2.29E+05,0,7.98E-05,0.000117,,,,
2.46E+05,0,0.000202,0.000112,,,,
2.62E+05,0.000135,3.91E-05,0.000207,,,,
2.95E+05,0.000117,6.68E-05,3.21E-05,,,,
3.28E+05,0.000147,0.000123,0.000351,,,,
3.60E+05,0.000265,4.46E-05,0.000185,,,,
3.93E+05,0.000121,1.62E-05,0.000259,,,,
4.26E+05,7.77E-05,0.00012,9.42E-05,,,,
4.59E+05,7.02E-05,0.000125,0.000222,,,,
4.92E+05,0.000138,8.66E-05,0.000234,,,,
5.24E+05,0.000274,0.000279,0.000117,,,,
5.90E+05,0.000179,0.000297,0.000219,,,,
6.55E+05,0.000191,0.000391,0.000232,,,,
7.21E+05,0.000356,0.00019,0.000266,,,,
7.86E+05,0.000136,0.000263,0.00015,,,,
8.52E+05,0.000244,0.000388,0.000162,,,,
9.18E+05,0.000289,0.000252,0.000148,,,,
9.83E+05,0.000294,0.000433,0.000311,,,,
1.05E+06,4.76E-05,0,0.000177,,,,
1.18E+06,0.000112,0,0.000227,,,,
1.31E+06,0.000235,7.29E-06,0.000216,,,,
1.44E+06,0.000244,2.43E-05,0.000153,,,,
1.57E+06,0.000237,0,4.63E-05,,,,
1.70E+06,0.000142,8.26E-05,0.000307,,,,
1.84E+06,0.000228,3.26E-05,0.000238,,,,
1.97E+06,0.000123,6.84E-05,0.000204,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
