X Lag Time,Record 1: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No3_230629 1,Record 2: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No3_230629 2,Record 3: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No3_230629 3,X Intensity,Record 1: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No3_230629 1,Record 2: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No3_230629 2,Record 3: JJ1_10mg_PS20_250ug_000rpm_00-00min_NA_No3_230629 3
0.5,0.822,0.824,0.828,0.4,0,0,0
1,0.806,0.806,0.81,0.463,0,0,0
1.5,0.783,0.783,0.791,0.536,0,0,0
2,0.765,0.763,0.768,0.621,0,0,0
2.5,0.744,0.744,0.749,0.719,0,0,0
3,0.723,0.726,0.73,0.833,0,0,0
3.5,0.705,0.706,0.713,0.965,0,0,0
4,0.686,0.688,0.696,1.12,0,0,0
4.5,0.669,0.67,0.676,1.29,0,0,0
5.5,0.637,0.636,0.644,1.5,0,0,0
6.5,0.605,0.606,0.612,1.74,0,0,0
7.5,0.575,0.577,0.582,2.01,0,0,0
8.5,0.545,0.548,0.553,2.33,0,0,0
9.5,0.52,0.521,0.527,2.7,0,0,0
10.5,0.495,0.496,0.503,3.12,0,0,0
11.5,0.47,0.472,0.478,3.62,0,0,0
12.5,0.448,0.449,0.456,4.19,0,0,0
14.5,0.405,0.407,0.412,4.85,0,0,0
16.5,0.367,0.368,0.373,5.61,0,0,0
18.5,0.332,0.334,0.338,6.5,0,0,0
20.5,0.3,0.303,0.307,7.53,1.79,1.57,1.07
22.5,0.273,0.274,0.279,8.72,6.36,6.07,5.42
24.5,0.247,0.249,0.253,10.1,12.2,12.1,11.7
26.5,0.223,0.225,0.228,11.7,17.2,17.2,17.3
28.5,0.203,0.204,0.208,13.5,19.3,19.5,20
32.5,0.166,0.168,0.172,15.7,18,18.3,18.9
36.5,0.137,0.137,0.141,18.2,13.8,13.9,14.4
40.5,0.112,0.113,0.116,21,8.07,8.17,8.3
44.5,0.0926,0.0929,0.0955,24.4,3.02,3.03,2.88
48.5,0.0758,0.077,0.0796,28.2,0.241,0.227,0.0389
52.5,0.0621,0.0629,0.0652,32.7,0,0,0
56.5,0.0514,0.0526,0.0534,37.8,0,0,0
60.5,0.0418,0.0439,0.0442,43.8,0,0,0
68.5,0.029,0.0307,0.0293,50.7,0,0,0
76.5,0.0194,0.0214,0.0199,58.8,0,0,0
84.5,0.0129,0.0156,0.0137,68.1,0,0,0
92.5,0.00872,0.011,0.00861,78.8,0,0,0
101,0.00585,0.00731,0.00572,91.3,0,0,0
109,0.00393,0.00553,0.00456,106,0,0,0
117,0.00336,0.00507,0.00296,122,0,0,0
125,0.00194,0.00413,0.00278,142,0,0,0
141,0.00148,0.00401,0.00255,164,0,0,0
157,0.000886,0.00299,0.00166,190,0,0,0
173,0.000906,0.00231,0.000976,220,0,0,0
189,0.00076,0.00229,0.000121,255,0,0,0
205,0.000442,0.00164,2.21E-06,295,0,0,0
221,0.000365,0.00066,0.000236,342,0,0,0
237,0.000312,0.000356,0.000679,396,0,0,0
253,0.000141,0.000533,0.00114,459,0,0,0
285,0.000145,0.00052,0.00152,531,0,0,0
317,0.00054,0.00116,0.00055,615,0,0,0
349,0.000336,0.000635,0.000321,712,0,0,0
381,0.000494,0.000222,0.0006,825,0,0,0
413,0.000598,0.00112,0.000259,955,0,0,0
445,0.000616,0.00127,0.000235,1.11E+03,0,0,0
477,0.00102,0.000823,0.000454,1.28E+03,0,0,0
509,0.000407,0.000445,0.000317,1.48E+03,0,0,0
573,0.000803,0.000672,0,1.72E+03,0,0,0
637,0,0.0015,0.000592,1.99E+03,0,0,0
701,0.000342,0.000867,0.000811,2.30E+03,0,0,0
765,0.000486,0.00119,0.00162,2.67E+03,0,0,0
829,0.000443,0.000244,0.00119,3.09E+03,0,0,0
893,0.00111,0.000601,0.000817,3.58E+03,0,0,0
957,0.000958,0.000948,9.28E-05,4.15E+03,0,0,0
1.02E+03,0.000312,0.00111,9.17E-05,4.80E+03,0,0,0
1.15E+03,0.0011,0.000341,3.89E-05,5.56E+03,0,0,0
1.28E+03,0.000427,0,0.000573,6.44E+03,0,0,0
1.40E+03,0.000677,0.000272,0.00102,7.46E+03,0,0,0
1.53E+03,0,0.000305,0.000784,8.63E+03,0,0,0
1.66E+03,0.000225,0.000532,0,,,,
1.79E+03,0.000133,0.000277,0.00048,,,,
1.92E+03,0.000168,0.00034,0.000217,,,,
2.04E+03,0.00113,9.72E-05,0.000134,,,,
2.30E+03,0.00078,0.000141,0.000183,,,,
2.56E+03,3.41E-05,0.000243,0.000483,,,,
2.81E+03,0.000397,0.000418,0.000611,,,,
3.07E+03,0.000323,0.000225,9.84E-05,,,,
3.32E+03,0.001,0.000168,0.000349,,,,
3.58E+03,0.000153,8.00E-05,0.00064,,,,
3.84E+03,0.000191,0.000784,0.000312,,,,
4.09E+03,0.000627,0.000409,0.000357,,,,
4.60E+03,0,0.000128,0.000497,,,,
5.12E+03,0.000903,0.000454,0.000376,,,,
5.63E+03,0.000428,6.54E-05,0.000122,,,,
6.14E+03,0.000177,8.87E-05,0.000228,,,,
6.65E+03,0.000283,6.27E-05,0.000503,,,,
7.16E+03,2.27E-05,0.000491,0.000275,,,,
7.68E+03,0.000267,0.000168,0.000201,,,,
8.19E+03,0.000222,0.000139,0.00051,,,,
9.21E+03,0.000149,0.00018,0.00021,,,,
1.02E+04,0.000292,0.000436,0.000147,,,,
1.13E+04,9.48E-05,0.000341,6.07E-05,,,,
1.23E+04,5.44E-05,0.000118,0.000304,,,,
1.33E+04,0.000133,0.000174,0,,,,
1.43E+04,0.000247,8.78E-05,0.000446,,,,
1.54E+04,0.000207,0.000464,0.000208,,,,
1.64E+04,0.000268,0.000273,0.00037,,,,
1.84E+04,9.06E-05,6.23E-05,0.000465,,,,
2.05E+04,0.000115,0.000294,4.41E-05,,,,
2.25E+04,6.19E-05,9.34E-05,0.000176,,,,
2.46E+04,0.000385,1.84E-07,5.23E-05,,,,
2.66E+04,0.000241,0.000101,8.25E-05,,,,
2.87E+04,8.67E-05,5.43E-05,9.55E-05,,,,
