X Lag Time,Record 1: JJ2R 1,Record 2: JJ2R 2,Record 3: JJ2R 3
0.5,0.746,0.752,0.751
1,0.716,0.722,0.718
1.5,0.687,0.691,0.687
2,0.658,0.663,0.659
2.5,0.635,0.64,0.634
3,0.614,0.617,0.611
3.5,0.591,0.598,0.59
4,0.574,0.578,0.569
4.5,0.558,0.56,0.551
5.5,0.525,0.528,0.521
6.5,0.497,0.498,0.491
7.5,0.472,0.472,0.464
8.5,0.449,0.449,0.44
9.5,0.427,0.427,0.419
10.5,0.407,0.407,0.397
11.5,0.389,0.388,0.379
12.5,0.37,0.37,0.361
14.5,0.339,0.337,0.329
16.5,0.31,0.307,0.3
18.5,0.285,0.281,0.272
20.5,0.259,0.257,0.247
22.5,0.237,0.234,0.226
24.5,0.218,0.215,0.205
26.5,0.2,0.197,0.187
28.5,0.184,0.181,0.172
32.5,0.155,0.151,0.143
36.5,0.132,0.128,0.12
40.5,0.112,0.107,0.1
44.5,0.096,0.0906,0.0847
48.5,0.0819,0.0773,0.0712
52.5,0.0708,0.0663,0.0601
56.5,0.0606,0.057,0.0515
60.5,0.0525,0.0485,0.0445
68.5,0.0394,0.0363,0.0325
76.5,0.0301,0.0267,0.0238
84.5,0.0227,0.0207,0.0185
92.5,0.018,0.016,0.0143
101,0.0146,0.0121,0.0114
109,0.0121,0.00957,0.00904
117,0.0101,0.00802,0.0077
125,0.00927,0.00701,0.00645
141,0.00728,0.00516,0.00454
157,0.00601,0.00442,0.00337
173,0.00519,0.00347,0.00284
189,0.00496,0.00313,0.00264
205,0.00468,0.00338,0.00235
221,0.00437,0.00273,0.00127
237,0.0051,0.00203,0.00112
253,0.00478,0.00188,0.0011
285,0.00454,0.00112,0.00149
317,0.00458,0.0021,0.00121
349,0.00447,0.00243,0.00108
381,0.00443,0.00224,0.00115
413,0.00438,0.00218,0.000826
445,0.00482,0.00233,0.000354
477,0.00499,0.00191,0.000725
509,0.00443,0.00185,0.00122
573,0.00356,0.00203,0.00116
637,0.00354,0.00161,0.00115
701,0.00323,0.00239,0.000979
765,0.00273,0.00116,0.000592
829,0.00319,0.00158,0.000942
893,0.0036,0.00153,0.0015
957,0.00345,0.00175,0.00125
1.02E+03,0.00293,0.00152,0.00105
1.15E+03,0.00371,0.00139,0.000834
1.28E+03,0.00323,0.00181,0.000972
1.40E+03,0.00355,0.00142,0.000981
1.53E+03,0.00359,0.000857,0.000487
1.66E+03,0.00337,0.001,0.00061
1.79E+03,0.00279,0.001,0.00136
1.92E+03,0.00245,0.000567,0.0014
2.04E+03,0.0029,0.000819,0.00122
2.30E+03,0.00265,0.000938,0.00116
2.56E+03,0.00315,0.00118,0.000812
2.81E+03,0.00252,0.000515,0.000928
3.07E+03,0.00221,0.000478,0.00104
3.32E+03,0.00251,0.000579,0.000505
3.58E+03,0.00271,0.000515,0.000888
3.84E+03,0.00306,0.000663,0.000551
4.09E+03,0.00262,0.000658,0.00069
4.60E+03,0.00196,0.000992,0.000557
5.12E+03,0.00188,0.000542,0.00071
5.63E+03,0.00231,0.000871,0.000368
6.14E+03,0.00196,0.000834,0.000547
6.65E+03,0.00193,0.000844,0.000489
7.16E+03,0.00214,0.000625,0.000647
7.68E+03,0.00216,0.000744,0.000774
8.19E+03,0.00193,0.000665,0.000483
9.21E+03,0.00195,0.000575,0.000662
1.02E+04,0.00198,0.000834,0.000691
1.13E+04,0.00185,0.000574,0.000543
1.23E+04,0.00158,0.000712,0.000684
1.33E+04,0.00178,0.000668,0.000778
1.43E+04,0.002,0.000666,0.000579
1.54E+04,0.00163,0.000819,0.000636
1.64E+04,0.00167,0.000633,0.000599
1.84E+04,0.00158,0.000591,0.000614
2.05E+04,0.00167,0.0007,0.000296
2.25E+04,0.0016,0.000498,0.00059
2.46E+04,0.00168,0.0005,0.000264
2.66E+04,0.00175,0.000708,0.00043
2.87E+04,0.00167,0.000535,0.000514
3.07E+04,0.00173,0.000652,0.000273
3.28E+04,0.0016,0.000644,0.000216
3.69E+04,0.00149,0.000657,0.000361
4.10E+04,0.0012,0.000532,0.000376
4.51E+04,0.00119,0.000496,0.000355
4.91E+04,0.00124,0.000585,0.000341
5.32E+04,0.00115,0.000667,0.000282
5.73E+04,0.00122,0.000491,0.00029
6.14E+04,0.0013,0.000404,0.000245
6.55E+04,0.00112,0.00049,0.000305
7.37E+04,0.00101,0.000451,0.000274
8.19E+04,0.00105,0.000479,0.000206
9.01E+04,0.00105,0.000354,0.00011
9.83E+04,0.000824,0.000393,0.000257
1.06E+05,0.000792,0.0004,0.000182
1.15E+05,0.000781,0.000385,0.000209
1.23E+05,0.000873,0.000378,0.000215
1.31E+05,0.000848,0.000284,0.000129
1.47E+05,0.000757,0.00021,9.74E-05
1.64E+05,0.000685,0.000226,0.000184
1.80E+05,0.000806,0.000245,0.000125
1.97E+05,0.000584,0.000177,0.00016
2.13E+05,0.000739,0.000178,0.000236
2.29E+05,0.000677,0.000159,0.000131
2.46E+05,0.000873,0.000153,6.70E-05
2.62E+05,0.000921,0.000177,0.000257
2.95E+05,0.00104,0.000152,0.000182
3.28E+05,0.00101,0.000144,0.000112
3.60E+05,0.000958,0.000195,0.00024
3.93E+05,0.000946,0.000167,0.000256
4.26E+05,0.000794,0.000199,0.000146
4.59E+05,0.000576,0.000212,0.000192
4.92E+05,0.000718,0.000169,0.000161
5.24E+05,0.00104,0.00043,0.000115
5.90E+05,0.00145,0.000184,0.000184
6.55E+05,0.00156,0.000206,0.00013
7.21E+05,0.00183,3.69E-05,0.000174
7.86E+05,0.00221,0.000138,0.000169
8.52E+05,0.00214,6.20E-05,0.000125
9.18E+05,0.002,0.00012,0.000196
9.83E+05,0.00173,0.00023,0.000266
1.05E+06,0.000357,3.24E-05,0.000214
1.18E+06,0.000476,0.000206,0.00032
1.31E+06,0.000342,6.37E-05,0.000382
1.44E+06,8.88E-05,8.76E-05,0.000159
1.57E+06,0.00011,0.000117,8.65E-05
1.70E+06,9.91E-05,3.98E-05,0.000176
1.84E+06,0.000284,7.32E-06,0.000101
1.97E+06,0.000288,0.000229,0.000275
2.10E+06,0.000205,0.000254,0.000224
2.36E+06,3.69E-05,0.000466,0.000574
2.62E+06,0.000125,0.000507,0.000181
2.88E+06,0.000444,0.000241,0.000668
3.15E+06,0.000458,0.000342,0.000377
3.41E+06,0.00033,0.000156,0.000144
3.67E+06,0.000363,0.000305,8.76E-05
3.93E+06,0.000129,0.000318,0.000321
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
