X Lag Time,Record 13: JJ3 1,Record 14: JJ3 2,Record 15: JJ3 3
0.5,0.771,0.75,0.761
1,0.739,0.717,0.726
1.5,0.705,0.684,0.693
2,0.675,0.657,0.665
2.5,0.651,0.63,0.64
3,0.627,0.608,0.617
3.5,0.605,0.584,0.593
4,0.587,0.564,0.573
4.5,0.568,0.547,0.556
5.5,0.534,0.513,0.521
6.5,0.504,0.484,0.492
7.5,0.478,0.458,0.466
8.5,0.453,0.433,0.44
9.5,0.431,0.411,0.417
10.5,0.41,0.392,0.397
11.5,0.391,0.372,0.377
12.5,0.373,0.354,0.36
14.5,0.339,0.322,0.327
16.5,0.31,0.293,0.296
18.5,0.283,0.265,0.269
20.5,0.259,0.241,0.246
22.5,0.236,0.221,0.224
24.5,0.215,0.201,0.203
26.5,0.197,0.182,0.186
28.5,0.181,0.167,0.17
32.5,0.152,0.138,0.142
36.5,0.128,0.116,0.118
40.5,0.107,0.097,0.0991
44.5,0.0913,0.0812,0.0836
48.5,0.0766,0.0678,0.0703
52.5,0.0653,0.0561,0.0589
56.5,0.0555,0.0474,0.0498
60.5,0.0471,0.0406,0.0424
68.5,0.0336,0.0291,0.0298
76.5,0.0247,0.0212,0.0228
84.5,0.0179,0.0156,0.0164
92.5,0.0135,0.0118,0.0117
101,0.0108,0.00852,0.00878
109,0.00856,0.0062,0.00705
117,0.00662,0.00444,0.00604
125,0.00525,0.00396,0.00482
141,0.00352,0.00315,0.00348
157,0.0021,0.00237,0.0025
173,0.00106,0.00152,0.00134
189,0.000897,0.000857,0.00118
205,0.00156,0.000578,0.00111
221,0.00113,0.000701,0.00114
237,0.00117,0.000905,0.00125
253,0.00108,0.000819,0.000816
285,0.000581,0.000875,0.000284
317,0.000734,0.000754,0.000233
349,0.00145,0.000892,2.28E-05
381,0.00102,0.000954,0.000543
413,0.000885,0.000717,0.000674
445,0.000618,0.000806,0.000451
477,0.00091,0.000996,0.00056
509,0.00067,0.000551,0.00104
573,0.00066,0.000393,0.000419
637,0.000747,0.000768,0.000536
701,0.00072,0.000938,0.000893
765,0.000469,0.000668,0.000675
829,0.000828,0.000769,0.000353
893,0.000641,0.000491,0.000538
957,0.000748,0.000906,0.000377
1.02E+03,0.000527,0.000921,0.000436
1.15E+03,0.000489,0,0.000322
1.28E+03,0.000566,0.000164,0.000727
1.40E+03,9.30E-05,0.000642,0.00123
1.53E+03,3.19E-05,5.78E-05,0.000407
1.66E+03,0.000146,0.000516,0.000304
1.79E+03,0.000697,0.000525,0.000198
1.92E+03,0.000424,0.000554,0.000375
2.04E+03,0.000765,0.000453,0.000184
2.30E+03,0.000498,0.000395,6.77E-05
2.56E+03,0.000271,0.000414,0.000556
2.81E+03,0.000406,0.000234,0.000255
3.07E+03,0.000295,0.000319,0.000316
3.32E+03,0.000465,0.000186,0.00022
3.58E+03,0.000732,0.000142,0.000393
3.84E+03,0.000303,0.000292,0.000676
4.09E+03,0.000193,0.000456,0.000325
4.60E+03,0.000258,5.20E-05,0.000113
5.12E+03,0.000339,6.44E-05,0.000129
5.63E+03,0.000217,0.000145,1.28E-05
6.14E+03,0.000357,8.82E-05,0.000102
6.65E+03,0.000387,0.000241,0.000201
7.16E+03,0.000227,0.000198,0.000511
7.68E+03,0.000262,0.000198,0.00047
8.19E+03,0.000194,0.000132,0.000496
9.21E+03,0.000227,0.000191,8.34E-05
1.02E+04,0.000286,9.78E-05,0.000115
1.13E+04,0.000452,7.13E-05,0.000158
1.23E+04,0.000349,0.000298,0.000441
1.33E+04,0.000231,0.000253,0.000329
1.43E+04,0.000353,0.000133,0.00038
1.54E+04,0.000273,0.000266,0.000261
1.64E+04,0.000399,0.00016,0.000183
