X Lag Time,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3,X Intensity,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3
0.5,0.877,0.869,0.88,0.4,0,0,0
1,0.88,0.873,0.883,0.463,0,0,0
1.5,0.879,0.872,0.881,0.536,0,0,0
2,0.878,0.87,0.881,0.621,0,0,0
2.5,0.875,0.868,0.88,0.719,0,0,0
3,0.874,0.865,0.877,0.833,0,0,0
3.5,0.871,0.865,0.876,0.965,0,0,0
4,0.872,0.864,0.874,1.12,0,0,0
4.5,0.87,0.862,0.873,1.29,0,0,0
5.5,0.867,0.858,0.87,1.5,0,0,0
6.5,0.864,0.856,0.866,1.74,0,0,0
7.5,0.86,0.854,0.864,2.01,0,0,0
8.5,0.859,0.851,0.863,2.33,0,0,0
9.5,0.855,0.849,0.858,2.7,0,0,0
10.5,0.854,0.845,0.856,3.12,0,0,0
11.5,0.851,0.843,0.855,3.62,0,0,0
12.5,0.848,0.841,0.851,4.19,0,0,0
14.5,0.843,0.835,0.847,4.85,0,0,0
16.5,0.838,0.831,0.842,5.61,0,0,0
18.5,0.832,0.826,0.836,6.5,0,0,0
20.5,0.827,0.821,0.832,7.53,0,0,0
22.5,0.823,0.816,0.827,8.72,0,0,0
24.5,0.817,0.811,0.822,10.1,0,0,0
26.5,0.812,0.806,0.817,11.7,0,0,0
28.5,0.808,0.801,0.813,13.5,0,0,0
32.5,0.798,0.792,0.803,15.7,0,0,0
36.5,0.788,0.783,0.794,18.2,0,0,0
40.5,0.778,0.773,0.784,21,0,0,0
44.5,0.77,0.764,0.774,24.4,0,0,0
48.5,0.76,0.754,0.765,28.2,0,0,0
52.5,0.751,0.746,0.757,32.7,0,0,0
56.5,0.742,0.737,0.747,37.8,0,0,0
60.5,0.733,0.728,0.739,43.8,0,0,0
68.5,0.716,0.71,0.722,50.7,0,0,0
76.5,0.699,0.694,0.705,58.8,0,0,0
84.5,0.682,0.677,0.688,68.1,0,0,0
92.5,0.666,0.662,0.672,78.8,0,0,0
101,0.65,0.646,0.656,91.3,0,0,0
109,0.634,0.63,0.641,106,0,0,0
117,0.619,0.616,0.626,122,2.23,0,2.12
125,0.604,0.601,0.611,142,9.84,8.61,8.87
141,0.576,0.573,0.583,164,18.7,20.2,17
157,0.548,0.546,0.556,190,23.7,26.8,22.2
173,0.522,0.52,0.531,220,22.3,24.4,22
189,0.498,0.495,0.506,255,15.4,15,16.6
205,0.474,0.472,0.483,295,6.81,4.84,8.82
221,0.452,0.449,0.461,342,0.963,0,2.44
237,0.431,0.428,0.44,396,0,0,0
253,0.411,0.408,0.421,459,0,0,0
285,0.373,0.371,0.383,531,0,0,0
317,0.339,0.336,0.349,615,0,0,0
349,0.308,0.305,0.318,712,0,0,0
381,0.279,0.277,0.29,825,0,0,0
413,0.253,0.25,0.264,955,0,0,0
445,0.229,0.227,0.24,1.11E+03,0,0,0
477,0.208,0.205,0.219,1.28E+03,0,0,0
509,0.19,0.186,0.199,1.48E+03,0,0,0
573,0.156,0.151,0.165,1.72E+03,0,0,0
637,0.13,0.123,0.136,1.99E+03,0,0,0
701,0.107,0.0999,0.113,2.30E+03,0,0,0
765,0.0885,0.0809,0.0943,2.67E+03,0,0,0
829,0.0727,0.0655,0.078,3.09E+03,0,0,0
893,0.0597,0.0533,0.0642,3.58E+03,0,0,0
957,0.0487,0.0435,0.0525,4.15E+03,0,0,0
1.02E+03,0.0404,0.0357,0.0428,4.80E+03,0,0,0
1.15E+03,0.028,0.0219,0.0267,5.56E+03,0,0,0
1.28E+03,0.0208,0.0125,0.0171,6.44E+03,0,0,0
1.40E+03,0.0158,0.00749,0.0116,7.46E+03,0,0,0
1.53E+03,0.0114,0.00625,0.00809,8.63E+03,0,0,0
1.66E+03,0.00843,0.00672,0.00629,,,,
1.79E+03,0.00725,0.00687,0.00572,,,,
1.92E+03,0.00672,0.00587,0.00602,,,,
2.04E+03,0.00585,0.00543,0.0054,,,,
2.30E+03,0.00443,0.00529,0.00333,,,,
2.56E+03,0.0032,0.00701,0.00293,,,,
2.81E+03,0.00263,0.00796,0.00283,,,,
3.07E+03,0.0016,0.00586,0.00407,,,,
3.32E+03,0.00169,0.0045,0.00579,,,,
3.58E+03,0.00406,0.00464,0.00485,,,,
3.84E+03,0.00404,0.00412,0.00267,,,,
4.09E+03,0.00316,0.00349,0.00301,,,,
4.60E+03,0.00258,0.000565,0.00273,,,,
5.12E+03,0.00339,0.00139,0.00279,,,,
5.63E+03,0.0015,0.00185,0.000201,,,,
6.14E+03,0.00198,0.00203,0,,,,
6.65E+03,0.00209,0.00121,0.00279,,,,
7.16E+03,0.000955,0.00187,0.00595,,,,
7.68E+03,0.00286,0.0013,0.00518,,,,
8.19E+03,0.00253,0.00324,0.0042,,,,
9.21E+03,0.00217,0.00383,0.00238,,,,
1.02E+04,0.000942,0.00116,0.0016,,,,
1.13E+04,0.00311,0.00141,0.00719,,,,
1.23E+04,0.00226,0.0047,0.0017,,,,
1.33E+04,0.00228,0.00414,0.00237,,,,
1.43E+04,0.00455,0.00265,0.00184,,,,
1.54E+04,0.00593,0.00343,0.00477,,,,
1.64E+04,0.0029,0.00364,0.00284,,,,
1.84E+04,0.00327,0.00292,0.00115,,,,
2.05E+04,0.0019,0.00234,0.00341,,,,
2.25E+04,0.000561,0.00125,0.00504,,,,
2.46E+04,0.0025,0.000964,0.00573,,,,
2.66E+04,0.00435,0.00188,0.000583,,,,
2.87E+04,0.00452,0.00426,0.00206,,,,
3.07E+04,0.00316,0.0042,0.00128,,,,
3.28E+04,0.00238,0.00183,0.00303,,,,
3.69E+04,0.00188,0.00271,0.00331,,,,
4.10E+04,0.000714,0.000635,0.0022,,,,
4.51E+04,0.00206,0.00168,0.000634,,,,
4.91E+04,0.0029,0.000781,0.00277,,,,
5.32E+04,0.000476,0.00124,0.0029,,,,
5.73E+04,0.000992,0.00217,0.00259,,,,
6.14E+04,0.00286,0.000311,0.00361,,,,
6.55E+04,0.000704,0.00221,0.00148,,,,
7.37E+04,0.00153,0.000651,0.00131,,,,
8.19E+04,0.00135,0.000313,0.00168,,,,
9.01E+04,0.000451,0.00269,0.000896,,,,
9.83E+04,0.000323,0.00202,0,,,,
1.06E+05,0.00134,0.00258,0.00098,,,,
1.15E+05,0.000751,0.00102,0.00306,,,,
1.23E+05,0.00122,0.000416,0.000807,,,,
1.31E+05,0.000445,0.00112,0.000944,,,,
1.47E+05,0,0.000891,0.00202,,,,
1.64E+05,0.000781,0.000495,0.000691,,,,
1.80E+05,0,0.000653,0.00135,,,,
1.97E+05,0.00119,0.00019,0.00228,,,,
2.13E+05,8.94E-06,0.000338,0.00179,,,,
2.29E+05,1.16E-05,0.00141,0.000752,,,,
2.46E+05,0.000759,0.00113,0.00132,,,,
2.62E+05,0.000825,0.00175,0.00125,,,,
2.95E+05,0.00116,0.000945,0.000413,,,,
3.28E+05,0.00123,0.000573,0.00103,,,,
3.60E+05,0.000821,0.000569,0.00048,,,,
3.93E+05,0.000394,0.000687,0.00168,,,,
4.26E+05,0.00104,0.000487,0.000637,,,,
4.59E+05,0.00198,0.000728,0.000572,,,,
4.92E+05,0.000324,0.000217,0.000208,,,,
5.24E+05,0.00219,0.000791,0.0023,,,,
5.90E+05,0.00167,0.000688,0.00177,,,,
6.55E+05,0.00172,0.0014,0.00102,,,,
7.21E+05,0.00249,0.00125,0.00201,,,,
7.86E+05,0.00239,0.000757,0.000539,,,,
8.52E+05,0.00195,0.000289,0.00161,,,,
9.18E+05,0.00158,0.00145,0.0012,,,,
9.83E+05,0.00248,0.000984,0.00015,,,,
1.05E+06,0.00163,0.000185,0.000803,,,,
1.18E+06,0.00233,0.000135,0.00108,,,,
1.31E+06,0.00171,0.0017,0.00224,,,,
1.44E+06,0.00196,0.00156,0.00143,,,,
1.57E+06,0.00189,0.00133,0.0015,,,,
1.70E+06,0.00263,0.000733,0.000835,,,,
1.84E+06,0.00267,0.00112,0.00319,,,,
1.97E+06,0.00295,0.000919,0.00243,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
