X Lag Time,Record 1: SST_230607 1,Record 2: SST_230607 2,Record 3: SST_230607 3,X Intensity,Record 1: SST_230607 1,Record 2: SST_230607 2,Record 3: SST_230607 3
0.5,0.875,0.861,0.856,0.4,0,0,0
1,0.876,0.865,0.858,0.463,0,0,0
1.5,0.876,0.863,0.855,0.536,0,0,0
2,0.875,0.86,0.854,0.621,0,0,0
2.5,0.875,0.86,0.852,0.719,0,0,0
3,0.872,0.858,0.851,0.833,0,0,0
3.5,0.868,0.855,0.848,0.965,0,0,0
4,0.871,0.855,0.851,1.12,0,0,0
4.5,0.867,0.853,0.848,1.29,0,0,0
5.5,0.864,0.851,0.842,1.5,0,0,0
6.5,0.862,0.848,0.842,1.74,0,0,0
7.5,0.861,0.846,0.839,2.01,0,0,0
8.5,0.858,0.844,0.836,2.33,0,0,0
9.5,0.854,0.841,0.834,2.7,0,0,0
10.5,0.854,0.839,0.832,3.12,0,0,0
11.5,0.85,0.837,0.829,3.62,0,0,0
12.5,0.849,0.834,0.827,4.19,0,0,0
14.5,0.845,0.831,0.823,4.85,0,0,0
16.5,0.839,0.824,0.819,5.61,0,0,0
18.5,0.836,0.82,0.814,6.5,0,0,0
20.5,0.831,0.817,0.81,7.53,0,0,0
22.5,0.826,0.811,0.805,8.72,0,0,0
24.5,0.822,0.807,0.799,10.1,0,0,0
26.5,0.818,0.801,0.795,11.7,0,0,0
28.5,0.814,0.797,0.791,13.5,0,0,0
32.5,0.805,0.79,0.783,15.7,0,0,0
36.5,0.796,0.781,0.774,18.2,0,0,0
40.5,0.789,0.772,0.766,21,0,0,0
44.5,0.78,0.764,0.757,24.4,0,0,0
48.5,0.772,0.755,0.749,28.2,0,0,0
52.5,0.764,0.747,0.74,32.7,0,0,0
56.5,0.756,0.738,0.733,37.8,0,0,0
60.5,0.748,0.73,0.725,43.8,0,0,0
68.5,0.733,0.715,0.709,50.7,0,0,0
76.5,0.718,0.7,0.693,58.8,0,0,0
84.5,0.703,0.684,0.678,68.1,0,0,0
92.5,0.688,0.67,0.664,78.8,0,0,0
101,0.674,0.655,0.649,91.3,0,0,0
109,0.66,0.641,0.635,106,0,0,0
117,0.646,0.627,0.621,122,1.3,0,0.599
125,0.633,0.613,0.607,142,7.74,5.15,5.76
141,0.608,0.587,0.582,164,16.3,13.4,13.4
157,0.584,0.562,0.557,190,22.2,20.4,19.7
173,0.56,0.538,0.533,220,22.6,22.8,21.9
189,0.538,0.515,0.51,255,17.5,19.7,19
205,0.517,0.493,0.488,295,9.58,12.7,12.7
221,0.497,0.472,0.467,342,2.79,5.22,5.78
237,0.477,0.452,0.447,396,0,0.602,1.12
253,0.458,0.433,0.428,459,0,0,0
285,0.423,0.397,0.393,531,0,0,0
317,0.391,0.364,0.36,615,0,0,0
349,0.361,0.333,0.33,712,0,0,0
381,0.334,0.305,0.302,825,0,0,0
413,0.31,0.28,0.277,955,0,0,0
445,0.287,0.257,0.254,1.11E+03,0,0,0
477,0.266,0.235,0.233,1.28E+03,0,0,0
509,0.247,0.216,0.214,1.48E+03,0,0,0
