X Lag Time,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No3_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No3_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No3_230608 3,X Intensity,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No3_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No3_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No3_230608 3
0.5,0.767,0.784,0.788,0.4,0,0,0
1,0.747,0.756,0.766,0.463,0,0,0
1.5,0.725,0.739,0.745,0.536,0,0,0
2,0.702,0.719,0.731,0.621,0,0,0.136
2.5,0.692,0.703,0.707,0.719,0,0,0.944
3,0.673,0.688,0.695,0.833,0,0,1.67
3.5,0.66,0.669,0.674,0.965,0,0,1.61
4,0.648,0.655,0.662,1.12,0,0,0.818
4.5,0.629,0.64,0.648,1.29,0,0,0.0348
5.5,0.602,0.618,0.62,1.5,0,0,0
6.5,0.583,0.586,0.598,1.74,0,0,0
7.5,0.562,0.574,0.577,2.01,0,0,0
8.5,0.541,0.548,0.557,2.33,0,0,0
9.5,0.52,0.53,0.537,2.7,0,0,0
10.5,0.504,0.513,0.518,3.12,0,0,0
11.5,0.486,0.495,0.502,3.62,0,0,0
12.5,0.469,0.479,0.485,4.19,0,0,0
14.5,0.439,0.449,0.455,4.85,0,0,0
16.5,0.412,0.423,0.432,5.61,0,0,0
18.5,0.386,0.397,0.402,6.5,0,0,0
20.5,0.366,0.375,0.378,7.53,0.26,0.122,0.592
22.5,0.343,0.354,0.36,8.72,2.89,2.53,3.78
24.5,0.325,0.332,0.338,10.1,7.28,6.77,8.58
26.5,0.306,0.314,0.321,11.7,11.7,11.2,12.9
28.5,0.288,0.297,0.304,13.5,14.3,14,15
32.5,0.257,0.266,0.273,15.7,14.3,14.3,14
36.5,0.232,0.24,0.244,18.2,11.8,12.1,10.4
40.5,0.209,0.216,0.223,21,7.69,8.11,5.75
44.5,0.188,0.196,0.203,24.4,3.61,3.96,1.85
48.5,0.17,0.18,0.187,28.2,0.871,1.04,0
52.5,0.155,0.163,0.174,32.7,0,0,0
56.5,0.142,0.151,0.16,37.8,0,0,0
60.5,0.132,0.139,0.149,43.8,0,0,0
68.5,0.114,0.121,0.13,50.7,0,0,0
76.5,0.0991,0.106,0.115,58.8,0,0,0
84.5,0.0876,0.0943,0.104,68.1,0,0,0
92.5,0.0781,0.0856,0.0943,78.8,0,0,0
101,0.0721,0.0774,0.0891,91.3,0,0,0
109,0.0667,0.072,0.0822,106,0,0,0
117,0.0632,0.0671,0.0782,122,0,0,0
