X Lag Time,Record 31: F6 1,Record 32: F6 2,Record 33: F6 3,X Intensity,Record 31: F6 1,Record 32: F6 2,Record 33: F6 3
0.5,0.863,0.883,0.869,0.4,0,0,0
1,0.864,0.886,0.87,0.463,0,0,0
1.5,0.863,0.881,0.867,0.536,0,0,0
2,0.859,0.879,0.865,0.621,0,0,0
2.5,0.858,0.877,0.863,0.719,0,0,0
3,0.856,0.876,0.859,0.833,0,0,0
3.5,0.855,0.875,0.86,0.965,0,0,0
4,0.854,0.872,0.858,1.12,0,0,0
4.5,0.852,0.87,0.856,1.29,0,0,0
5.5,0.849,0.868,0.853,1.5,0,0,0
6.5,0.846,0.864,0.849,1.74,0,0,0
7.5,0.843,0.861,0.847,2.01,0,0,0
8.5,0.839,0.859,0.844,2.33,0,0,0
9.5,0.837,0.856,0.842,2.7,0,0,0
10.5,0.836,0.853,0.839,3.12,0,0,0
11.5,0.833,0.851,0.837,3.62,0,0,0
12.5,0.831,0.849,0.834,4.19,0,0,0
14.5,0.826,0.844,0.829,4.85,0,0,0
16.5,0.822,0.839,0.825,5.61,0,0,0
18.5,0.817,0.834,0.82,6.5,0,0,0
20.5,0.812,0.831,0.816,7.53,0,0,0
22.5,0.809,0.826,0.811,8.72,0,0,0
24.5,0.804,0.823,0.807,10.1,0,0,0
26.5,0.8,0.819,0.803,11.7,0,0,0
28.5,0.797,0.814,0.799,13.5,0,0,0
32.5,0.79,0.807,0.792,15.7,0,0,0
36.5,0.783,0.799,0.784,18.2,0,0,0
40.5,0.776,0.793,0.776,21,0,0,0
44.5,0.769,0.785,0.769,24.4,0,0,0
48.5,0.763,0.778,0.763,28.2,0,0,0
52.5,0.756,0.772,0.756,32.7,0,0,0
56.5,0.75,0.766,0.75,37.8,0,0,0
60.5,0.745,0.76,0.744,43.8,0,0,0
68.5,0.733,0.748,0.732,50.7,0,0,0
76.5,0.722,0.737,0.72,58.8,0,0,0
84.5,0.712,0.725,0.709,68.1,0,0,0
92.5,0.701,0.715,0.698,78.8,0,0,0
101,0.692,0.705,0.688,91.3,0,0,0
109,0.682,0.694,0.678,106,0,0,0
117,0.673,0.684,0.668,122,0,0,0
125,0.664,0.675,0.658,142,0,0,0.295
141,0.646,0.657,0.639,164,0,0.163,1.48
157,0.629,0.639,0.622,190,1.14,1.69,3.54
173,0.612,0.623,0.604,220,3.7,4.58,6.09
189,0.596,0.606,0.588,255,7.17,8.17,8.62
205,0.581,0.591,0.572,295,10.7,11.6,10.7
221,0.566,0.575,0.556,342,13.4,14,11.9
237,0.552,0.56,0.542,396,14.8,14.9,12.2
253,0.538,0.546,0.527,459,14.5,14.2,11.5
285,0.512,0.519,0.499,531,12.6,12.1,10.1
317,0.487,0.493,0.473,615,9.72,9.06,8.13
349,0.464,0.468,0.449,712,6.4,5.78,5.96
381,0.442,0.445,0.426,825,3.36,2.91,3.88
413,0.421,0.424,0.404,955,1.19,0.927,2.15
445,0.402,0.403,0.384,1.11E+03,0.132,0.0408,0.916
477,0.383,0.383,0.364,1.28E+03,0,0,0.23
509,0.365,0.366,0.346,1.48E+03,0,0,0
573,0.332,0.332,0.313,1.72E+03,0,0,0
637,0.302,0.301,0.283,1.99E+03,0,0,0
701,0.275,0.274,0.256,2.30E+03,0,0,0
