X Lag Time,Record 7: G1 1,Record 8: G1 2,Record 9: G1 3,X Intensity,Record 7: G1 1,Record 8: G1 2,Record 9: G1 3
0.5,0.847,0.862,0.865,0.4,0,0,0
1,0.848,0.863,0.868,0.463,0,0,0
1.5,0.846,0.86,0.864,0.536,0,0,0
2,0.841,0.858,0.863,0.621,0,0,0
2.5,0.84,0.855,0.861,0.719,0,0,0
3,0.839,0.853,0.858,0.833,0,0,0
3.5,0.838,0.851,0.856,0.965,0,0,0
4,0.834,0.851,0.855,1.12,0,0,0
4.5,0.833,0.849,0.852,1.29,0,0,0
5.5,0.831,0.845,0.849,1.5,0,0,0
6.5,0.829,0.843,0.846,1.74,0,0,0
7.5,0.826,0.84,0.844,2.01,0,0,0
8.5,0.822,0.838,0.84,2.33,0,0,0
9.5,0.82,0.834,0.839,2.7,0,0,0
10.5,0.818,0.831,0.834,3.12,0,0,0
11.5,0.816,0.829,0.832,3.62,0,0,0
12.5,0.813,0.826,0.83,4.19,0,0,0
14.5,0.808,0.822,0.825,4.85,0,0,0
16.5,0.803,0.817,0.821,5.61,0,0,0
18.5,0.8,0.813,0.816,6.5,0,0,0
20.5,0.796,0.809,0.812,7.53,0,0,0
22.5,0.792,0.805,0.807,8.72,0,0,0
24.5,0.788,0.8,0.803,10.1,0,0,0
26.5,0.784,0.796,0.799,11.7,0,0,0
28.5,0.78,0.793,0.796,13.5,0,0,0
32.5,0.773,0.785,0.788,15.7,0,0,0
36.5,0.766,0.778,0.781,18.2,0,0,0
40.5,0.759,0.771,0.773,21,0,0,0
44.5,0.753,0.764,0.766,24.4,0,0,0
48.5,0.747,0.758,0.76,28.2,0,0,0
52.5,0.741,0.751,0.753,32.7,0,0,0
56.5,0.735,0.745,0.747,37.8,0,0,0
60.5,0.73,0.739,0.741,43.8,0,0,0
68.5,0.718,0.728,0.729,50.7,0,0,0
76.5,0.708,0.717,0.718,58.8,0,0,0
84.5,0.698,0.706,0.708,68.1,0,0,0.101
92.5,0.688,0.696,0.697,78.8,0,0.317,0.54
101,0.679,0.686,0.687,91.3,0.0524,0.796,1.04
109,0.669,0.677,0.677,106,0.318,1.19,1.33
117,0.66,0.667,0.668,122,0.789,1.37,1.34
125,0.652,0.659,0.659,142,1.45,1.4,1.26
141,0.635,0.641,0.641,164,2.3,1.49,1.4
157,0.619,0.624,0.623,190,3.39,1.89,2.02
173,0.604,0.608,0.607,220,4.72,2.76,3.25
189,0.589,0.592,0.591,255,6.22,4.16,5.03
205,0.574,0.577,0.575,295,7.75,5.95,7.1
221,0.56,0.563,0.56,342,9.12,7.89,9.11
237,0.547,0.549,0.546,396,10.1,9.64,10.7
253,0.534,0.535,0.532,459,10.5,10.9,11.5
285,0.508,0.509,0.505,531,10.2,11.3,11.4
317,0.484,0.484,0.479,615,9.22,10.9,10.4
349,0.462,0.46,0.455,712,7.65,9.62,8.62
381,0.44,0.438,0.433,825,5.74,7.71,6.45
413,0.42,0.418,0.412,955,3.76,5.48,4.21
445,0.401,0.399,0.392,1.11E+03,2.04,3.31,2.27
477,0.383,0.38,0.373,1.28E+03,0.8,1.54,0.889
509,0.367,0.363,0.356,1.48E+03,0.151,0.429,0.17
573,0.336,0.331,0.324,1.72E+03,0,0,0
637,0.308,0.302,0.295,1.99E+03,0,0,0
701,0.284,0.276,0.269,2.30E+03,0,0,0
765,0.261,0.253,0.246,2.67E+03,0,0,0
829,0.24,0.232,0.226,3.09E+03,0,0,0
893,0.222,0.213,0.208,3.58E+03,0.166,0,0
957,0.205,0.196,0.191,4.15E+03,0.587,0,0
1.02E+03,0.19,0.181,0.176,4.80E+03,1.18,0,0
1.15E+03,0.164,0.153,0.149,5.56E+03,1.77,0,0
1.28E+03,0.142,0.131,0.127,6.44E+03,0,0,0
1.40E+03,0.124,0.112,0.107,7.46E+03,0,0,0
1.53E+03,0.108,0.0964,0.0907,8.63E+03,0,0,0
1.66E+03,0.0941,0.0825,0.0767,,,,
1.79E+03,0.0834,0.0708,0.0654,,,,
1.92E+03,0.0741,0.0604,0.0563,,,,
2.04E+03,0.066,0.0518,0.0491,,,,
2.30E+03,0.0529,0.0375,0.0378,,,,
2.56E+03,0.0439,0.0272,0.0292,,,,
2.81E+03,0.0363,0.0198,0.0241,,,,
3.07E+03,0.031,0.0148,0.0209,,,,
3.32E+03,0.0267,0.0118,0.018,,,,
3.58E+03,0.0222,0.0105,0.0155,,,,
3.84E+03,0.0181,0.0096,0.0134,,,,
4.09E+03,0.0157,0.00934,0.0115,,,,
4.60E+03,0.011,0.00948,0.0105,,,,
5.12E+03,0.00735,0.00888,0.013,,,,
5.63E+03,0.00634,0.00764,0.00949,,,,
6.14E+03,0.0056,0.0051,0.00746,,,,
6.65E+03,0.00598,0.00442,0.00543,,,,
7.16E+03,0.00896,0.00428,0.00378,,,,
7.68E+03,0.00921,0.00345,0.00315,,,,
8.19E+03,0.00915,0.00386,0.00363,,,,
9.21E+03,0.0109,0.00439,0.00421,,,,
1.02E+04,0.0096,0.00681,0.00403,,,,
1.13E+04,0.00777,0.00627,0.00572,,,,
1.23E+04,0.00613,0.00521,0.00633,,,,
1.33E+04,0.00577,0.00497,0.00443,,,,
1.43E+04,0.00216,0.00216,0.00335,,,,
1.54E+04,0.00378,0.00277,0.00246,,,,
1.64E+04,0.00243,0.00224,0.00304,,,,
1.84E+04,0.00193,0.00243,0.00372,,,,
2.05E+04,0.00233,0.00195,0.00629,,,,
2.25E+04,0.00034,0.00112,0.00461,,,,
2.46E+04,0.00171,0.00406,0.00497,,,,
2.66E+04,0.00141,0.00163,0.00243,,,,
2.87E+04,0.000476,0.00201,0.00199,,,,
3.07E+04,0.00106,0.00241,0.00548,,,,
3.28E+04,0.0011,0.00377,0.00232,,,,
3.69E+04,0.00307,0.0032,0.00107,,,,
4.10E+04,0.000818,0.00435,0.00113,,,,
4.51E+04,0.00018,0.000559,0.00158,,,,
4.91E+04,0.0032,0.00219,0.00411,,,,
5.32E+04,0.00175,0.00359,0.00414,,,,
5.73E+04,0.00248,0.00504,0.00493,,,,
6.14E+04,0.00415,0.00566,0.00158,,,,
6.55E+04,0.00107,0.00504,0.00147,,,,
7.37E+04,0.0041,0.00271,0.00567,,,,
8.19E+04,0.00231,0.00585,0.00446,,,,
9.01E+04,0.00319,0.00203,0.00156,,,,
9.83E+04,0.00233,0.00259,0.00235,,,,
1.06E+05,0.004,0.00367,0.00166,,,,
1.15E+05,0.00199,0.0037,0.00192,,,,
1.23E+05,0.00331,0.00326,0.00185,,,,
1.31E+05,0.00181,0.00254,0.00223,,,,
1.47E+05,0.00209,0.00185,0.00142,,,,
1.64E+05,0.0026,0.00123,0.00427,,,,
1.80E+05,0.00233,0.00195,0.00302,,,,
1.97E+05,0.00244,0.00166,0.00226,,,,
2.13E+05,0.00142,0.000633,0.00227,,,,
2.29E+05,0.00282,0.00216,0.00225,,,,
2.46E+05,0.00122,0.0025,0.0027,,,,
2.62E+05,0.00147,0.00113,0.00156,,,,
2.95E+05,0.00383,0.000717,0.00211,,,,
3.28E+05,0.00119,0.0007,0.00239,,,,
3.60E+05,0.00207,0.000339,0.00267,,,,
3.93E+05,0.00196,0.000345,0.00337,,,,
4.26E+05,0.00168,0.000309,0.000921,,,,
4.59E+05,0.00102,0,0.00187,,,,
4.92E+05,0.000464,2.56E-05,0.00269,,,,
5.24E+05,0.00201,0.000606,0.001,,,,
5.90E+05,0.0021,0.00112,0.00159,,,,
6.55E+05,0.000876,0.000908,0.00177,,,,
7.21E+05,0.00117,0.00155,0.00223,,,,
7.86E+05,0.000879,0.000779,0.00223,,,,
8.52E+05,0.000515,0.000439,0.000569,,,,
9.18E+05,0.000502,0.000717,0.00106,,,,
9.83E+05,0.00143,0.00101,0.00136,,,,
1.05E+06,0.000317,0.000217,0.00144,,,,
1.18E+06,0.000195,0.0005,0.00145,,,,
1.31E+06,0.000367,0.000699,0.00172,,,,
1.44E+06,0.000646,0.000229,0.000792,,,,
1.57E+06,0.000595,0.000225,0.00162,,,,
1.70E+06,0.000917,0,0.00103,,,,
1.84E+06,0.000999,0.000659,0.000572,,,,
1.97E+06,0.00112,0,8.50E-05,,,,
2.10E+06,0.000575,0.00153,0.00145,,,,
2.36E+06,0.00037,0.00175,0.00293,,,,
2.62E+06,0.000272,0.00291,0.00102,,,,
2.88E+06,0.00158,0.00297,0.00191,,,,
3.15E+06,0.000327,0.00241,0.00367,,,,
3.41E+06,0.000567,0.00378,0.00219,,,,
3.67E+06,0.000645,0.00373,0.00306,,,,
3.93E+06,0.000534,0.00353,0.00317,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
