X Lag Time,Record 4: J1 1,Record 5: J1 2,Record 6: J1 3,X Intensity,Record 4: J1 1,Record 5: J1 2,Record 6: J1 3
0.5,0.84,0.836,0.837,0.4,0,0,0
1,0.843,0.841,0.842,0.463,0,0,0
1.5,0.841,0.839,0.838,0.536,0,0,0
2,0.839,0.837,0.835,0.621,0,0,0
2.5,0.837,0.834,0.834,0.719,0,0,0
3,0.836,0.832,0.832,0.833,0,0,0
3.5,0.834,0.831,0.831,0.965,0,0,0
4,0.833,0.829,0.828,1.12,0,0,0
4.5,0.831,0.826,0.828,1.29,0,0,0
5.5,0.828,0.825,0.825,1.5,0,0,0
6.5,0.825,0.822,0.822,1.74,0,0,0
7.5,0.823,0.819,0.819,2.01,0,0,0
8.5,0.821,0.817,0.817,2.33,0,0,0
9.5,0.818,0.814,0.815,2.7,0,0,0
10.5,0.816,0.812,0.813,3.12,0,0,0
11.5,0.813,0.81,0.809,3.62,0,0,0
12.5,0.811,0.807,0.808,4.19,0,0,0
14.5,0.806,0.802,0.803,4.85,0,0,0
16.5,0.802,0.798,0.799,5.61,0,0,0
18.5,0.798,0.794,0.795,6.5,0,0,0
20.5,0.794,0.789,0.791,7.53,0,0,0
22.5,0.789,0.785,0.787,8.72,0,0,0
24.5,0.786,0.781,0.782,10.1,0,0,0
26.5,0.782,0.777,0.779,11.7,0,0,0
28.5,0.778,0.774,0.775,13.5,0,0,0
32.5,0.771,0.766,0.767,15.7,0,0,0
36.5,0.764,0.758,0.76,18.2,0,0,0
40.5,0.756,0.751,0.753,21,0,0,0
44.5,0.75,0.744,0.746,24.4,0,0,0
48.5,0.743,0.738,0.74,28.2,0,0,0
52.5,0.736,0.731,0.733,32.7,0,0,0
56.5,0.73,0.724,0.727,37.8,0,0,0
60.5,0.724,0.718,0.721,43.8,0,0,0
68.5,0.712,0.706,0.709,50.7,0,0,0.133
76.5,0.7,0.694,0.697,58.8,0,0,0.416
84.5,0.689,0.683,0.686,68.1,0,0,0.676
92.5,0.679,0.671,0.675,78.8,0,0,0.771
101,0.668,0.661,0.665,91.3,0,0.0242,0.699
109,0.658,0.65,0.654,106,0,0.636,0.607
117,0.648,0.64,0.644,122,0.313,1.74,0.731
125,0.638,0.631,0.634,142,1.27,3.06,1.29
141,0.619,0.611,0.615,164,2.81,4.33,2.41
157,0.601,0.593,0.597,190,4.69,5.46,4.07
173,0.584,0.576,0.58,220,6.6,6.43,6.08
189,0.567,0.559,0.563,255,8.24,7.27,8.15
205,0.552,0.542,0.547,295,9.43,7.98,9.94
221,0.536,0.527,0.531,342,10.1,8.55,11.1
237,0.521,0.512,0.516,396,10.1,8.9,11.5
253,0.507,0.497,0.502,459,9.66,8.94,11
285,0.479,0.469,0.474,531,8.78,8.58,9.65
317,0.453,0.443,0.449,615,7.62,7.8,7.69
349,0.429,0.419,0.424,712,6.29,6.63,5.45
381,0.407,0.396,0.402,825,4.94,5.2,3.28
413,0.386,0.375,0.381,955,3.65,3.66,1.54
445,0.366,0.354,0.361,1.11E+03,2.52,2.22,0.432
477,0.347,0.336,0.343,1.28E+03,1.58,1.06,0
509,0.33,0.319,0.326,1.48E+03,0.876,0.322,0
