X Lag Time,Record 70: K21 1,Record 71: K21 2,Record 72: K21 3,X Intensity,Record 70: K21 1,Record 71: K21 2,Record 72: K21 3
0.5,0.859,0.859,0.863,0.4,0,0,0
1,0.863,0.862,0.866,0.463,0,0,0
1.5,0.86,0.86,0.864,0.536,0,0,0
2,0.857,0.858,0.862,0.621,0,0,0
2.5,0.857,0.856,0.86,0.719,0,0,0
3,0.854,0.855,0.859,0.833,0,0,0
3.5,0.854,0.853,0.858,0.965,0,0,0
4,0.853,0.852,0.857,1.12,0,0,0
4.5,0.851,0.851,0.856,1.29,0,0,0
5.5,0.847,0.848,0.852,1.5,0,0,0
6.5,0.846,0.845,0.851,1.74,0,0,0
7.5,0.843,0.844,0.848,2.01,0,0,0
8.5,0.842,0.842,0.845,2.33,0,0,0
9.5,0.838,0.839,0.843,2.7,0,0,0
10.5,0.836,0.836,0.841,3.12,0,0,0
11.5,0.835,0.835,0.839,3.62,0,0,0
12.5,0.833,0.833,0.836,4.19,0,0,0
14.5,0.83,0.829,0.833,4.85,0,0,0
16.5,0.825,0.825,0.829,5.61,0,0,0
18.5,0.822,0.822,0.825,6.5,0,0,0
20.5,0.818,0.817,0.822,7.53,0,0,0
22.5,0.814,0.814,0.818,8.72,0,0,0
24.5,0.811,0.81,0.814,10.1,0,0,0
26.5,0.808,0.807,0.811,11.7,0,0,0
28.5,0.805,0.804,0.807,13.5,0,0,0
32.5,0.798,0.797,0.8,15.7,0,0,0
36.5,0.792,0.79,0.794,18.2,0,0,0
40.5,0.786,0.784,0.788,21,0,0,0
44.5,0.78,0.778,0.782,24.4,0,0,0
48.5,0.775,0.772,0.776,28.2,0,0,0
52.5,0.769,0.766,0.77,32.7,0,0,0
56.5,0.763,0.761,0.764,37.8,0,0,0
60.5,0.758,0.755,0.758,43.8,0,0,0
68.5,0.748,0.744,0.747,50.7,0,0,0
76.5,0.737,0.734,0.737,58.8,0,0,0
84.5,0.728,0.723,0.727,68.1,0,0.136,0
92.5,0.718,0.714,0.717,78.8,0,0.407,0
101,0.709,0.704,0.707,91.3,0,0.639,0
109,0.7,0.695,0.698,106,0,0.719,0
117,0.691,0.686,0.689,122,0,0.701,0
125,0.682,0.677,0.68,142,0,0.796,0
141,0.665,0.66,0.662,164,0,1.28,0.0644
157,0.649,0.643,0.646,190,0.435,2.38,1.42
173,0.634,0.627,0.63,220,2.24,4.14,4.31
189,0.619,0.611,0.614,255,5.39,6.43,8.22
205,0.604,0.597,0.599,295,9.25,8.89,12.2
221,0.59,0.582,0.584,342,12.9,11.1,15.2
237,0.576,0.568,0.569,396,15.3,12.5,16.4
253,0.563,0.554,0.556,459,15.9,12.8,15.4
285,0.537,0.528,0.529,531,14.5,11.9,12.5
317,0.513,0.504,0.504,615,11.5,9.83,8.5
349,0.49,0.48,0.48,712,7.63,7.08,4.42
381,0.468,0.458,0.458,825,3.89,4.21,1.37
413,0.447,0.438,0.437,955,1.19,1.83,0
445,0.428,0.418,0.417,1.11E+03,0,0.411,0
477,0.409,0.4,0.398,1.28E+03,0,0,0
509,0.391,0.382,0.38,1.48E+03,0,0,0
573,0.358,0.35,0.348,1.72E+03,0,0,0
637,0.328,0.321,0.318,1.99E+03,0,0,0
701,0.302,0.295,0.291,2.30E+03,0,0,0
765,0.278,0.272,0.267,2.67E+03,0,0,0
829,0.256,0.251,0.246,3.09E+03,0,0,0
893,0.236,0.232,0.226,3.58E+03,0,0,0
957,0.218,0.214,0.209,4.15E+03,0,0,0
1.02E+03,0.202,0.2,0.193,4.80E+03,0,0.437,0
1.15E+03,0.172,0.172,0.165,5.56E+03,0,1.47,0
1.28E+03,0.148,0.149,0.142,6.44E+03,0,0,0
1.40E+03,0.127,0.13,0.123,7.46E+03,0,0,0
1.53E+03,0.11,0.114,0.106,8.63E+03,0,0,0
1.66E+03,0.0954,0.1,0.0917,,,,
1.79E+03,0.0824,0.0882,0.0796,,,,
1.92E+03,0.0714,0.0785,0.0698,,,,
2.04E+03,0.0622,0.0704,0.0626,,,,
2.30E+03,0.0479,0.0569,0.0509,,,,
2.56E+03,0.0387,0.0463,0.0416,,,,
2.81E+03,0.0322,0.0375,0.0345,,,,
3.07E+03,0.0281,0.0307,0.028,,,,
3.32E+03,0.0245,0.0258,0.0238,,,,
3.58E+03,0.0202,0.0235,0.0211,,,,
3.84E+03,0.0164,0.0222,0.0193,,,,
4.09E+03,0.015,0.0204,0.0189,,,,
4.60E+03,0.0128,0.0176,0.0176,,,,
5.12E+03,0.012,0.0146,0.0153,,,,
5.63E+03,0.0105,0.0125,0.0131,,,,
6.14E+03,0.0101,0.00991,0.0127,,,,
6.65E+03,0.0101,0.00923,0.0124,,,,
7.16E+03,0.0112,0.00949,0.014,,,,
7.68E+03,0.0108,0.00918,0.0115,,,,
8.19E+03,0.00982,0.00982,0.0106,,,,
9.21E+03,0.00961,0.00765,0.0124,,,,
1.02E+04,0.00875,0.00732,0.0134,,,,
1.13E+04,0.00976,0.011,0.0134,,,,
1.23E+04,0.00915,0.0117,0.0108,,,,
1.33E+04,0.00818,0.0125,0.0106,,,,
1.43E+04,0.0112,0.0117,0.0103,,,,
1.54E+04,0.0116,0.00989,0.0097,,,,
1.64E+04,0.0102,0.0092,0.00918,,,,
1.84E+04,0.00801,0.00642,0.0116,,,,
2.05E+04,0.0071,0.00754,0.0129,,,,
2.25E+04,0.00531,0.00676,0.00895,,,,
2.46E+04,0.0026,0.00733,0.00924,,,,
2.66E+04,0.00413,0.00513,0.0117,,,,
2.87E+04,0.00755,0.00487,0.00846,,,,
3.07E+04,0.0101,0.00396,0.00876,,,,
3.28E+04,0.00769,0.00526,0.00865,,,,
3.69E+04,0.00672,0.0059,0.0099,,,,
4.10E+04,0.00541,0.00647,0.00803,,,,
4.51E+04,0.00742,0.00302,0.00559,,,,
4.91E+04,0.00941,0.00281,0.00632,,,,
5.32E+04,0.00248,0.00608,0.00571,,,,
5.73E+04,0.00537,0.00685,0.00663,,,,
6.14E+04,0.00322,0.00287,0.00471,,,,
6.55E+04,0.00288,0.00406,0.00516,,,,
7.37E+04,0.003,0.00376,0.00378,,,,
8.19E+04,0.00288,0.00305,0.00485,,,,
9.01E+04,0.00146,0.00224,0.00428,,,,
9.83E+04,0.00134,0.00393,0.00487,,,,
1.06E+05,0.00295,0.00219,0.00443,,,,
1.15E+05,0.00345,0.00406,0.00102,,,,
1.23E+05,0.00459,0.00124,0.0021,,,,
1.31E+05,0.00226,0.00201,0.00253,,,,
1.47E+05,0.000338,0.00141,0.00327,,,,
1.64E+05,0.00383,0.00153,0.00259,,,,
1.80E+05,0.004,0.000254,0.00216,,,,
1.97E+05,0.000624,0.00181,0.00445,,,,
2.13E+05,0.000637,0.00233,0.00426,,,,
2.29E+05,0.00102,0.00277,0.00425,,,,
2.46E+05,0.00213,0.00268,0.00305,,,,
2.62E+05,0.00251,0.00224,0.00274,,,,
2.95E+05,0.00231,0.00132,0.00185,,,,
3.28E+05,0.00196,0.000363,0.00414,,,,
3.60E+05,0.00144,0.000301,0.00152,,,,
3.93E+05,0.0014,0.00156,0.0019,,,,
4.26E+05,0.00106,0.00268,0.00261,,,,
4.59E+05,0.00139,0.00185,0.00322,,,,
4.92E+05,0.00101,0.00175,0.00344,,,,
