X Lag Time,Record 22: F12 1,Record 23: F12 2,Record 24: F12 3,X Intensity,Record 22: F12 1,Record 23: F12 2,Record 24: F12 3
0.5,0.848,0.838,0.825,0.4,0,0,0
1,0.846,0.838,0.824,0.463,0,0,0
1.5,0.84,0.833,0.817,0.536,0,0,0
2,0.835,0.829,0.812,0.621,0,0,0
2.5,0.832,0.823,0.808,0.719,0,0,0
3,0.829,0.822,0.805,0.833,0,0,0
3.5,0.825,0.818,0.802,0.965,0,0,0
4,0.822,0.815,0.798,1.12,0,0,0
4.5,0.818,0.81,0.795,1.29,0,0,0
5.5,0.812,0.805,0.789,1.5,0,0,0
6.5,0.806,0.798,0.781,1.74,0,0,0
7.5,0.802,0.795,0.777,2.01,0,0,0
8.5,0.797,0.79,0.772,2.33,0,0,0
9.5,0.792,0.785,0.768,2.7,0,0,0
10.5,0.788,0.781,0.764,3.12,0,0,0
11.5,0.784,0.777,0.76,3.62,0,0,0
12.5,0.78,0.772,0.754,4.19,0,0,0
14.5,0.772,0.763,0.747,4.85,0,0,0
16.5,0.765,0.756,0.738,5.61,0,0,0
18.5,0.758,0.75,0.731,6.5,0,0,0
20.5,0.751,0.742,0.723,7.53,0,0.0704,0
22.5,0.744,0.736,0.717,8.72,0.373,1.03,0.788
24.5,0.738,0.73,0.711,10.1,1.63,2.29,2.09
26.5,0.732,0.724,0.705,11.7,2.9,3.03,3.06
28.5,0.727,0.718,0.699,13.5,3.27,2.83,3.07
32.5,0.717,0.707,0.688,15.7,2.52,1.86,2.1
36.5,0.707,0.697,0.678,18.2,1.21,0.739,0.783
40.5,0.697,0.689,0.669,21,0.2,0.0589,0
44.5,0.689,0.68,0.66,24.4,0,0,0
48.5,0.681,0.672,0.652,28.2,0,0,0
52.5,0.674,0.665,0.644,32.7,0,0,0
56.5,0.667,0.658,0.637,37.8,0,0,0
60.5,0.661,0.652,0.631,43.8,0,0,0
68.5,0.649,0.641,0.619,50.7,0,0,0
76.5,0.638,0.631,0.609,58.8,0,0,0
84.5,0.629,0.621,0.599,68.1,0,0,0
92.5,0.621,0.613,0.591,78.8,0,0,0
101,0.612,0.605,0.582,91.3,0,0,0
109,0.604,0.598,0.575,106,0,0,0
117,0.598,0.591,0.568,122,0,0,0.156
125,0.591,0.585,0.561,142,0,0,0.381
141,0.578,0.573,0.549,164,0,0,0.617
157,0.567,0.561,0.537,190,0,0,0.938
173,0.556,0.551,0.526,220,0,0,1.51
189,0.545,0.54,0.516,255,0.543,0,2.48
205,0.535,0.531,0.506,295,2.94,1.58,3.9
221,0.526,0.522,0.496,342,6.89,4.95,5.68
237,0.516,0.512,0.487,396,11.2,9.19,7.56
253,0.507,0.504,0.478,459,14.4,13,9.21
285,0.49,0.487,0.46,531,15.5,15.1,10.3
317,0.473,0.47,0.444,615,14.2,15,10.5
349,0.456,0.455,0.427,712,10.9,12.7,9.91
381,0.441,0.44,0.412,825,6.69,8.95,8.45
413,0.426,0.426,0.398,955,2.87,4.83,6.43
