X Lag Time,Record 4: G10 1,Record 5: G10 2,Record 6: G10 3,X Intensity,Record 4: G10 1,Record 5: G10 2,Record 6: G10 3
0.5,0.847,0.85,0.848,0.4,0,0,0
1,0.845,0.844,0.843,0.463,0,0,0
1.5,0.839,0.836,0.838,0.536,0,0,0
2,0.836,0.835,0.832,0.621,0,0,0
2.5,0.83,0.831,0.83,0.719,0,0,0
3,0.829,0.826,0.827,0.833,0,0,0
3.5,0.824,0.825,0.821,0.965,0,0,0
4,0.822,0.822,0.821,1.12,0,0,0
4.5,0.82,0.819,0.82,1.29,0,0,0
5.5,0.815,0.815,0.811,1.5,0,0,0
6.5,0.811,0.81,0.81,1.74,0,0,0
7.5,0.809,0.804,0.806,2.01,0,0,0
8.5,0.802,0.8,0.801,2.33,0,0,0
9.5,0.797,0.798,0.794,2.7,0,0,0
10.5,0.794,0.794,0.794,3.12,0,0,0
11.5,0.79,0.791,0.788,3.62,0,0,0
12.5,0.786,0.787,0.784,4.19,0,0,0
14.5,0.782,0.779,0.779,4.85,0,0,0
16.5,0.775,0.772,0.773,5.61,0,0,0
18.5,0.769,0.767,0.767,6.5,0,0,0
20.5,0.763,0.76,0.761,7.53,0,0,0.117
22.5,0.758,0.755,0.754,8.72,0.202,0.195,0.536
24.5,0.753,0.749,0.751,10.1,0.761,0.857,1.07
26.5,0.749,0.745,0.745,11.7,1.38,1.6,1.44
28.5,0.743,0.739,0.739,13.5,1.71,1.93,1.48
32.5,0.733,0.73,0.731,15.7,1.58,1.64,1.21
36.5,0.724,0.72,0.722,18.2,1.09,0.92,0.763
40.5,0.716,0.711,0.713,21,0.493,0.247,0.336
44.5,0.709,0.705,0.705,24.4,0.0934,0,0.0716
48.5,0.702,0.697,0.698,28.2,0,0,0
52.5,0.694,0.69,0.691,32.7,0,0,0
56.5,0.687,0.682,0.683,37.8,0,0,0
60.5,0.68,0.676,0.677,43.8,0,0,0
68.5,0.669,0.663,0.665,50.7,0,0,0
76.5,0.657,0.651,0.653,58.8,0,0,0
84.5,0.646,0.64,0.642,68.1,0,0,0
