X Lag Time,Record 73: K18 1,Record 74: K18 2,Record 75: K18 3,X Intensity,Record 73: K18 1,Record 74: K18 2,Record 75: K18 3
0.5,0.888,0.892,0.891,0.4,0,0,0
1,0.879,0.889,0.887,0.463,0,0,0
1.5,0.875,0.878,0.875,0.536,0,0,0
2,0.866,0.875,0.872,0.621,0,0,0
2.5,0.864,0.87,0.866,0.719,0,0,0
3,0.861,0.866,0.861,0.833,0,0,0
3.5,0.857,0.862,0.857,0.965,0,0,0
4,0.855,0.859,0.855,1.12,0,0,0
4.5,0.853,0.858,0.853,1.29,0,0,0
5.5,0.849,0.851,0.847,1.5,0,0,0
6.5,0.842,0.846,0.841,1.74,0,0,0
7.5,0.835,0.845,0.836,2.01,0,0,0
8.5,0.833,0.839,0.831,2.33,0,0,0
9.5,0.827,0.835,0.828,2.7,0,0,0
10.5,0.824,0.829,0.823,3.12,0,0.0447,0
11.5,0.819,0.824,0.821,3.62,0,0.241,0
12.5,0.815,0.82,0.816,4.19,0,0.403,0
14.5,0.808,0.813,0.809,4.85,0,0.42,0
16.5,0.803,0.806,0.801,5.61,0,0.319,0
18.5,0.796,0.799,0.796,6.5,0,0.205,0
20.5,0.789,0.792,0.79,7.53,0,0.183,0
22.5,0.784,0.787,0.783,8.72,0,0.307,0.412
24.5,0.778,0.782,0.775,10.1,0.587,0.561,1.41
26.5,0.772,0.777,0.769,11.7,1.63,0.869,2.15
28.5,0.768,0.77,0.764,13.5,2.25,1.12,2.02
32.5,0.756,0.76,0.754,15.7,1.97,1.21,1.17
36.5,0.747,0.75,0.744,18.2,1.02,1.09,0.29
40.5,0.737,0.742,0.734,21,0.177,0.783,0
44.5,0.73,0.732,0.726,24.4,0,0.413,0
48.5,0.721,0.724,0.717,28.2,0,0.119,0
52.5,0.715,0.715,0.71,32.7,0,0,0
56.5,0.707,0.709,0.702,37.8,0,0,0
60.5,0.7,0.702,0.695,43.8,0,0,0
68.5,0.686,0.689,0.682,50.7,0,0,0
76.5,0.674,0.677,0.669,58.8,0,0,0
84.5,0.663,0.666,0.658,68.1,0,0,0
92.5,0.652,0.654,0.647,78.8,0,0,0
101,0.642,0.644,0.637,91.3,0,0,0.207
109,0.632,0.635,0.627,106,0,0.0965,0.75
117,0.624,0.625,0.619,122,0,0.498,1.5
125,0.615,0.616,0.61,142,0,1.26,2.27
141,0.598,0.598,0.591,164,0.389,2.33,2.97
157,0.582,0.582,0.576,190,2.01,3.62,3.58
173,0.567,0.567,0.561,220,4.73,5,4.14
189,0.553,0.552,0.547,255,7.92,6.33,4.72
205,0.538,0.538,0.533,295,10.8,7.49,5.35
221,0.524,0.524,0.518,342,12.7,8.36,6.03
237,0.512,0.511,0.505,396,13.1,8.85,6.68
253,0.499,0.499,0.493,459,12.2,8.9,7.23
285,0.475,0.474,0.469,531,10.1,8.51,7.57
317,0.451,0.451,0.447,615,7.29,7.71,7.6
349,0.43,0.43,0.424,712,4.44,6.57,7.29
381,0.41,0.41,0.405,825,2.08,5.22,6.64
413,0.391,0.39,0.387,955,0.579,3.8,5.7
445,0.373,0.373,0.369,1.11E+03,0,2.47,4.58
477,0.356,0.356,0.352,1.28E+03,0,1.35,3.39
509,0.34,0.34,0.337,1.48E+03,0,0.566,2.26
573,0.31,0.31,0.308,1.72E+03,0,0.133,1.31
637,0.283,0.284,0.282,1.99E+03,0,0,0.608
701,0.259,0.261,0.259,2.30E+03,0,0,0.185
765,0.238,0.24,0.238,2.67E+03,0,0,0.0122
829,0.217,0.22,0.219,3.09E+03,0,0,0
893,0.2,0.203,0.202,3.58E+03,0.141,0.126,0
957,0.184,0.187,0.187,4.15E+03,0.6,0.424,0
1.02E+03,0.17,0.173,0.173,4.80E+03,1.31,0.843,0
1.15E+03,0.145,0.148,0.149,5.56E+03,2.05,1.26,0
1.28E+03,0.124,0.128,0.129,6.44E+03,0,0,0
1.40E+03,0.107,0.111,0.112,7.46E+03,0,0,0
1.53E+03,0.0928,0.0977,0.0976,8.63E+03,0,0,0
1.66E+03,0.0807,0.0853,0.0855,,,,
1.79E+03,0.0709,0.0758,0.0761,,,,
1.92E+03,0.0624,0.0672,0.0667,,,,
2.04E+03,0.0554,0.0594,0.0595,,,,
2.30E+03,0.0438,0.0479,0.0461,,,,
2.56E+03,0.0367,0.039,0.0343,,,,
2.81E+03,0.0323,0.0319,0.0264,,,,
3.07E+03,0.0292,0.0272,0.0208,,,,
3.32E+03,0.0264,0.0234,0.0176,,,,
3.58E+03,0.0252,0.0194,0.0152,,,,
3.84E+03,0.0229,0.0163,0.0139,,,,
4.09E+03,0.0195,0.0143,0.0132,,,,
4.60E+03,0.0152,0.0124,0.0107,,,,
5.12E+03,0.0121,0.0116,0.00917,,,,
5.63E+03,0.0101,0.00803,0.00803,,,,
6.14E+03,0.00784,0.00754,0.0079,,,,
6.65E+03,0.00773,0.00811,0.00734,,,,
7.16E+03,0.00632,0.00893,0.00696,,,,
7.68E+03,0.00553,0.00997,0.00583,,,,
8.19E+03,0.00502,0.00916,0.0064,,,,
9.21E+03,0.0061,0.00702,0.00562,,,,
1.02E+04,0.00359,0.00532,0.00417,,,,
1.13E+04,0.00339,0.00682,0.00335,,,,
1.23E+04,0.00243,0.00863,0.00324,,,,
1.33E+04,0.0024,0.00578,0.00292,,,,
1.43E+04,0.00351,0.00583,0.00368,,,,
1.54E+04,0.00477,0.00607,0.00388,,,,
1.64E+04,0.00538,0.00585,0.00363,,,,
1.84E+04,0.00767,0.0046,0.00207,,,,
2.05E+04,0.00491,0.00476,0.00242,,,,
2.25E+04,0.00604,0.00572,0.00149,,,,
2.46E+04,0.00555,0.00447,0.00315,,,,
2.66E+04,0.00463,0.00497,0.00477,,,,
2.87E+04,0.00351,0.00744,0.00301,,,,
3.07E+04,0.00234,0.00629,0.00306,,,,
3.28E+04,0.00234,0.00425,0.00333,,,,
3.69E+04,0.00465,0.00364,0.0021,,,,
4.10E+04,0.00378,0.00421,0.00149,,,,
4.51E+04,0.00506,0.00468,0.00363,,,,
4.91E+04,0.00422,0.00503,0.00331,,,,
5.32E+04,0.00404,0.00586,0.00171,,,,
5.73E+04,0.00386,0.00517,0.00236,,,,
6.14E+04,0.00195,0.00594,0.00262,,,,
6.55E+04,0.00228,0.00588,0.00199,,,,
7.37E+04,0.00175,0.00432,0.00237,,,,
8.19E+04,0.00337,0.00389,0.00277,,,,
9.01E+04,0.00477,0.00577,0.00241,,,,
9.83E+04,0.0039,0.00391,0.00244,,,,
1.06E+05,0.00193,0.00393,0.00519,,,,
1.15E+05,0.00191,0.00351,0.00107,,,,
1.23E+05,0.00135,0.00314,0.00264,,,,
1.31E+05,0.00369,0.00372,0.00226,,,,
1.47E+05,0.00435,0.00406,0.0024,,,,
1.64E+05,0.00324,0.00369,0.00163,,,,
1.80E+05,0.00345,0.00347,0.0012,,,,
1.97E+05,0.00364,0.0027,0.00149,,,,
2.13E+05,0.00155,0.00309,0.000912,,,,
2.29E+05,0.00184,0.00331,0.0003,,,,
2.46E+05,0.00163,0.00236,0.00217,,,,
2.62E+05,0.00161,0.00266,0.00173,,,,
2.95E+05,0.00182,0.00275,0.00139,,,,
3.28E+05,0.00191,0.00268,0.000613,,,,
3.60E+05,0.00323,0.00214,0.000435,,,,
3.93E+05,0.0019,0.00235,0.000631,,,,
4.26E+05,0.00163,0.00166,0.00217,,,,
4.59E+05,0.00371,0.00269,0.00163,,,,
4.92E+05,0.00267,0.00138,0.000648,,,,
5.24E+05,0.00268,0.00126,0.000889,,,,
5.90E+05,0.00115,0.00106,0.00225,,,,
6.55E+05,0.00148,0.00121,0.00135,,,,
7.21E+05,0.00157,0.00143,0.00178,,,,
7.86E+05,0.000816,0.00167,0.0017,,,,
8.52E+05,0.00133,0.00183,0.00221,,,,
9.18E+05,0.00215,0.00149,0.00195,,,,
9.83E+05,0.00179,0.000518,0.00178,,,,
1.05E+06,0.000617,0.000739,0.000927,,,,
1.18E+06,0.000715,0.00097,0.000948,,,,
1.31E+06,0.000849,0.000806,0.00177,,,,
1.44E+06,0.000588,0.00135,0.00223,,,,
1.57E+06,0.000178,0.00228,0.00168,,,,
1.70E+06,0.000202,0.00195,0.00223,,,,
1.84E+06,0.000202,0.00193,0.000779,,,,
1.97E+06,0.000554,0.00188,0.0012,,,,
2.10E+06,0.000624,0.000184,0.00175,,,,
2.36E+06,0.0015,0.00115,0.00172,,,,
2.62E+06,0.00155,0.000209,0.00359,,,,
2.88E+06,0.00121,0.00127,0.00206,,,,
3.15E+06,0.00166,0.000374,0.00193,,,,
3.41E+06,0.0017,0.00152,0.00226,,,,
3.67E+06,0.000979,0.00106,0.00288,,,,
3.93E+06,0.0013,0.00135,0.00253,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
