X Lag Time,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No3_230620 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No3_230620 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No3_230620 3,X Intensity,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No3_230620 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No3_230620 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No3_230620 3
0.5,0.867,0.86,0.862,0.4,0,0,0
1,0.866,0.857,0.86,0.463,0,0,0
1.5,0.856,0.85,0.852,0.536,0,0,0
2,0.852,0.846,0.845,0.621,0,0,0
2.5,0.849,0.836,0.84,0.719,0,0,0
3,0.843,0.834,0.834,0.833,0,0,0
3.5,0.837,0.829,0.833,0.965,0,0,0
4,0.832,0.825,0.825,1.12,0,0,0
4.5,0.829,0.821,0.82,1.29,0,0,0
5.5,0.821,0.813,0.813,1.5,0,0,0
6.5,0.812,0.804,0.804,1.74,0,0,0
7.5,0.806,0.797,0.796,2.01,0,0,0
8.5,0.796,0.791,0.789,2.33,0,0,0
9.5,0.791,0.784,0.783,2.7,0,0,0
10.5,0.784,0.779,0.776,3.12,0,0,0
11.5,0.779,0.768,0.769,3.62,0,0,0
12.5,0.772,0.763,0.763,4.19,0,0,0
14.5,0.761,0.751,0.75,4.85,0,0,0
16.5,0.749,0.742,0.739,5.61,0,0,0
18.5,0.739,0.731,0.728,6.5,0,0,0
20.5,0.727,0.719,0.718,7.53,0.0973,0,0
22.5,0.719,0.712,0.709,8.72,0.723,0,0.693
24.5,0.709,0.703,0.7,10.1,1.67,1.15,2.4
26.5,0.7,0.693,0.688,11.7,2.54,3.29,3.98
28.5,0.692,0.685,0.681,13.5,3.01,4.63,4.33
32.5,0.676,0.67,0.665,15.7,2.94,4.01,3.19
36.5,0.661,0.655,0.65,18.2,2.41,1.91,1.32
40.5,0.647,0.642,0.636,21,1.61,0.101,0.00928
44.5,0.635,0.629,0.622,24.4,0.814,0,0
48.5,0.624,0.618,0.612,28.2,0.244,0,0
52.5,0.612,0.607,0.6,32.7,0,0,0
56.5,0.602,0.596,0.591,37.8,0,0,0
60.5,0.592,0.586,0.581,43.8,0,0,0
68.5,0.574,0.569,0.563,50.7,0,0,0
76.5,0.559,0.553,0.548,58.8,0,0,0
84.5,0.544,0.538,0.533,68.1,0,0,0
92.5,0.531,0.526,0.52,78.8,0,0,0
101,0.518,0.513,0.508,91.3,0,0,0
109,0.507,0.502,0.496,106,0,0,0
117,0.496,0.492,0.485,122,0,0,0
125,0.486,0.482,0.476,142,0.268,0,1.04
141,0.467,0.464,0.457,164,1.42,1.12,3.4
157,0.45,0.447,0.44,190,3.51,3.79,6.54
173,0.435,0.432,0.423,220,6.17,7.29,9.6
189,0.421,0.418,0.409,255,8.85,10.6,11.8
205,0.407,0.404,0.396,295,11,12.8,12.7
221,0.393,0.39,0.382,342,12.1,13.4,12.2
237,0.381,0.377,0.369,396,11.9,12.4,10.4
253,0.369,0.365,0.357,459,10.6,10.1,7.83
285,0.346,0.342,0.334,531,8.3,7.12,5.03
317,0.326,0.321,0.312,615,5.6,4.18,2.56
349,0.306,0.301,0.292,712,3.03,1.83,0.858
381,0.287,0.282,0.273,825,1.12,0.448,0.0709
413,0.27,0.264,0.256,955,0.141,0,0
445,0.254,0.248,0.239,1.11E+03,0,0,0
477,0.239,0.232,0.224,1.28E+03,0,0,0
509,0.226,0.218,0.211,1.48E+03,0,0,0
573,0.201,0.192,0.185,1.72E+03,0,0,0
