X Lag Time,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_230613 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_230613 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_230613 3,X Intensity,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_230613 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_230613 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_230613 3
0.5,0.754,0.759,0.782,0.4,0,0,0
1,0.725,0.729,0.75,0.463,0,0,0
1.5,0.696,0.701,0.719,0.536,0,0,0
2,0.674,0.67,0.702,0.621,0.152,0,0
2.5,0.646,0.651,0.674,0.719,0.526,0,0
3,0.627,0.624,0.65,0.833,0.99,0,0
3.5,0.611,0.614,0.635,0.965,1.33,0,0
4,0.587,0.589,0.621,1.12,1.4,0,0
4.5,0.572,0.577,0.603,1.29,1.14,0,0
5.5,0.542,0.551,0.572,1.5,0.668,0,0.731
6.5,0.514,0.515,0.538,1.74,0.219,0,1.8
7.5,0.488,0.488,0.511,2.01,0,0,2.31
8.5,0.462,0.464,0.483,2.33,0,0,1.89
9.5,0.439,0.447,0.46,2.7,0,0,0.916
10.5,0.419,0.422,0.441,3.12,0,0,0.134
11.5,0.399,0.402,0.417,3.62,0,0,0
12.5,0.38,0.386,0.402,4.19,0,0,0
14.5,0.345,0.348,0.365,4.85,0,0,0
16.5,0.313,0.315,0.334,5.61,0.119,0.42,0
18.5,0.287,0.288,0.305,6.5,1.19,1.76,0.295
20.5,0.263,0.263,0.282,7.53,3.31,4.02,1.81
22.5,0.24,0.24,0.257,8.72,6.14,6.84,4.5
24.5,0.217,0.216,0.237,10.1,9.07,9.68,7.76
26.5,0.199,0.199,0.216,11.7,11.5,12,10.8
28.5,0.182,0.182,0.198,13.5,12.9,13.3,12.9
32.5,0.151,0.152,0.167,15.7,13.1,13.4,13.7
36.5,0.129,0.126,0.14,18.2,12,12.4,12.9
40.5,0.108,0.105,0.12,21,9.89,10.3,10.9
44.5,0.0911,0.0897,0.102,24.4,7.2,7.63,8.13
48.5,0.0768,0.0759,0.0872,28.2,4.43,4.87,5.15
52.5,0.0619,0.0641,0.0739,32.7,2.12,2.48,2.55
56.5,0.0534,0.056,0.0647,37.8,0.606,0.837,0.79
60.5,0.0456,0.0468,0.0551,43.8,0,0.0717,0.0193
68.5,0.0344,0.0337,0.0424,50.7,0,0,0
76.5,0.0253,0.0248,0.0309,58.8,0,0,0
84.5,0.0197,0.0185,0.0256,68.1,0,0,0
92.5,0.0145,0.0156,0.0194,78.8,0,0,0
101,0.0111,0.0111,0.0156,91.3,0,0,0
109,0.00898,0.00951,0.0143,106,0,0,0
117,0.00774,0.00893,0.0106,122,0,0,0
125,0.00741,0.00743,0.00937,142,0,0,0
141,0.00487,0.00566,0.00619,164,0,0,0
157,0.00336,0.00408,0.0052,190,0,0,0
173,0.00257,0.00245,0.00469,220,0,0,0
189,0.00148,0.00182,0.00372,255,0,0,0
205,0.00217,0.00151,0.00226,295,0,0,0
221,0.00268,0.00163,0.00273,342,0,0,0
237,0.0029,0.00101,0.00394,396,0,0,0
253,0.00295,0.00148,0.00367,459,0,0,0
285,0.0017,0.000241,0.00322,531,0,0,0
317,0.00129,0.000582,0.00161,615,0,0,0
349,0.000471,0.00058,0.00123,712,0,0,0
381,0.00101,0.00151,0.000508,825,0,0,0
413,0.000833,0.00198,0.00129,955,0,0,0
445,0.00119,0.000944,0.0015,1.11E+03,0,0,0
477,0.000909,0.000689,0.00217,1.28E+03,0,0,0
509,0.00137,0.000415,0.00174,1.48E+03,0,0,0
573,0.00118,0.000757,0.00142,1.72E+03,0,0,0
637,0.00117,0.000418,0.000558,1.99E+03,0,0,0
701,0.000775,3.78E-05,0.000429,2.30E+03,0,0,0
765,0.000369,0.00032,0.000553,2.67E+03,0,0,0
829,0.00101,0.000646,0.00163,3.09E+03,0,0,0
893,0.000881,0.000115,0.00183,3.58E+03,0,0,0
957,0.000502,0.000718,0.000788,4.15E+03,0,0,0
1.02E+03,0.000498,0.000536,0.00104,4.80E+03,0,0,0
1.15E+03,0.000697,0.000587,0.00182,5.56E+03,0,0,0
1.28E+03,0.000917,0.000211,0.00104,6.44E+03,0,0,0
1.40E+03,4.57E-06,0.00034,0.00144,7.46E+03,0,0,0
