X Lag Time,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No1_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No1_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No1_230608 3,X Intensity,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No1_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No1_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No1_230608 3
0.5,0.735,0.732,0.755,0.4,0,0,0
1,0.713,0.707,0.727,0.463,0,0,0
1.5,0.679,0.688,0.701,0.536,0,0,0
2,0.649,0.656,0.677,0.621,0,0,0
2.5,0.637,0.638,0.666,0.719,0,0,0
3,0.62,0.626,0.636,0.833,0,0,0.389
3.5,0.6,0.599,0.62,0.965,0,0,1.21
4,0.582,0.584,0.607,1.12,0,0,1.65
4.5,0.564,0.572,0.59,1.29,0,0,1.29
5.5,0.54,0.541,0.56,1.5,0,0,0.498
6.5,0.513,0.514,0.531,1.74,0,0,0
7.5,0.489,0.491,0.508,2.01,0,0,0
8.5,0.465,0.464,0.484,2.33,0,0,0
9.5,0.442,0.444,0.464,2.7,0,0,0
10.5,0.424,0.421,0.443,3.12,0,0,0
11.5,0.403,0.405,0.424,3.62,0,0,0
12.5,0.387,0.388,0.407,4.19,0,0,0
14.5,0.353,0.358,0.372,4.85,0.197,0,0
16.5,0.32,0.326,0.344,5.61,1.06,0.18,0
18.5,0.293,0.298,0.315,6.5,2.69,1.26,0.858
20.5,0.269,0.275,0.29,7.53,4.9,3.32,3.11
22.5,0.246,0.256,0.267,8.72,7.33,6.02,6.33
24.5,0.228,0.234,0.246,10.1,9.56,8.86,9.65
26.5,0.206,0.215,0.229,11.7,11.2,11.3,12.2
28.5,0.19,0.199,0.212,13.5,12.1,12.7,13.5
32.5,0.162,0.17,0.179,15.7,11.9,13.1,13.1
36.5,0.138,0.145,0.155,18.2,10.9,12.2,11.3
40.5,0.115,0.124,0.134,21,9.19,10.3,8.6
44.5,0.0993,0.106,0.118,24.4,7.04,7.83,5.56
48.5,0.0832,0.0925,0.102,28.2,4.8,5.19,2.84
52.5,0.0745,0.0807,0.089,32.7,2.79,2.84,0.944
56.5,0.0646,0.0692,0.0778,37.8,1.25,1.13,0.0717
60.5,0.0548,0.0607,0.0686,43.8,0.338,0.228,0
68.5,0.0414,0.0491,0.0545,50.7,0,0,0
76.5,0.033,0.0382,0.0449,58.8,0,0,0
84.5,0.0264,0.0318,0.0391,68.1,0,0,0
92.5,0.0207,0.024,0.0329,78.8,0,0,0
101,0.0159,0.0208,0.0284,91.3,0,0,0
109,0.015,0.0191,0.024,106,0,0,0
117,0.0104,0.0162,0.0213,122,0,0,0
125,0.00878,0.0134,0.0179,142,0,0,0
141,0.00813,0.00962,0.0158,164,0,0,0
157,0.00533,0.00781,0.0124,190,0,0,0
173,0.00464,0.00619,0.0107,220,0,0,0
189,0.00454,0.00517,0.0114,255,0,0,0
205,0.00461,0.00487,0.00958,295,0,0,0
221,0.00387,0.00406,0.00918,342,0,0,0
237,0.00425,0.00464,0.00777,396,0,0,0
253,0.00453,0.00455,0.00747,459,0,0,0
285,0.00221,0.0043,0.00837,531,0,0,0
317,0.00257,0.00299,0.00792,615,0,0,0
349,0.00228,0.00303,0.0056,712,0,0,0
381,0.00238,0.00266,0.00435,825,0,0,0
413,0.0027,0.00231,0.00411,955,0,0,0
445,0.00258,0.00329,0.00434,1.11E+03,0,0,0
477,0.00307,0.00322,0.00434,1.28E+03,0,0,0.00647
509,0.00263,0.00238,0.00403,1.48E+03,0,0,0.0528
573,0.00234,0.00123,0.0022,1.72E+03,0.00766,0.00558,0.151
637,0.000985,0.00141,0.00226,1.99E+03,0.0429,0.0475,0.298
701,0.00106,0.00199,0.00194,2.30E+03,0.111,0.135,0.481
765,0.000977,0.0013,0.00165,2.67E+03,0.205,0.26,0.677
829,0.00113,0.000682,0.00107,3.09E+03,0.313,0.407,0.864
893,0.00072,0.00126,0.00189,3.58E+03,0.419,0.552,1.02
957,0.000341,0.000529,0.00188,4.15E+03,0.504,0.671,1.11
1.02E+03,0.000719,0.000584,0.00132,4.80E+03,0.553,0.742,1.14
1.15E+03,0.000762,0.00109,0.0014,5.56E+03,0.553,0.746,1.08
1.28E+03,0.00075,0.000839,0.00105,6.44E+03,0,0,0
1.40E+03,0.000355,0.000326,0.000251,7.46E+03,0,0,0
1.53E+03,0.000574,0.000354,0.00109,8.63E+03,0,0,0
1.66E+03,4.58E-05,0.000313,0.000695,,,,
1.79E+03,0,0.00047,0.000627,,,,
1.92E+03,0.00109,0.0004,0.000245,,,,
2.04E+03,0.000442,0.000637,0.00111,,,,
2.30E+03,0.000892,0.00032,0.000725,,,,
2.56E+03,0.000584,0.000243,0.000846,,,,
2.81E+03,0.000314,0.00101,0.00119,,,,
3.07E+03,0.0011,0.000223,0.00156,,,,
3.32E+03,0.000172,0.000761,0.000775,,,,
3.58E+03,0.00135,0.000741,0.00135,,,,
3.84E+03,0.000351,0.00156,0.000467,,,,
4.09E+03,0.000421,0.0009,0.000368,,,,
4.60E+03,0.000532,0.000704,0.00122,,,,
5.12E+03,0.000247,0.000647,0.000927,,,,
5.63E+03,0.000169,0.000248,0.000503,,,,
6.14E+03,0.0007,0.000911,0.0012,,,,
6.65E+03,0.000517,0.000101,0.000393,,,,
7.16E+03,0.000544,0.000124,0.000544,,,,
7.68E+03,0.000472,0.000668,0.000776,,,,
8.19E+03,0.000605,0.000375,0.000945,,,,
9.21E+03,0.000377,0.000381,0.000543,,,,
1.02E+04,0.000769,0.000208,0.000731,,,,
