X Lag Time,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No2_230530 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No2_230530 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No2_230530 3,X Intensity,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No2_230530 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No2_230530 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No2_230530 3
0.5,0.806,0.806,0.815,0.4,0,0,0
1,0.787,0.777,0.783,0.463,0,0,0
1.5,0.764,0.747,0.765,0.536,0,0,0
2,0.736,0.733,0.746,0.621,0,0,0
2.5,0.722,0.714,0.729,0.719,0,0,0
3,0.705,0.692,0.713,0.833,0,0,0
3.5,0.694,0.682,0.695,0.965,0,0,0
4,0.667,0.664,0.677,1.12,0,0,0
4.5,0.653,0.649,0.66,1.29,0,0,0
5.5,0.628,0.62,0.637,1.5,0,0,0
6.5,0.603,0.597,0.61,1.74,0,0,0
7.5,0.581,0.573,0.588,2.01,0,0,0
8.5,0.554,0.553,0.563,2.33,0,0,0
9.5,0.537,0.526,0.543,2.7,0,0,0
10.5,0.515,0.509,0.526,3.12,0,0,0
11.5,0.496,0.49,0.507,3.62,0,0,0
12.5,0.482,0.47,0.491,4.19,0,0,0
14.5,0.45,0.439,0.46,4.85,0,0,0
16.5,0.42,0.408,0.427,5.61,0,0,0
18.5,0.393,0.382,0.402,6.5,0,0,0
20.5,0.367,0.356,0.376,7.53,1.2,1.4,1.91
22.5,0.344,0.335,0.355,8.72,4.2,4.71,5.88
24.5,0.325,0.312,0.332,10.1,8.17,8.92,10.4
26.5,0.303,0.293,0.313,11.7,11.7,12.5,13.8
28.5,0.287,0.276,0.297,13.5,13.7,14.3,14.8
32.5,0.254,0.243,0.266,15.7,13.5,13.8,13.1
36.5,0.228,0.216,0.239,18.2,11.3,11.2,9.45
40.5,0.206,0.196,0.217,21,7.81,7.41,5.15
44.5,0.184,0.175,0.198,24.4,4.12,3.66,1.68
48.5,0.167,0.158,0.181,28.2,1.3,1.03,0
52.5,0.151,0.143,0.167,32.7,0,0,0
56.5,0.138,0.131,0.152,37.8,0,0,0
60.5,0.128,0.12,0.142,43.8,0,0,0
68.5,0.109,0.103,0.123,50.7,0,0,0
76.5,0.0926,0.0883,0.11,58.8,0,0,0
84.5,0.083,0.0768,0.098,68.1,0,0,0
92.5,0.074,0.0686,0.0883,78.8,0,0,0
101,0.0667,0.0611,0.0821,91.3,0,0,0
109,0.0618,0.0571,0.0768,106,0,0,0
117,0.0578,0.0538,0.0723,122,0,0,0.0779
125,0.054,0.0488,0.0671,142,0,0,0.595
141,0.0477,0.0438,0.0618,164,0,0,1.48
157,0.0436,0.0392,0.0589,190,0.131,0.134,2.45
173,0.0413,0.0362,0.0555,220,0.525,0.547,3.2
189,0.0397,0.0331,0.0523,255,1.14,1.18,3.51
205,0.0366,0.0335,0.0505,295,1.84,1.87,3.31
221,0.0347,0.0328,0.0474,342,2.48,2.46,2.68
237,0.0329,0.0312,0.0464,396,2.93,2.81,1.79
253,0.0313,0.0293,0.0447,459,3.12,2.88,0.919
285,0.0291,0.0271,0.0414,531,3.02,2.65,0.28
317,0.027,0.0246,0.0401,615,2.66,2.19,0
349,0.0268,0.0251,0.0371,712,2.12,1.6,0
381,0.0251,0.024,0.0343,825,1.5,0.992,0
413,0.0234,0.0208,0.0325,955,0.898,0.485,0
445,0.0217,0.0205,0.0307,1.11E+03,0.418,0.149,0
477,0.0206,0.0195,0.0285,1.28E+03,0.117,0.00489,0
509,0.0189,0.0187,0.0275,1.48E+03,0,0,0
573,0.0189,0.0169,0.0261,1.72E+03,0,0,0
637,0.0168,0.0132,0.0248,1.99E+03,0,0,0
701,0.0142,0.0101,0.0221,2.30E+03,0,0,0
765,0.0118,0.0106,0.02,2.67E+03,0,0,0
829,0.0101,0.00973,0.0187,3.09E+03,0,0,0
893,0.0106,0.00978,0.0177,3.58E+03,0,0.0532,0.102
957,0.00879,0.00788,0.0168,4.15E+03,0,0.174,0.494
1.02E+03,0.00663,0.00756,0.0154,4.80E+03,0,0.335,1.13
1.15E+03,0.00694,0.00585,0.0135,5.56E+03,0,0.488,1.8
1.28E+03,0.00592,0.00568,0.0118,6.44E+03,0,0,0
1.40E+03,0.00571,0.00582,0.0114,7.46E+03,0,0,0
1.53E+03,0.00506,0.0051,0.0119,8.63E+03,0,0,0
1.66E+03,0.00349,0.00341,0.00948,,,,
1.79E+03,0.00342,0.00177,0.00954,,,,
1.92E+03,0.00318,0.00308,0.00971,,,,
2.04E+03,0.00336,0.00323,0.0104,,,,
2.30E+03,0.00496,0.00226,0.00968,,,,
2.56E+03,0.00384,0.00329,0.00891,,,,
2.81E+03,0.00451,0.00305,0.00872,,,,
3.07E+03,0.0039,0.00394,0.00747,,,,
3.32E+03,0.00375,0.00383,0.00658,,,,
3.58E+03,0.00361,0.00284,0.00557,,,,
3.84E+03,0.00422,0.0019,0.00596,,,,
4.09E+03,0.00357,0.00223,0.00574,,,,
4.60E+03,0.00334,0.00278,0.00563,,,,
5.12E+03,0.00309,0.00381,0.00699,,,,
5.63E+03,0.00285,0.00304,0.0064,,,,
6.14E+03,0.00338,0.00175,0.00614,,,,
6.65E+03,0.00298,0.00215,0.00689,,,,
7.16E+03,0.00346,0.00317,0.00538,,,,
7.68E+03,0.00316,0.00302,0.00633,,,,
8.19E+03,0.00302,0.00335,0.00545,,,,
9.21E+03,0.00332,0.00195,0.00548,,,,
1.02E+04,0.004,0.00157,0.00412,,,,
1.13E+04,0.00282,0.00213,0.00464,,,,
1.23E+04,0.00333,0.00157,0.00532,,,,
1.33E+04,0.00349,0.00193,0.00425,,,,
1.43E+04,0.00326,0.00176,0.00421,,,,
1.54E+04,0.00274,0.0015,0.00291,,,,
