X Lag Time,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No2 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No2 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No2 3,X Intensity,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No2 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No2 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No2 3
0.5,0.804,0.809,0.808,0.4,0,0,0
1,0.773,0.779,0.779,0.463,0,0,0
1.5,0.74,0.755,0.75,0.536,0,0,0
2,0.72,0.73,0.72,0.621,0,0,0
2.5,0.696,0.71,0.703,0.719,0,0,0
3,0.682,0.692,0.682,0.833,0,0,0
3.5,0.662,0.675,0.664,0.965,0,0.625,0
4,0.637,0.649,0.645,1.12,0,1.51,0
4.5,0.624,0.634,0.631,1.29,0,1.91,0
5.5,0.589,0.608,0.599,1.5,0,1.46,0
6.5,0.564,0.58,0.569,1.74,0,0.569,0
7.5,0.537,0.553,0.544,2.01,0,0,0
8.5,0.513,0.527,0.518,2.33,0,0,0
9.5,0.492,0.503,0.498,2.7,0,0,0
10.5,0.467,0.484,0.476,3.12,0,0,0
11.5,0.449,0.462,0.451,3.62,0,0,0
12.5,0.43,0.445,0.433,4.19,0,0,0
14.5,0.391,0.412,0.397,4.85,0,0,0
16.5,0.359,0.379,0.365,5.61,0,0,0
18.5,0.33,0.35,0.337,6.5,1.18,0,0.826
20.5,0.304,0.325,0.31,7.53,3.64,1.04,2.77
22.5,0.278,0.302,0.286,8.72,6.86,3.74,5.57
24.5,0.26,0.278,0.263,10.1,10,7.47,8.66
26.5,0.237,0.258,0.242,11.7,12.5,11.1,11.4
28.5,0.219,0.239,0.223,13.5,13.7,13.7,13.2
32.5,0.188,0.205,0.192,15.7,13.4,14.5,13.7
36.5,0.159,0.178,0.163,18.2,11.9,13.4,12.9
40.5,0.136,0.156,0.142,21,9.48,10.8,10.9
44.5,0.118,0.135,0.122,24.4,6.63,7.39,8.23
48.5,0.101,0.118,0.104,28.2,3.9,4.04,5.32
52.5,0.0895,0.103,0.0908,32.7,1.75,1.51,2.76
56.5,0.0785,0.0922,0.0807,37.8,0.458,0.214,0.956
60.5,0.0682,0.0815,0.0706,43.8,0,0,0.1
68.5,0.0531,0.0655,0.0542,50.7,0,0,0
76.5,0.0419,0.0514,0.042,58.8,0,0,0
84.5,0.0352,0.0429,0.0341,68.1,0,0,0
92.5,0.0277,0.0364,0.0277,78.8,0,0,0
101,0.0222,0.0309,0.0218,91.3,0,0,0
109,0.0191,0.028,0.0184,106,0,0,0
117,0.0155,0.0268,0.0167,122,0,0,0
125,0.0132,0.0234,0.0143,142,0,0,0
141,0.00979,0.0187,0.0122,164,0,0,0
157,0.00923,0.0159,0.00913,190,0,0,0
173,0.00721,0.0129,0.0081,220,0,0,0
189,0.00729,0.0121,0.00688,255,0,0,0
205,0.00729,0.0112,0.00575,295,0,0,0
221,0.00683,0.0101,0.00542,342,0,0,0
237,0.00834,0.011,0.00521,396,0,0,0
253,0.00778,0.0107,0.00597,459,0,0,0
285,0.0065,0.00947,0.00538,531,0,0,0
317,0.0066,0.00765,0.00383,615,0,0,0
349,0.0052,0.00771,0.0037,712,0,0,0
381,0.00429,0.00845,0.00331,825,0,0,0
413,0.00428,0.00913,0.0047,955,0,0,0
445,0.00453,0.00684,0.00546,1.11E+03,0,0,0
477,0.00433,0.00542,0.00434,1.28E+03,0,0,0
509,0.0044,0.00526,0.00375,1.48E+03,0,0,0
573,0.00433,0.00547,0.00314,1.72E+03,0.0249,0.00343,0
637,0.00423,0.006,0.00238,1.99E+03,0.0962,0.0582,0
701,0.00347,0.00597,0.0027,2.30E+03,0.216,0.179,0
765,0.00318,0.00423,0.00288,2.67E+03,0.373,0.356,0.0475
829,0.00291,0.00356,0.00232,3.09E+03,0.546,0.566,0.164
893,0.00398,0.00417,0.00383,3.58E+03,0.709,0.775,0.337
957,0.00379,0.00358,0.00253,4.15E+03,0.838,0.947,0.532
1.02E+03,0.00399,0.00423,0.00199,4.80E+03,0.907,1.05,0.706
1.15E+03,0.00269,0.00399,0.00219,5.56E+03,0.898,1.06,0.811
1.28E+03,0.00275,0.0043,0.0028,6.44E+03,0,0,0
1.40E+03,0.00224,0.00346,0.003,7.46E+03,0,0,0
1.53E+03,0.0021,0.00278,0.00219,8.63E+03,0,0,0
1.66E+03,0.00189,0.00365,0.00164,,,,
1.79E+03,0.00132,0.00357,0.00144,,,,
1.92E+03,0.00288,0.00285,0.00202,,,,
2.04E+03,0.00164,0.00268,0.00228,,,,
2.30E+03,0.00184,0.00367,0.00315,,,,
2.56E+03,0.00255,0.00303,0.00236,,,,
2.81E+03,0.00233,0.00244,0.00183,,,,
3.07E+03,0.00113,0.00264,0.00171,,,,
3.32E+03,0.00204,0.00296,0.00207,,,,
3.58E+03,0.00221,0.00358,0.00179,,,,
3.84E+03,0.00201,0.003,0.00145,,,,
4.09E+03,0.00168,0.00278,0.00115,,,,
4.60E+03,0.00213,0.00227,0.00145,,,,
5.12E+03,0.00179,0.00275,0.00139,,,,
5.63E+03,0.00176,0.00278,0.00186,,,,
