X Lag Time,Record 1: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No4_230621 1,Record 2: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No4_230621 2,Record 3: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No4_230621 3,X Intensity,Record 1: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No4_230621 1,Record 2: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No4_230621 2,Record 3: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No4_230621 3
0.5,0.894,0.874,0.871,0.4,0,0,0
1,0.891,0.87,0.87,0.463,0,0,0
1.5,0.882,0.863,0.861,0.536,0,0,0
2,0.878,0.859,0.857,0.621,0,0,0
2.5,0.873,0.856,0.849,0.719,0,0,0
3,0.869,0.85,0.846,0.833,0,0,0
3.5,0.862,0.845,0.841,0.965,0,0,0
4,0.862,0.841,0.838,1.12,0,0,0
4.5,0.856,0.836,0.833,1.29,0,0,0
5.5,0.85,0.829,0.824,1.5,0,0,0
6.5,0.841,0.82,0.819,1.74,0,0,0
7.5,0.836,0.814,0.809,2.01,0,0,0
8.5,0.827,0.807,0.805,2.33,0,0,0
9.5,0.822,0.801,0.797,2.7,0,0,0
10.5,0.817,0.795,0.793,3.12,0,0,0
11.5,0.81,0.788,0.786,3.62,0,0,0
12.5,0.804,0.783,0.78,4.19,0,0,0
14.5,0.794,0.772,0.769,4.85,0,0,0
16.5,0.783,0.762,0.759,5.61,0,0,0
18.5,0.775,0.751,0.748,6.5,0,0,0
20.5,0.767,0.743,0.739,7.53,0,0,0
22.5,0.757,0.734,0.73,8.72,0,0.256,0.684
24.5,0.748,0.725,0.722,10.1,1.44,1.32,1.87
26.5,0.742,0.717,0.716,11.7,3.55,2.68,2.93
28.5,0.734,0.711,0.707,13.5,4.72,3.55,3.32
32.5,0.72,0.696,0.692,15.7,4.01,3.44,2.9
36.5,0.707,0.683,0.677,18.2,1.91,2.43,1.9
40.5,0.695,0.67,0.666,21,0.114,1.09,0.821
44.5,0.683,0.658,0.654,24.4,0,0.155,0.137
48.5,0.672,0.648,0.643,28.2,0,0,0
52.5,0.664,0.637,0.633,32.7,0,0,0
56.5,0.655,0.629,0.624,37.8,0,0,0
60.5,0.646,0.619,0.616,43.8,0,0,0
68.5,0.63,0.604,0.599,50.7,0,0,0
76.5,0.617,0.59,0.584,58.8,0,0,0
84.5,0.605,0.577,0.572,68.1,0,0,0
92.5,0.592,0.565,0.561,78.8,0,0,0
101,0.582,0.554,0.55,91.3,0,0,0
109,0.572,0.544,0.54,106,0,0,0.0731
117,0.562,0.534,0.531,122,0,0,0.45
125,0.553,0.526,0.522,142,0,0,1.19
141,0.537,0.51,0.505,164,0.407,0.603,2.24
157,0.523,0.495,0.49,190,2.74,2.07,3.48
173,0.509,0.481,0.476,220,6.43,4.21,4.76
189,0.496,0.468,0.462,255,10.2,6.58,5.92
205,0.484,0.456,0.45,295,12.8,8.71,6.85
221,0.472,0.444,0.439,342,13.6,10.2,7.46
237,0.461,0.433,0.427,396,12.5,10.8,7.71
253,0.45,0.422,0.416,459,9.98,10.5,7.6
285,0.429,0.401,0.395,531,6.73,9.35,7.18
317,0.41,0.382,0.376,615,3.59,7.58,6.51
349,0.392,0.363,0.357,712,1.26,5.51,5.66
381,0.374,0.345,0.34,825,0.115,3.49,4.72
413,0.357,0.329,0.324,955,0,1.8,3.76
445,0.341,0.314,0.309,1.11E+03,0,0.659,2.85
477,0.326,0.299,0.294,1.28E+03,0,0.103,2.04
509,0.312,0.285,0.281,1.48E+03,0,0,1.37
573,0.287,0.26,0.256,1.72E+03,0,0,0.856
637,0.265,0.237,0.234,1.99E+03,0,0,0.498
701,0.244,0.217,0.214,2.30E+03,0,0,0.286
765,0.225,0.199,0.196,2.67E+03,0,0,0.199
829,0.207,0.182,0.179,3.09E+03,0,0.0118,0.206
893,0.192,0.166,0.165,3.58E+03,0,0.172,0.272
957,0.179,0.152,0.152,4.15E+03,0,0.492,0.362
1.02E+03,0.167,0.14,0.14,4.80E+03,1.02,0.895,0.442
1.15E+03,0.147,0.118,0.119,5.56E+03,2.95,1.26,0.483
1.28E+03,0.129,0.102,0.103,6.44E+03,0,0,0
1.40E+03,0.115,0.0869,0.0882,7.46E+03,0,0,0
1.53E+03,0.102,0.0741,0.0761,8.63E+03,0,0,0
