X Lag Time,Record 1: JJ1_01mg_PS2_050ug_200rpm_10-00min_PM_No2_230621 1,Record 2: JJ1_01mg_PS2_050ug_200rpm_10-00min_PM_No2_230621 2,Record 3: JJ1_01mg_PS2_050ug_200rpm_10-00min_PM_No2_230621 3,X Intensity,Record 1: JJ1_01mg_PS2_050ug_200rpm_10-00min_PM_No2_230621 1,Record 2: JJ1_01mg_PS2_050ug_200rpm_10-00min_PM_No2_230621 2,Record 3: JJ1_01mg_PS2_050ug_200rpm_10-00min_PM_No2_230621 3
0.5,0.825,0.813,0.815,0.4,0,0,0
1,0.809,0.795,0.797,0.463,0,0,0
1.5,0.792,0.776,0.782,0.536,0,0,0
2,0.779,0.76,0.765,0.621,0,0,0
2.5,0.763,0.748,0.745,0.719,0,0,0
3,0.751,0.734,0.734,0.833,0,0,0
3.5,0.739,0.717,0.718,0.965,0,0,0
4,0.728,0.708,0.706,1.12,0,0,0
4.5,0.715,0.697,0.698,1.29,0,0,0
5.5,0.696,0.674,0.672,1.5,0,0,0
6.5,0.674,0.655,0.654,1.74,0,0,0
7.5,0.656,0.638,0.635,2.01,0,0,0
8.5,0.636,0.619,0.618,2.33,0,0,0
9.5,0.624,0.603,0.601,2.7,0,0,0
10.5,0.608,0.588,0.584,3.12,0,0,0
11.5,0.592,0.573,0.569,3.62,0,0,0
12.5,0.577,0.558,0.556,4.19,0,0,0
14.5,0.552,0.531,0.527,4.85,0,0,0
16.5,0.527,0.506,0.503,5.61,0,0,0
18.5,0.505,0.484,0.479,6.5,0,0,0
20.5,0.485,0.465,0.46,7.53,0.594,0.391,1.1
22.5,0.464,0.444,0.437,8.72,2.93,2.75,3.6
24.5,0.446,0.425,0.42,10.1,6.39,6.44,6.73
26.5,0.429,0.408,0.401,11.7,9.55,9.86,9.33
28.5,0.413,0.393,0.386,13.5,11.1,11.5,10.5
32.5,0.384,0.362,0.355,15.7,10.5,10.8,9.87
36.5,0.358,0.338,0.329,18.2,7.99,7.93,7.72
40.5,0.335,0.315,0.307,21,4.52,4.24,4.81
44.5,0.317,0.296,0.287,24.4,1.51,1.26,2.13
48.5,0.299,0.278,0.269,28.2,0,0,0.461
52.5,0.283,0.264,0.255,32.7,0,0,0
56.5,0.27,0.249,0.241,37.8,0,0,0
60.5,0.257,0.237,0.228,43.8,0,0,0
68.5,0.236,0.215,0.207,50.7,0,0,0
76.5,0.218,0.198,0.19,58.8,0,0,0
84.5,0.204,0.185,0.177,68.1,0,0,0
92.5,0.193,0.174,0.164,78.8,0,0,0
101,0.182,0.164,0.156,91.3,0,0,0
109,0.174,0.156,0.147,106,0,0,0
117,0.168,0.149,0.14,122,0,0,0.178
125,0.162,0.144,0.134,142,0.248,0,0.839
141,0.152,0.134,0.124,164,1.19,0.326,1.95
157,0.143,0.125,0.116,190,2.68,1.45,3.29
173,0.135,0.119,0.109,220,4.34,3.19,4.57
189,0.13,0.115,0.104,255,5.73,5.05,5.54
205,0.125,0.111,0.0992,295,6.5,6.51,6.01
221,0.121,0.107,0.0954,342,6.5,7.2,5.91
237,0.117,0.102,0.0917,396,5.76,6.97,5.28
253,0.113,0.0988,0.0876,459,4.48,5.9,4.26
285,0.107,0.0922,0.0805,531,2.97,4.3,3.03
317,0.1,0.0864,0.0743,615,1.57,2.57,1.82
349,0.094,0.0818,0.0685,712,0.555,1.12,0.844
381,0.0898,0.0774,0.0647,825,0.0594,0.252,0.231
413,0.0846,0.0713,0.0616,955,0,0,0
445,0.0802,0.0665,0.0574,1.11E+03,0,0,0
477,0.0768,0.0627,0.0529,1.28E+03,0,0,0
509,0.0729,0.0596,0.048,1.48E+03,0,0,0
573,0.0635,0.0532,0.0425,1.72E+03,0,0,0
637,0.0576,0.0462,0.0367,1.99E+03,0,0,0
701,0.0519,0.0399,0.0322,2.30E+03,0,0,0
765,0.0472,0.0355,0.0298,2.67E+03,0,0,0
829,0.0431,0.0315,0.0281,3.09E+03,0,0,0
893,0.0391,0.0289,0.0237,3.58E+03,0.0643,0,0
957,0.0357,0.0254,0.0205,4.15E+03,0.314,0,0
1.02E+03,0.0325,0.0213,0.0181,4.80E+03,0.715,0,0
1.15E+03,0.0276,0.0166,0.0139,5.56E+03,1.14,0,0
1.28E+03,0.0241,0.0131,0.0113,6.44E+03,0,0,0
