X Lag Time,Record 1: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No1 1,Record 2: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No1 2,Record 3: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No1 3,X Intensity,Record 1: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No1 1,Record 2: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No1 2,Record 3: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No1 3
0.5,0.83,0.829,0.838,0.4,0,0,0
1,0.815,0.814,0.818,0.463,0,0,0
1.5,0.806,0.797,0.801,0.536,0,0,0
2,0.791,0.782,0.795,0.621,0,0,0
2.5,0.783,0.771,0.787,0.719,0,0,0
3,0.775,0.759,0.773,0.833,0,0,0
3.5,0.768,0.747,0.762,0.965,0,0,0
4,0.762,0.744,0.753,1.12,0,0,0
4.5,0.752,0.728,0.743,1.29,0,0,0
5.5,0.742,0.709,0.734,1.5,0,0,0
6.5,0.725,0.694,0.714,1.74,0,0,0
7.5,0.716,0.678,0.703,2.01,0,0,0
8.5,0.699,0.666,0.687,2.33,0,0,0
9.5,0.684,0.649,0.675,2.7,0,0,0
10.5,0.678,0.636,0.668,3.12,0,0,0
11.5,0.665,0.624,0.654,3.62,0,0,0
12.5,0.656,0.613,0.646,4.19,0,0,0
14.5,0.636,0.589,0.621,4.85,0,0,0
16.5,0.622,0.566,0.605,5.61,0,0,0
18.5,0.608,0.549,0.586,6.5,0,0,0
20.5,0.589,0.53,0.57,7.53,0,0.144,0
22.5,0.578,0.516,0.554,8.72,1.65,2.58,1.12
24.5,0.564,0.496,0.54,10.1,4.95,6.25,4.55
26.5,0.548,0.481,0.527,11.7,8.17,9.23,8.4
28.5,0.537,0.468,0.516,13.5,9.59,10.2,10.3
32.5,0.515,0.44,0.491,15.7,8.53,8.84,9.23
36.5,0.495,0.421,0.47,18.2,5.6,5.98,5.79
40.5,0.478,0.401,0.45,21,2.31,2.88,2.04
44.5,0.462,0.379,0.433,24.4,0.253,0.729,0
48.5,0.446,0.364,0.417,28.2,0,0,0
52.5,0.434,0.351,0.405,32.7,0,0,0
56.5,0.423,0.337,0.393,37.8,0,0,0
60.5,0.413,0.326,0.381,43.8,0,0,0
68.5,0.395,0.307,0.361,50.7,0,0,0
76.5,0.379,0.29,0.347,58.8,0,0,0
84.5,0.367,0.276,0.331,68.1,0,0,0
92.5,0.355,0.264,0.321,78.8,0,0,0
101,0.346,0.251,0.31,91.3,0,0,0
109,0.337,0.245,0.302,106,0,0,0
117,0.33,0.235,0.294,122,0,0.197,0
125,0.322,0.229,0.287,142,0,0.947,0
141,0.311,0.218,0.273,164,0,2.26,0.891
157,0.302,0.208,0.264,190,0.618,3.91,2.87
173,0.294,0.2,0.254,220,2.99,5.57,5.41
189,0.287,0.192,0.247,255,6.53,6.87,7.78
205,0.279,0.186,0.238,295,9.89,7.53,9.31
221,0.272,0.18,0.234,342,11.7,7.41,9.58
237,0.265,0.176,0.227,396,11.4,6.5,8.56
253,0.26,0.169,0.221,459,8.84,5.02,6.54
285,0.249,0.16,0.21,531,5.17,3.27,4.1
