X Lag Time,Record 1: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No1 1,Record 2: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No1 2,Record 3: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No1 3,X Intensity,Record 1: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No1 1,Record 2: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No1 2,Record 3: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No1 3
0.5,0.864,0.851,0.858,0.4,0,0,0
1,0.864,0.848,0.853,0.463,0,0,0
1.5,0.853,0.84,0.846,0.536,0,0,0
2,0.844,0.831,0.836,0.621,0,0,0
2.5,0.84,0.826,0.832,0.719,0,0,0
3,0.835,0.819,0.828,0.833,0,0,0
3.5,0.83,0.815,0.822,0.965,0,0,0
4,0.825,0.809,0.815,1.12,0,0,0
4.5,0.82,0.806,0.81,1.29,0,0,0
5.5,0.81,0.795,0.802,1.5,0,0,0
6.5,0.801,0.788,0.794,1.74,0,0,0
7.5,0.792,0.778,0.784,2.01,0,0,0
8.5,0.785,0.77,0.777,2.33,0,0,0
9.5,0.777,0.761,0.766,2.7,0,0,0
10.5,0.77,0.753,0.76,3.12,0,0,0
11.5,0.762,0.747,0.753,3.62,0,0,0
12.5,0.755,0.739,0.746,4.19,0,0,0
14.5,0.742,0.724,0.731,4.85,0,0,0
16.5,0.73,0.711,0.72,5.61,0,0,0
18.5,0.716,0.7,0.706,6.5,0,0,0
20.5,0.704,0.688,0.695,7.53,0.152,0,0
22.5,0.693,0.677,0.683,8.72,1.02,0.725,0.792
24.5,0.682,0.665,0.672,10.1,2.42,2.13,2.35
26.5,0.674,0.656,0.661,11.7,3.75,3.55,3.85
28.5,0.664,0.646,0.652,13.5,4.38,4.31,4.54
32.5,0.646,0.629,0.633,15.7,4.02,4.09,4.13
36.5,0.628,0.611,0.616,18.2,2.84,3.04,2.9
40.5,0.613,0.595,0.6,21,1.38,1.65,1.46
44.5,0.6,0.581,0.585,24.4,0.319,0.514,0.397
48.5,0.586,0.567,0.571,28.2,0,0,0
52.5,0.573,0.556,0.56,32.7,0,0,0
56.5,0.563,0.543,0.548,37.8,0,0,0
60.5,0.552,0.533,0.537,43.8,0,0,0.00187
68.5,0.532,0.512,0.516,50.7,0,0,0.151
76.5,0.514,0.495,0.497,58.8,0,0,0.412
84.5,0.498,0.478,0.481,68.1,0.309,0.185,0.726
92.5,0.484,0.463,0.467,78.8,1.16,0.76,1.1
101,0.471,0.45,0.453,91.3,2.41,1.73,1.64
109,0.458,0.438,0.439,106,3.77,2.99,2.45
117,0.446,0.426,0.428,122,5.04,4.39,3.63
125,0.436,0.415,0.417,142,6.09,5.79,5.15
141,0.416,0.396,0.398,164,6.92,7.04,6.84
157,0.399,0.377,0.379,190,7.56,7.98,8.43
173,0.383,0.361,0.363,220,7.99,8.51,9.56
189,0.367,0.345,0.348,255,8.17,8.52,9.93
205,0.353,0.331,0.333,295,7.97,8.01,9.36
221,0.34,0.318,0.319,342,7.3,6.99,7.88
237,0.327,0.306,0.307,396,6.12,5.59,5.76
253,0.315,0.294,0.295,459,4.54,3.99,3.45
285,0.294,0.273,0.274,531,2.8,2.43,1.49
317,0.274,0.254,0.253,615,1.27,1.15,0.314
349,0.256,0.235,0.235,712,0.289,0.323,0
381,0.24,0.219,0.219,825,0,0,0
413,0.225,0.204,0.205,955,0,0,0
445,0.212,0.191,0.192,1.11E+03,0,0,0
477,0.2,0.179,0.18,1.28E+03,0,0,0
509,0.188,0.168,0.17,1.48E+03,0,0,0
573,0.168,0.148,0.15,1.72E+03,0,0,0
637,0.15,0.132,0.134,1.99E+03,0,0,0
701,0.136,0.118,0.119,2.30E+03,0,0,0
765,0.124,0.107,0.108,2.67E+03,0,0,0
829,0.113,0.0969,0.0969,3.09E+03,0,0,0
893,0.105,0.0869,0.0886,3.58E+03,0,0,0
957,0.0971,0.0787,0.0812,4.15E+03,0,0.343,0
1.02E+03,0.0911,0.0723,0.075,4.80E+03,0,1.13,0.2
1.15E+03,0.0804,0.0601,0.0643,5.56E+03,0,2.15,1.12
1.28E+03,0.0706,0.0505,0.0542,6.44E+03,0,0,0
1.40E+03,0.0634,0.0448,0.0462,7.46E+03,0,0,0
1.53E+03,0.0564,0.041,0.0405,8.63E+03,0,0,0
1.66E+03,0.051,0.038,0.035,,,,
1.79E+03,0.0465,0.0335,0.0303,,,,
1.92E+03,0.0424,0.0303,0.0272,,,,
2.04E+03,0.0392,0.0271,0.0256,,,,
2.30E+03,0.0313,0.0223,0.0232,,,,
2.56E+03,0.0302,0.0178,0.0197,,,,
2.81E+03,0.0291,0.0149,0.0186,,,,
3.07E+03,0.0284,0.0132,0.0166,,,,
3.32E+03,0.028,0.0121,0.0167,,,,
3.58E+03,0.026,0.0109,0.0178,,,,
3.84E+03,0.0234,0.0121,0.0193,,,,
