X Lag Time,Record 1: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 1,Record 2: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 2,Record 3: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 3,X Intensity,Record 1: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 1,Record 2: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 2,Record 3: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 3
0.5,0.778,0.779,0.763,0.4,0,0,0
1,0.767,0.759,0.75,0.463,0,0,0
1.5,0.746,0.739,0.735,0.536,0,0,0
2,0.734,0.727,0.721,0.621,0,0,0
2.5,0.723,0.71,0.703,0.719,0,0,0
3,0.71,0.701,0.693,0.833,0,0,0
3.5,0.698,0.685,0.68,0.965,0,0,0
4,0.686,0.674,0.665,1.12,0,0,0
4.5,0.677,0.664,0.655,1.29,0,0,0
5.5,0.657,0.641,0.635,1.5,0,0,0
6.5,0.638,0.62,0.617,1.74,0,0,0
7.5,0.623,0.601,0.598,2.01,0,0,0
8.5,0.604,0.585,0.582,2.33,0,0,0
9.5,0.589,0.567,0.564,2.7,0,0,0
10.5,0.575,0.551,0.55,3.12,0,0,0
11.5,0.562,0.536,0.538,3.62,0,0,0
12.5,0.55,0.523,0.523,4.19,0,0,0
14.5,0.523,0.497,0.496,4.85,0,0,0
16.5,0.498,0.473,0.473,5.61,0,0,0
18.5,0.478,0.449,0.448,6.5,0,0,0
20.5,0.459,0.427,0.428,7.53,1.22,0.596,0.88
22.5,0.439,0.409,0.411,8.72,4.09,3.6,3.54
24.5,0.421,0.389,0.393,10.1,7.54,7.87,7.13
26.5,0.405,0.371,0.377,11.7,10.2,11.4,10.2
28.5,0.391,0.357,0.361,13.5,11,12.6,11.5
32.5,0.364,0.327,0.334,15.7,9.67,11.2,10.6
36.5,0.339,0.301,0.31,18.2,6.88,7.74,7.8
40.5,0.319,0.281,0.288,21,3.64,3.83,4.31
44.5,0.301,0.262,0.27,24.4,1.11,1,1.4
48.5,0.284,0.245,0.252,28.2,0,0,0
52.5,0.271,0.231,0.238,32.7,0,0,0
56.5,0.258,0.22,0.226,37.8,0,0,0
60.5,0.247,0.207,0.215,43.8,0,0,0
68.5,0.227,0.187,0.195,50.7,0,0,0
76.5,0.211,0.171,0.18,58.8,0,0,0
84.5,0.199,0.16,0.167,68.1,0,0,0
92.5,0.188,0.149,0.157,78.8,0,0,0
101,0.18,0.141,0.149,91.3,0,0,0
109,0.172,0.134,0.142,106,0,0,0
117,0.167,0.128,0.135,122,0,0,0
125,0.161,0.124,0.13,142,0,0.362,0
141,0.153,0.115,0.122,164,0.271,1.27,0.104
157,0.146,0.107,0.115,190,1.03,2.56,0.771
173,0.14,0.102,0.11,220,2.21,3.9,1.98
189,0.135,0.0979,0.107,255,3.56,4.98,3.45
205,0.131,0.0933,0.102,295,4.81,5.57,4.84
221,0.126,0.0896,0.0988,342,5.69,5.57,5.84
237,0.123,0.0868,0.0963,396,6.04,5,6.24
253,0.119,0.0843,0.0932,459,5.8,4.01,5.98
285,0.113,0.079,0.0864,531,5.03,2.82,5.14
317,0.108,0.0739,0.0809,615,3.9,1.66,3.92
349,0.104,0.0687,0.0762,712,2.62,0.737,2.56
381,0.0987,0.065,0.0744,825,1.44,0.187,1.34
