X Lag Time,Record 1: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No3 1,Record 2: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No3 2,Record 3: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No3 3,X Intensity,Record 1: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No3 1,Record 2: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No3 2,Record 3: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No3 3
0.5,0.753,0.861,0.818,0.4,0,0,0
1,0.741,0.845,0.808,0.463,0,0,0
1.5,0.73,0.83,0.792,0.536,0,0,0
2,0.716,0.815,0.78,0.621,0,0,0
2.5,0.706,0.807,0.768,0.719,0,0,0
3,0.696,0.791,0.755,0.833,0,0,0
3.5,0.681,0.779,0.744,0.965,0,0,0
4,0.677,0.767,0.734,1.12,0,0,0
4.5,0.667,0.759,0.725,1.29,0,0,0
5.5,0.65,0.738,0.706,1.5,0,0,0
6.5,0.635,0.72,0.69,1.74,0,0,0
7.5,0.618,0.703,0.675,2.01,0,0,0
8.5,0.606,0.687,0.658,2.33,0,0,0
9.5,0.593,0.671,0.644,2.7,0,0,0
10.5,0.581,0.657,0.629,3.12,0,0,0
11.5,0.566,0.644,0.617,3.62,0,0,0
12.5,0.555,0.628,0.604,4.19,0,0,0
14.5,0.535,0.605,0.58,4.85,0,0,0
16.5,0.513,0.578,0.558,5.61,0,0,0
18.5,0.495,0.557,0.537,6.5,0,0,0
20.5,0.478,0.538,0.516,7.53,0.547,0.909,0.249
22.5,0.461,0.519,0.498,8.72,2.85,3.82,3.05
24.5,0.446,0.499,0.481,10.1,6.42,7.52,7.28
26.5,0.432,0.484,0.466,11.7,9.87,10.3,10.8
28.5,0.418,0.468,0.451,13.5,11.8,11.1,12.1
32.5,0.394,0.44,0.424,15.7,11.3,9.71,10.7
36.5,0.372,0.415,0.399,18.2,8.67,6.87,7.41
40.5,0.353,0.392,0.377,21,4.9,3.71,3.74
44.5,0.336,0.373,0.359,24.4,1.59,1.26,1.06
48.5,0.321,0.356,0.343,28.2,0,0.0951,0
52.5,0.308,0.34,0.328,32.7,0,0,0
56.5,0.297,0.328,0.314,37.8,0,0,0
60.5,0.286,0.316,0.302,43.8,0,0.21,0
68.5,0.267,0.295,0.281,50.7,0,0.555,0.00606
76.5,0.251,0.277,0.264,58.8,0,0.813,0.207
84.5,0.239,0.263,0.25,68.1,0,0.821,0.458
92.5,0.228,0.252,0.238,78.8,0,0.579,0.573
101,0.219,0.242,0.228,91.3,0,0.244,0.493
109,0.212,0.233,0.22,106,0,0.0191,0.327
117,0.206,0.227,0.213,122,0,0,0.294
125,0.201,0.22,0.207,142,0,0,0.625
141,0.191,0.209,0.197,164,0,0,1.45
157,0.183,0.201,0.188,190,0.718,0.596,2.72
173,0.178,0.193,0.181,220,2.63,1.91,4.22
189,0.174,0.189,0.175,255,5.16,3.7,5.6
205,0.169,0.183,0.169,295,7.33,5.46,6.48
221,0.166,0.178,0.164,342,8.31,6.66,6.58
237,0.162,0.174,0.159,396,7.73,6.93,5.8
253,0.159,0.17,0.155,459,5.81,6.14,4.31
285,0.153,0.161,0.147,531,3.27,4.5,2.51
317,0.148,0.154,0.14,615,1.08,2.52,0.949
349,0.143,0.148,0.133,712,0,0.852,0.0838
381,0.137,0.144,0.128,825,0,0,0
413,0.131,0.14,0.122,955,0,0,0
445,0.127,0.135,0.118,1.11E+03,0,0,0
477,0.124,0.13,0.114,1.28E+03,0,0,0
509,0.12,0.126,0.109,1.48E+03,0,0,0
573,0.113,0.118,0.102,1.72E+03,0,0,0
637,0.109,0.111,0.0958,1.99E+03,0,0,0
701,0.104,0.105,0.0893,2.30E+03,0,0,0
