X Lag Time,Record 1: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No2_230620 1,Record 2: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No2_230620 2,Record 3: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No2_230620 3,X Intensity,Record 1: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No2_230620 1,Record 2: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No2_230620 2,Record 3: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No2_230620 3
0.5,0.866,0.85,0.852,0.4,0,0,0
1,0.846,0.832,0.832,0.463,0,0,0
1.5,0.838,0.823,0.821,0.536,0,0,0
2,0.817,0.809,0.802,0.621,0,0,0
2.5,0.811,0.797,0.794,0.719,0,0,0
3,0.8,0.792,0.789,0.833,0,0,0
3.5,0.795,0.782,0.782,0.965,0,0,0
4,0.778,0.768,0.77,1.12,0,0,0
4.5,0.769,0.757,0.757,1.29,0,0,0
5.5,0.753,0.74,0.746,1.5,0,0,0
6.5,0.745,0.731,0.728,1.74,0,0,0
7.5,0.724,0.714,0.717,2.01,0,0,0
8.5,0.713,0.698,0.701,2.33,0,0,0
9.5,0.703,0.69,0.69,2.7,0,0,0
10.5,0.685,0.672,0.678,3.12,0,0,0
11.5,0.682,0.662,0.659,3.62,0,0,0
12.5,0.668,0.653,0.65,4.19,0,0,0
14.5,0.649,0.632,0.63,4.85,0,0,0
16.5,0.626,0.61,0.609,5.61,0,0,0
18.5,0.61,0.591,0.591,6.5,0,0,0
20.5,0.591,0.579,0.578,7.53,0,0.963,0.46
22.5,0.576,0.561,0.559,8.72,1.43,3.19,2.24
24.5,0.566,0.546,0.542,10.1,5.12,5.82,4.87
26.5,0.551,0.535,0.526,11.7,8.9,7.69,7.25
28.5,0.537,0.519,0.515,13.5,10.3,7.94,8.29
32.5,0.512,0.495,0.491,15.7,8.34,6.43,7.48
36.5,0.491,0.471,0.47,18.2,4.29,3.83,5.15
40.5,0.472,0.455,0.451,21,0.816,1.32,2.35
44.5,0.456,0.436,0.432,24.4,0,0,0.413
48.5,0.439,0.421,0.416,28.2,0,0,0
52.5,0.425,0.41,0.404,32.7,0,0,0
56.5,0.412,0.396,0.39,37.8,0,0,0
60.5,0.402,0.385,0.38,43.8,0,0,0
68.5,0.384,0.365,0.36,50.7,0,0,0
76.5,0.369,0.35,0.343,58.8,0,0,0
84.5,0.353,0.335,0.33,68.1,0,0,0
92.5,0.342,0.324,0.318,78.8,0,0,0
101,0.33,0.313,0.308,91.3,0,0,0
109,0.321,0.306,0.3,106,0,0,0
117,0.314,0.297,0.29,122,0,0,0
125,0.308,0.29,0.284,142,0,0,0
141,0.297,0.278,0.272,164,0,0,0
157,0.288,0.268,0.262,190,0,0.689,0.666
173,0.278,0.26,0.254,220,0.242,2.45,2.26
189,0.271,0.251,0.247,255,2.35,4.88,4.4
205,0.265,0.244,0.239,295,5.75,7.28,6.49
221,0.259,0.238,0.233,342,9.08,9.01,8
237,0.254,0.23,0.228,396,11.1,9.68,8.62
253,0.247,0.224,0.222,459,11.2,9.22,8.27
285,0.237,0.212,0.211,531,9.36,7.79,7.12
317,0.229,0.202,0.201,615,6.39,5.78,5.45
349,0.221,0.193,0.193,712,3.28,3.64,3.63
381,0.21,0.184,0.183,825,0.976,1.8,2
413,0.201,0.177,0.175,955,0,0.568,0.816
445,0.193,0.167,0.167,1.11E+03,0,0.0268,0.176
477,0.186,0.156,0.16,1.28E+03,0,0,0
509,0.179,0.149,0.154,1.48E+03,0,0,0
