X Lag Time,Record 1: JJ1_01mg_PS2_500ug_200rpm_10-00min_ST_No4 1,Record 2: JJ1_01mg_PS2_500ug_200rpm_10-00min_ST_No4 2,Record 3: JJ1_01mg_PS2_500ug_200rpm_10-00min_ST_No4 3,X Intensity,Record 1: JJ1_01mg_PS2_500ug_200rpm_10-00min_ST_No4 1,Record 2: JJ1_01mg_PS2_500ug_200rpm_10-00min_ST_No4 2,Record 3: JJ1_01mg_PS2_500ug_200rpm_10-00min_ST_No4 3
0.5,0.818,0.218,0.664,0.4,0,0,0
1,0.807,0.219,0.659,0.463,0,0,0
1.5,0.788,0.216,0.653,0.536,0,0,0
2,0.776,0.213,0.646,0.621,0,0,0
2.5,0.766,0.212,0.638,0.719,0,0,0
3,0.749,0.208,0.634,0.833,0,0,0
3.5,0.74,0.207,0.628,0.965,0,0,0
4,0.727,0.204,0.624,1.12,0,0,0
4.5,0.717,0.202,0.617,1.29,0,0,0
5.5,0.698,0.199,0.608,1.5,0,0,0
6.5,0.677,0.196,0.599,1.74,0,0,0
7.5,0.662,0.193,0.591,2.01,0,0,0
8.5,0.641,0.189,0.582,2.33,0,0,0
9.5,0.629,0.187,0.575,2.7,0,0,0
10.5,0.613,0.185,0.568,3.12,0,0,0
11.5,0.599,0.182,0.559,3.62,0,0,0
12.5,0.585,0.18,0.553,4.19,0,0,0
14.5,0.56,0.175,0.54,4.85,0,0,0
16.5,0.536,0.171,0.528,5.61,0,0,0
18.5,0.514,0.167,0.517,6.5,0,0.376,0
20.5,0.493,0.164,0.506,7.53,0.172,1.51,0
22.5,0.474,0.16,0.496,8.72,2.75,3.16,1.88
24.5,0.456,0.158,0.486,10.1,6.89,4.82,5.3
26.5,0.439,0.155,0.477,11.7,10.6,5.96,8.27
28.5,0.424,0.151,0.469,13.5,12.2,6.28,9.1
32.5,0.396,0.146,0.452,15.7,11.1,5.71,7.43
36.5,0.369,0.142,0.438,18.2,7.9,4.47,4.26
40.5,0.347,0.138,0.425,21,4,2.92,1.34
44.5,0.328,0.134,0.414,24.4,1.08,1.48,0
48.5,0.309,0.13,0.404,28.2,0,0.459,0
52.5,0.294,0.127,0.394,32.7,0,0,0
56.5,0.279,0.125,0.386,37.8,0,0,0
60.5,0.267,0.122,0.379,43.8,0,0.374,0
68.5,0.246,0.118,0.365,50.7,0,0.982,0.167
76.5,0.228,0.115,0.354,58.8,0,1.6,1.09
84.5,0.213,0.112,0.345,68.1,0,1.99,2.21
92.5,0.2,0.109,0.336,78.8,0,2.04,2.76
101,0.189,0.107,0.329,91.3,0.741,1.72,2.35
109,0.18,0.105,0.323,106,2.35,1.16,1.28
