X Lag Time,Record 1: JJ1_01mg_PS8_250ug_200rpm_10-00min_ST_No2_230608 1,Record 2: JJ1_01mg_PS8_250ug_200rpm_10-00min_ST_No2_230608 2,Record 3: JJ1_01mg_PS8_250ug_200rpm_10-00min_ST_No2_230608 3,X Intensity,Record 1: JJ1_01mg_PS8_250ug_200rpm_10-00min_ST_No2_230608 1,Record 2: JJ1_01mg_PS8_250ug_200rpm_10-00min_ST_No2_230608 2,Record 3: JJ1_01mg_PS8_250ug_200rpm_10-00min_ST_No2_230608 3
0.5,0.819,0.718,0.796,0.4,0,0,0
1,0.802,0.71,0.784,0.463,0,0,0
1.5,0.787,0.696,0.77,0.536,0,0,0
2,0.771,0.685,0.754,0.621,0,0,0
2.5,0.761,0.677,0.745,0.719,0,0,0
3,0.748,0.666,0.735,0.833,0,0,0
3.5,0.733,0.656,0.723,0.965,0,0,0
4,0.724,0.65,0.714,1.12,0,0,0
4.5,0.713,0.641,0.704,1.29,0,0,0
5.5,0.69,0.625,0.688,1.5,0,0,0
6.5,0.672,0.61,0.671,1.74,0,0,0
7.5,0.654,0.596,0.654,2.01,0,0,0
8.5,0.637,0.585,0.64,2.33,0,0,0
9.5,0.623,0.573,0.627,2.7,0,0,0
10.5,0.605,0.561,0.612,3.12,0,0,0
11.5,0.592,0.551,0.601,3.62,0,0,0
12.5,0.579,0.54,0.588,4.19,0,0,0
14.5,0.551,0.521,0.563,4.85,0,0,0
16.5,0.528,0.502,0.542,5.61,0,0,0
18.5,0.504,0.485,0.524,6.5,0,0,0
20.5,0.484,0.471,0.505,7.53,0,0,0
22.5,0.466,0.455,0.486,8.72,2.71,1.64,2
24.5,0.447,0.442,0.472,10.1,8.24,5.6,6.2
26.5,0.432,0.428,0.456,11.7,13.7,9.86,10.7
28.5,0.415,0.415,0.442,13.5,16.1,12.2,13.2
32.5,0.387,0.392,0.416,15.7,14.1,11.4,12.6
36.5,0.362,0.372,0.394,18.2,8.82,7.99,9.04
40.5,0.339,0.355,0.373,21,3.14,3.77,4.38
44.5,0.32,0.339,0.354,24.4,0,0.772,0.924
48.5,0.302,0.324,0.338,28.2,0,0,0
52.5,0.288,0.313,0.324,32.7,0,0,0
56.5,0.273,0.302,0.311,37.8,0,0,0
60.5,0.262,0.292,0.301,43.8,0,0,0
68.5,0.242,0.274,0.281,50.7,0,0,0
