X Lag Time,Record 4: K1 1,Record 5: K1 2,Record 6: K1 3
0.5,0.902,0.873,0.907
1,0.899,0.874,0.9
1.5,0.895,0.87,0.896
2,0.894,0.866,0.894
2.5,0.889,0.864,0.894
3,0.889,0.863,0.892
3.5,0.892,0.86,0.889
4,0.89,0.862,0.889
4.5,0.887,0.861,0.889
5.5,0.886,0.86,0.885
6.5,0.884,0.858,0.884
7.5,0.881,0.857,0.879
8.5,0.88,0.855,0.879
9.5,0.878,0.853,0.88
10.5,0.876,0.851,0.877
11.5,0.876,0.85,0.876
12.5,0.873,0.847,0.875
14.5,0.873,0.847,0.873
16.5,0.871,0.845,0.87
18.5,0.868,0.845,0.869
20.5,0.866,0.842,0.866
22.5,0.866,0.841,0.865
24.5,0.864,0.84,0.864
26.5,0.863,0.838,0.862
28.5,0.861,0.836,0.861
32.5,0.86,0.834,0.858
36.5,0.857,0.831,0.854
40.5,0.854,0.829,0.853
44.5,0.852,0.827,0.85
48.5,0.85,0.825,0.847
52.5,0.848,0.823,0.847
56.5,0.846,0.821,0.844
60.5,0.844,0.819,0.842
68.5,0.841,0.815,0.837
76.5,0.836,0.812,0.834
84.5,0.833,0.808,0.83
92.5,0.83,0.805,0.827
101,0.826,0.801,0.823
109,0.823,0.799,0.821
117,0.82,0.795,0.818
125,0.817,0.793,0.814
141,0.811,0.787,0.807
157,0.806,0.781,0.801
173,0.8,0.776,0.796
189,0.795,0.77,0.789
205,0.789,0.764,0.784
221,0.783,0.76,0.778
237,0.778,0.755,0.773
253,0.773,0.749,0.767
285,0.763,0.739,0.756
317,0.752,0.729,0.746
349,0.743,0.719,0.735
381,0.733,0.71,0.724
413,0.724,0.7,0.715
445,0.714,0.691,0.705
477,0.705,0.681,0.695
509,0.696,0.672,0.685
573,0.678,0.654,0.667
637,0.661,0.637,0.649
701,0.644,0.62,0.631
765,0.628,0.604,0.614
829,0.613,0.588,0.598
893,0.597,0.573,0.582
957,0.582,0.558,0.567
1.02E+03,0.568,0.543,0.552
1.15E+03,0.541,0.515,0.523
1.28E+03,0.515,0.488,0.495
1.40E+03,0.489,0.463,0.469
1.53E+03,0.466,0.439,0.445
1.66E+03,0.443,0.416,0.421
1.79E+03,0.421,0.395,0.399
1.92E+03,0.401,0.375,0.377
2.04E+03,0.383,0.356,0.358
2.30E+03,0.347,0.322,0.321
2.56E+03,0.315,0.292,0.288
2.81E+03,0.286,0.265,0.259
3.07E+03,0.261,0.241,0.234
3.32E+03,0.239,0.22,0.213
3.58E+03,0.219,0.202,0.194
3.84E+03,0.201,0.186,0.178
4.09E+03,0.187,0.173,0.164
4.60E+03,0.161,0.148,0.142
5.12E+03,0.14,0.128,0.125
5.63E+03,0.124,0.111,0.113
6.14E+03,0.111,0.0969,0.103
6.65E+03,0.102,0.0871,0.0936
7.16E+03,0.0937,0.0793,0.0852
7.68E+03,0.0874,0.0737,0.0775
8.19E+03,0.0814,0.0691,0.0716
9.21E+03,0.0709,0.0617,0.0628
1.02E+04,0.0621,0.056,0.0589
1.13E+04,0.0535,0.0512,0.0579
1.23E+04,0.0476,0.0458,0.0546
1.33E+04,0.0451,0.0414,0.051
1.43E+04,0.0434,0.037,0.0467
1.54E+04,0.0411,0.032,0.0433
1.64E+04,0.0386,0.0276,0.0384
1.84E+04,0.0326,0.0229,0.0335
2.05E+04,0.0293,0.0241,0.0308
2.25E+04,0.0272,0.0217,0.0269
2.46E+04,0.0272,0.0188,0.0206
2.66E+04,0.0264,0.0144,0.0167
2.87E+04,0.023,0.0141,0.0188
3.07E+04,0.0203,0.015,0.0188
3.28E+04,0.0205,0.0165,0.017
3.69E+04,0.0174,0.0202,0.0203
4.10E+04,0.0229,0.0196,0.0173
4.51E+04,0.0198,0.0128,0.0239
4.91E+04,0.0134,0.0166,0.0197
5.32E+04,0.0143,0.0173,0.0185
5.73E+04,0.0204,0.019,0.0161
6.14E+04,0.0239,0.0191,0.0184
6.55E+04,0.0225,0.0172,0.0154
7.37E+04,0.0156,0.0151,0.00821
8.19E+04,0.016,0.00752,0.00515
9.01E+04,0.0138,0.00976,0.00984
9.83E+04,0.00795,0.0156,0.0132
1.06E+05,0.00425,0.0145,0.0119
1.15E+05,0.0114,0.0117,0.0103
1.23E+05,0.00726,0.00579,0.00555
1.31E+05,0.00527,0.0038,0.00601
1.47E+05,0.00857,0.00892,0.00688
1.64E+05,0.00705,0.00845,0.00941
1.80E+05,0.00726,0.00802,0.0119
1.97E+05,0.00741,0.00405,0.00964
2.13E+05,0.00947,0.00312,0.0055
2.29E+05,0.00765,0.00335,0.00941
2.46E+05,0.00571,0.00188,0.0082
2.62E+05,0.00376,0.00155,0.00606
2.95E+05,0.00361,0.00137,0.00682
3.28E+05,0.0109,0.00257,0.00784
