X Lag Time,Record 52: K15 1,Record 53: K15 2,Record 54: K15 3
0.5,0.896,0.89,0.878
1,0.897,0.889,0.873
1.5,0.893,0.884,0.873
2,0.888,0.881,0.867
2.5,0.885,0.877,0.865
3,0.886,0.875,0.863
3.5,0.881,0.871,0.863
4,0.879,0.869,0.859
4.5,0.876,0.869,0.855
5.5,0.873,0.865,0.853
6.5,0.87,0.858,0.849
7.5,0.868,0.857,0.845
8.5,0.864,0.855,0.842
9.5,0.861,0.851,0.84
10.5,0.857,0.848,0.835
11.5,0.856,0.845,0.833
12.5,0.853,0.843,0.83
14.5,0.848,0.837,0.825
16.5,0.843,0.833,0.821
18.5,0.839,0.829,0.817
20.5,0.836,0.824,0.812
22.5,0.831,0.821,0.808
24.5,0.827,0.816,0.803
26.5,0.824,0.812,0.799
28.5,0.82,0.809,0.795
32.5,0.813,0.801,0.788
36.5,0.806,0.795,0.781
40.5,0.8,0.788,0.774
44.5,0.795,0.783,0.768
48.5,0.789,0.777,0.762
52.5,0.783,0.771,0.756
56.5,0.779,0.765,0.751
60.5,0.774,0.76,0.745
68.5,0.764,0.751,0.736
76.5,0.755,0.742,0.727
84.5,0.747,0.734,0.718
92.5,0.739,0.726,0.71
101,0.732,0.718,0.702
109,0.726,0.712,0.695
117,0.719,0.705,0.686
125,0.713,0.698,0.68
141,0.701,0.685,0.668
157,0.689,0.672,0.655
173,0.678,0.661,0.643
189,0.667,0.65,0.632
205,0.656,0.639,0.621
221,0.647,0.629,0.611
237,0.637,0.618,0.6
253,0.627,0.608,0.59
285,0.609,0.589,0.571
317,0.592,0.571,0.553
349,0.575,0.554,0.535
381,0.56,0.537,0.519
413,0.544,0.521,0.503
445,0.53,0.505,0.488
477,0.516,0.49,0.474
509,0.503,0.477,0.46
573,0.478,0.45,0.434
637,0.455,0.426,0.41
701,0.432,0.403,0.388
765,0.412,0.382,0.366
829,0.393,0.363,0.347
893,0.375,0.344,0.329
957,0.358,0.328,0.312
1.02E+03,0.342,0.312,0.297
1.15E+03,0.313,0.283,0.269
1.28E+03,0.287,0.258,0.244
1.40E+03,0.264,0.235,0.222
1.53E+03,0.244,0.215,0.202
1.66E+03,0.225,0.196,0.185
1.79E+03,0.209,0.18,0.17
1.92E+03,0.194,0.166,0.156
2.04E+03,0.181,0.153,0.144
2.30E+03,0.157,0.132,0.124
2.56E+03,0.137,0.114,0.107
2.81E+03,0.12,0.0985,0.0937
3.07E+03,0.105,0.0855,0.0837
3.32E+03,0.0931,0.0747,0.0746
3.58E+03,0.0822,0.0659,0.0661
3.84E+03,0.0716,0.059,0.0588
4.09E+03,0.0633,0.0536,0.0526
4.60E+03,0.0514,0.0451,0.041
5.12E+03,0.0426,0.0387,0.0309
5.63E+03,0.0353,0.0328,0.024
6.14E+03,0.0302,0.0268,0.0197
6.65E+03,0.0251,0.0233,0.0165
7.16E+03,0.0226,0.0214,0.0141
7.68E+03,0.0203,0.018,0.0123
8.19E+03,0.0185,0.0144,0.0124
9.21E+03,0.0166,0.0106,0.014
1.02E+04,0.0153,0.00879,0.0124
1.13E+04,0.0145,0.00469,0.00987
1.23E+04,0.0147,0.00466,0.00972
1.33E+04,0.0128,0.00377,0.0113
1.43E+04,0.0131,0.00157,0.00889
1.54E+04,0.0107,0.000542,0.00528
1.64E+04,0.00773,0.00162,0.00334
1.84E+04,0.00839,0.00336,0.00238
2.05E+04,0.0125,0.00575,0.000833
2.25E+04,0.0114,0.00475,0.0011
2.46E+04,0.0105,0.00295,0.0032
2.66E+04,0.0131,0.00288,0.00427
2.87E+04,0.0128,0.00544,0.00247
3.07E+04,0.0148,0.0045,0.000882
3.28E+04,0.0153,0.0055,0.0016
3.69E+04,0.0117,0.00294,0.00452
4.10E+04,0.00975,0.00254,0.00477
4.51E+04,0.00864,0.00266,0.0029
4.91E+04,0.0119,0.000892,0.00594
5.32E+04,0.0112,0.003,0.00392
5.73E+04,0.0145,0.00476,0.00532
6.14E+04,0.0119,0.00845,0.00635
6.55E+04,0.00982,0.00827,0.00332
7.37E+04,0.0136,0.00506,0.00215
8.19E+04,0.0102,0.00412,0.00326
9.01E+04,0.0125,0.00178,0.00437
9.83E+04,0.00666,0.00387,0.00354
1.06E+05,0.00973,0.00443,0.00495
1.15E+05,0.0112,0.00301,0.0037
