X Lag Time,Record 70: L30 1,Record 71: L30 2,Record 72: L30 3
0.5,0.862,0.873,0.831
1,0.86,0.872,0.826
1.5,0.852,0.867,0.821
2,0.848,0.862,0.817
2.5,0.846,0.86,0.809
3,0.841,0.855,0.808
3.5,0.836,0.853,0.804
4,0.833,0.847,0.802
4.5,0.831,0.846,0.797
5.5,0.824,0.839,0.79
6.5,0.817,0.835,0.785
7.5,0.814,0.831,0.78
8.5,0.809,0.826,0.775
9.5,0.804,0.822,0.77
10.5,0.8,0.819,0.767
11.5,0.797,0.816,0.762
12.5,0.792,0.813,0.759
14.5,0.785,0.806,0.751
16.5,0.778,0.8,0.744
18.5,0.773,0.795,0.737
20.5,0.767,0.789,0.73
22.5,0.76,0.784,0.725
24.5,0.755,0.778,0.718
26.5,0.749,0.774,0.713
28.5,0.744,0.77,0.708
32.5,0.735,0.761,0.699
36.5,0.726,0.754,0.689
40.5,0.718,0.747,0.681
44.5,0.711,0.74,0.673
48.5,0.703,0.734,0.666
52.5,0.698,0.729,0.66
56.5,0.692,0.723,0.654
60.5,0.686,0.719,0.648
68.5,0.676,0.71,0.638
76.5,0.667,0.702,0.629
84.5,0.659,0.695,0.621
92.5,0.651,0.689,0.614
101,0.645,0.683,0.607
109,0.639,0.678,0.602
117,0.634,0.673,0.596
125,0.628,0.668,0.591
141,0.619,0.66,0.582
157,0.61,0.653,0.574
173,0.602,0.646,0.566
189,0.594,0.639,0.559
205,0.587,0.633,0.552
221,0.58,0.627,0.545
237,0.573,0.621,0.539
253,0.567,0.615,0.533
285,0.555,0.604,0.521
317,0.543,0.594,0.509
349,0.532,0.583,0.498
381,0.522,0.573,0.486
413,0.511,0.563,0.476
445,0.5,0.554,0.466
477,0.49,0.545,0.457
509,0.48,0.536,0.447
573,0.461,0.518,0.429
637,0.443,0.502,0.412
701,0.426,0.487,0.397
765,0.411,0.472,0.382
829,0.395,0.457,0.368
893,0.381,0.444,0.355
957,0.367,0.431,0.341
1.02E+03,0.354,0.419,0.329
1.15E+03,0.329,0.395,0.306
1.28E+03,0.308,0.374,0.285
1.40E+03,0.287,0.354,0.266
1.53E+03,0.269,0.335,0.249
1.66E+03,0.252,0.317,0.233
1.79E+03,0.237,0.301,0.218
1.92E+03,0.223,0.287,0.205
2.04E+03,0.21,0.274,0.192
2.30E+03,0.189,0.251,0.171
2.56E+03,0.171,0.232,0.154
2.81E+03,0.157,0.217,0.139
3.07E+03,0.147,0.205,0.128
3.32E+03,0.139,0.196,0.12
3.58E+03,0.131,0.188,0.113
3.84E+03,0.125,0.182,0.108
4.09E+03,0.121,0.178,0.104
4.60E+03,0.115,0.171,0.0992
5.12E+03,0.111,0.168,0.0965
5.63E+03,0.108,0.164,0.0948
6.14E+03,0.105,0.162,0.0956
6.65E+03,0.102,0.159,0.0957
7.16E+03,0.0997,0.157,0.0945
7.68E+03,0.098,0.154,0.0918
8.19E+03,0.0967,0.151,0.0891
9.21E+03,0.0936,0.144,0.0866
1.02E+04,0.0882,0.141,0.0825
1.13E+04,0.0874,0.137,0.0806
1.23E+04,0.0891,0.135,0.0794
1.33E+04,0.088,0.132,0.0789
1.43E+04,0.0855,0.13,0.0755
1.54E+04,0.0839,0.126,0.0724
1.64E+04,0.0868,0.122,0.0723
1.84E+04,0.087,0.117,0.0712
2.05E+04,0.083,0.114,0.0668
2.25E+04,0.0767,0.116,0.0667
2.46E+04,0.0772,0.112,0.0659
2.66E+04,0.0789,0.11,0.0642
2.87E+04,0.0791,0.112,0.0626
3.07E+04,0.0758,0.107,0.0625
3.28E+04,0.069,0.107,0.0599
3.69E+04,0.067,0.104,0.0537
4.10E+04,0.0641,0.102,0.0496
4.51E+04,0.0619,0.099,0.0499
4.91E+04,0.0552,0.0942,0.0415
5.32E+04,0.0535,0.0882,0.04
5.73E+04,0.053,0.0794,0.038
6.14E+04,0.0505,0.0752,0.0364
6.55E+04,0.0473,0.0746,0.0307
7.37E+04,0.0412,0.073,0.0278
8.19E+04,0.0355,0.0677,0.027
9.01E+04,0.0369,0.0672,0.0306
9.83E+04,0.0335,0.0634,0.0211
1.06E+05,0.0254,0.0603,0.0205
1.15E+05,0.0279,0.0575,0.0191
1.23E+05,0.0209,0.0515,0.0166
1.31E+05,0.0166,0.0458,0.0164
1.47E+05,0.0157,0.0424,0.0168
1.64E+05,0.0138,0.0393,0.0138
1.80E+05,0.0106,0.0383,0.0143
1.97E+05,0.0097,0.0407,0.0105
2.13E+05,0.00934,0.0418,0.0145
2.29E+05,0.00814,0.0417,0.014
2.46E+05,0.0108,0.0376,0.0134
2.62E+05,0.0117,0.0372,0.0121
2.95E+05,0.013,0.0354,0.0142
3.28E+05,0.0137,0.0335,0.02
3.60E+05,0.0122,0.0266,0.019
3.93E+05,0.00954,0.022,0.0169
4.26E+05,0.0101,0.0223,0.0116
4.59E+05,0.0111,0.0203,0.00839
4.92E+05,0.00714,0.0202,0.00908
5.24E+05,0.00612,0.016,0.0129
5.90E+05,0.00599,0.0124,0.0121
6.55E+05,0.00942,0.01,0.0118
7.21E+05,0.00923,0.00632,0.0092
7.86E+05,0.00875,0.00558,0.0056
8.52E+05,0.00553,0.00391,0.00489
9.18E+05,0.0065,0.00168,0.00573
9.83E+05,0.00504,0,0.00886
1.05E+06,0.00518,0.00247,0.00933
1.18E+06,0.0095,0.00312,0.0135
1.31E+06,0.00803,0.000451,0.00703
1.44E+06,0.00821,0.00105,0.00371
1.57E+06,0.00992,0.00152,0.0086
1.70E+06,0.00833,0,0.00983
1.84E+06,0.011,0,0.00532
1.97E+06,0.0143,0.00412,0.00624
2.10E+06,0.0112,0.00838,0.0108
2.36E+06,0.00794,0.00785,0.0125
2.62E+06,0.00839,0.00214,0.00624
2.88E+06,0.00788,0.00621,0.00837
3.15E+06,0.00514,0.00346,0.0105
3.41E+06,0.00398,0.00176,0.00753
3.67E+06,0.00389,0.00284,0.0101
3.93E+06,0.00278,0.00893,0.00541
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
