X Lag Time,Record 43: L7 1,Record 44: L7 2,Record 45: L7 3
0.5,0.897,0.867,0.87
1,0.889,0.85,0.852
1.5,0.883,0.848,0.849
2,0.879,0.844,0.849
2.5,0.875,0.839,0.846
3,0.88,0.838,0.839
3.5,0.872,0.835,0.838
4,0.871,0.835,0.835
4.5,0.867,0.829,0.832
5.5,0.865,0.821,0.827
6.5,0.859,0.82,0.822
7.5,0.858,0.819,0.818
8.5,0.854,0.813,0.814
9.5,0.852,0.808,0.812
10.5,0.845,0.806,0.811
11.5,0.844,0.802,0.806
12.5,0.842,0.798,0.8
14.5,0.837,0.796,0.799
16.5,0.83,0.79,0.791
18.5,0.827,0.785,0.786
20.5,0.82,0.78,0.784
22.5,0.816,0.775,0.78
24.5,0.81,0.77,0.772
26.5,0.809,0.763,0.772
28.5,0.803,0.761,0.766
32.5,0.797,0.754,0.759
36.5,0.788,0.749,0.751
40.5,0.782,0.739,0.744
44.5,0.777,0.732,0.737
48.5,0.771,0.727,0.734
52.5,0.765,0.72,0.728
56.5,0.758,0.714,0.721
60.5,0.753,0.709,0.715
68.5,0.744,0.698,0.705
76.5,0.736,0.689,0.695
84.5,0.726,0.68,0.688
92.5,0.718,0.671,0.678
101,0.71,0.663,0.669
109,0.701,0.654,0.662
117,0.694,0.647,0.655
125,0.686,0.638,0.647
141,0.671,0.625,0.633
157,0.658,0.61,0.619
173,0.645,0.597,0.606
189,0.632,0.584,0.593
205,0.62,0.571,0.581
221,0.607,0.559,0.568
237,0.596,0.547,0.556
253,0.584,0.536,0.546
285,0.562,0.514,0.524
317,0.54,0.494,0.503
349,0.521,0.474,0.483
381,0.501,0.455,0.465
413,0.483,0.437,0.447
445,0.466,0.419,0.429
477,0.449,0.403,0.413
509,0.433,0.388,0.398
573,0.404,0.358,0.369
637,0.377,0.333,0.342
701,0.351,0.308,0.318
765,0.328,0.285,0.296
829,0.306,0.265,0.275
893,0.286,0.246,0.257
957,0.268,0.228,0.24
1.02E+03,0.251,0.211,0.224
1.15E+03,0.22,0.183,0.195
1.28E+03,0.194,0.159,0.171
1.40E+03,0.172,0.137,0.151
1.53E+03,0.153,0.119,0.133
1.66E+03,0.136,0.104,0.118
1.79E+03,0.122,0.0916,0.104
1.92E+03,0.109,0.0807,0.0927
2.04E+03,0.0986,0.0715,0.0834
2.30E+03,0.081,0.056,0.0686
2.56E+03,0.068,0.0443,0.0576
2.81E+03,0.058,0.0356,0.0487
3.07E+03,0.051,0.0291,0.0431
3.32E+03,0.0457,0.0241,0.0387
3.58E+03,0.0402,0.0215,0.0354
3.84E+03,0.0356,0.0197,0.0324
4.09E+03,0.0322,0.0185,0.0296
4.60E+03,0.0305,0.017,0.0258
