X Lag Time,Record 1: JJ1_10mg_200rpm_10-00min_No1_230626 1,Record 2: JJ1_10mg_200rpm_10-00min_No1_230626 2,Record 3: JJ1_10mg_200rpm_10-00min_No1_230626 3,X Intensity,Record 1: JJ1_10mg_200rpm_10-00min_No1_230626 1,Record 2: JJ1_10mg_200rpm_10-00min_No1_230626 2,Record 3: JJ1_10mg_200rpm_10-00min_No1_230626 3
0.5,0.851,0.862,0.856,0.4,0,0,0
1,0.849,0.856,0.85,0.463,0,0,0
1.5,0.843,0.849,0.844,0.536,0,0,0
2,0.835,0.84,0.837,0.621,0,0,0
2.5,0.827,0.836,0.832,0.719,0,0,0
3,0.822,0.829,0.826,0.833,0,0,0
3.5,0.816,0.824,0.818,0.965,0,0,0
4,0.812,0.816,0.814,1.12,0,0,0
4.5,0.806,0.812,0.809,1.29,0,0,0
5.5,0.794,0.8,0.796,1.5,0,0,0
6.5,0.783,0.791,0.784,1.74,0,0,0
7.5,0.773,0.779,0.773,2.01,0,0,0
8.5,0.764,0.769,0.763,2.33,0,0,0
9.5,0.755,0.758,0.754,2.7,0,0,0
10.5,0.745,0.748,0.745,3.12,0,0,0
11.5,0.735,0.74,0.735,3.62,0,0,0
12.5,0.728,0.732,0.726,4.19,0,0,0
14.5,0.712,0.715,0.709,4.85,0,0,0
16.5,0.696,0.698,0.693,5.61,0,0,0
18.5,0.682,0.684,0.677,6.5,0,0,0
20.5,0.667,0.67,0.662,7.53,0,0,0
22.5,0.655,0.657,0.649,8.72,0,0,0.578
24.5,0.642,0.642,0.637,10.1,2.33,2.53,3.11
26.5,0.63,0.631,0.624,11.7,6.96,6.73,6.11
28.5,0.619,0.62,0.612,13.5,9.27,8.98,7.58
32.5,0.599,0.599,0.591,15.7,7.01,7.36,6.54
36.5,0.58,0.581,0.573,18.2,2.46,3.21,3.7
40.5,0.564,0.564,0.555,21,0,0,0.95
44.5,0.549,0.548,0.539,24.4,0,0,0
48.5,0.534,0.534,0.525,28.2,0,0,0
52.5,0.522,0.52,0.512,32.7,0,0,0
56.5,0.51,0.509,0.5,37.8,0,0,0
60.5,0.5,0.499,0.49,43.8,0,0,0
68.5,0.482,0.48,0.471,50.7,0,0,0
76.5,0.467,0.464,0.456,58.8,0,0,0
84.5,0.454,0.451,0.443,68.1,0,0,0
92.5,0.442,0.439,0.431,78.8,0,0,0
101,0.434,0.43,0.421,91.3,0,0,0
109,0.425,0.421,0.412,106,0,0,0
117,0.418,0.414,0.404,122,0,0,0
125,0.411,0.408,0.397,142,0,0,0
141,0.399,0.396,0.385,164,0,0,0
157,0.389,0.386,0.375,190,0,0,0
173,0.38,0.377,0.365,220,0,0,0
189,0.372,0.368,0.357,255,0,0,0
205,0.365,0.361,0.349,295,1.53,1.5,1.12
221,0.358,0.354,0.342,342,4.45,4.34,3.54
237,0.35,0.347,0.335,396,7.75,7.6,6.6
253,0.344,0.339,0.328,459,10.3,10.2,9.36
