X Lag Time,Record 1: JJ1_10mg_200rpm_10-00min_PM_No4_230706 1,Record 2: JJ1_10mg_200rpm_10-00min_PM_No4_230706 2,Record 3: JJ1_10mg_200rpm_10-00min_PM_No4_230706 3,X Intensity,Record 1: JJ1_10mg_200rpm_10-00min_PM_No4_230706 1,Record 2: JJ1_10mg_200rpm_10-00min_PM_No4_230706 2,Record 3: JJ1_10mg_200rpm_10-00min_PM_No4_230706 3
0.5,0.797,0.808,0.802,0.4,0,0,0
1,0.791,0.798,0.798,0.463,0,0,0
1.5,0.778,0.789,0.785,0.536,0,0,0
2,0.77,0.781,0.771,0.621,0,0,0
2.5,0.757,0.765,0.762,0.719,0,0,0
3,0.746,0.755,0.75,0.833,0,0,0
3.5,0.733,0.748,0.743,0.965,0,0,0
4,0.726,0.737,0.734,1.12,0,0,0
4.5,0.717,0.728,0.723,1.29,0,0,0
5.5,0.699,0.711,0.706,1.5,0,0,0
6.5,0.68,0.694,0.691,1.74,0,0,0
7.5,0.666,0.675,0.674,2.01,0,0,0
8.5,0.649,0.661,0.658,2.33,0,0,0
9.5,0.635,0.646,0.643,2.7,0,0,0
10.5,0.62,0.628,0.627,3.12,0,0,0
11.5,0.606,0.615,0.612,3.62,0,0,0
12.5,0.592,0.6,0.601,4.19,0,0,0
14.5,0.567,0.575,0.575,4.85,0,0,0
16.5,0.544,0.551,0.551,5.61,0,0,0
18.5,0.519,0.528,0.527,6.5,0,0,0
20.5,0.499,0.506,0.507,7.53,0,0,0
22.5,0.48,0.488,0.489,8.72,1.36,1.92,0.906
24.5,0.459,0.468,0.469,10.1,5.1,5.79,4.93
26.5,0.443,0.45,0.451,11.7,9.41,9.64,9.86
28.5,0.428,0.434,0.436,13.5,12,11.6,12.7
32.5,0.398,0.406,0.407,15.7,11.7,10.7,11.9
36.5,0.373,0.379,0.381,18.2,8.68,7.61,8.03
40.5,0.35,0.357,0.359,21,4.52,3.79,3.28
44.5,0.329,0.336,0.339,24.4,1.22,0.951,0.254
48.5,0.312,0.319,0.322,28.2,0,0,0
52.5,0.296,0.303,0.305,32.7,0,0,0
56.5,0.282,0.288,0.291,37.8,0,0,0
60.5,0.269,0.277,0.279,43.8,0,0,0
68.5,0.248,0.254,0.257,50.7,0,0,0
76.5,0.23,0.237,0.238,58.8,0,0,0
84.5,0.214,0.222,0.224,68.1,0,0,0
92.5,0.203,0.21,0.212,78.8,0,0,0
101,0.193,0.201,0.202,91.3,0,0,0
109,0.184,0.193,0.193,106,0,0,0
117,0.178,0.185,0.186,122,0,0,0
125,0.171,0.179,0.181,142,0,0,0
141,0.161,0.169,0.17,164,0.188,0,0
157,0.152,0.161,0.162,190,0.975,0.446,0.59
173,0.147,0.153,0.156,220,2.25,1.38,1.78
189,0.14,0.148,0.152,255,3.69,2.62,3.28
205,0.136,0.142,0.146,295,4.95,3.91,4.72
221,0.131,0.139,0.142,342,5.77,5,5.81
237,0.127,0.135,0.137,396,6.01,5.72,6.36
253,0.124,0.131,0.133,459,5.67,5.99,6.33
285,0.117,0.125,0.126,531,4.87,5.8,5.77
317,0.112,0.119,0.12,615,3.78,5.2,4.83
349,0.106,0.113,0.113,712,2.61,4.31,3.68
381,0.0999,0.107,0.107,825,1.53,3.28,2.51
413,0.0951,0.101,0.101,955,0.704,2.24,1.48
445,0.0908,0.0968,0.096,1.11E+03,0.198,1.32,0.701
477,0.0865,0.0937,0.0922,1.28E+03,0,0.625,0.219
509,0.0831,0.0893,0.0874,1.48E+03,0,0.192,0.0173
573,0.0752,0.0813,0.0779,1.72E+03,0,0.0109,0
637,0.0682,0.0743,0.071,1.99E+03,0,0,0
701,0.0622,0.0679,0.0661,2.30E+03,0,0,0
765,0.0568,0.0604,0.0605,2.67E+03,0.0303,0,0
829,0.0527,0.056,0.056,3.09E+03,0.14,0,0
893,0.0478,0.0505,0.0507,3.58E+03,0.329,0,0
957,0.0449,0.0476,0.0472,4.15E+03,0.562,0,0
1.02E+03,0.0416,0.0442,0.0432,4.80E+03,0.784,0,0
1.15E+03,0.0362,0.0387,0.0381,5.56E+03,0.934,0,0
1.28E+03,0.0315,0.0317,0.0316,6.44E+03,0,0,0
1.40E+03,0.0273,0.0269,0.0264,7.46E+03,0,0,0
1.53E+03,0.0238,0.0244,0.0231,8.63E+03,0,0,0
1.66E+03,0.0206,0.0208,0.0196,,,,
1.79E+03,0.0193,0.0177,0.0172,,,,
1.92E+03,0.0162,0.0156,0.0163,,,,
2.04E+03,0.0157,0.0131,0.0143,,,,
