X Lag Time,Record 1: JJ1_10mg_PS20_250ug_200rpm_10-00min_ST_No3_230629 1,Record 2: JJ1_10mg_PS20_250ug_200rpm_10-00min_ST_No3_230629 2,Record 3: JJ1_10mg_PS20_250ug_200rpm_10-00min_ST_No3_230629 3,X Intensity,Record 1: JJ1_10mg_PS20_250ug_200rpm_10-00min_ST_No3_230629 1,Record 2: JJ1_10mg_PS20_250ug_200rpm_10-00min_ST_No3_230629 2,Record 3: JJ1_10mg_PS20_250ug_200rpm_10-00min_ST_No3_230629 3
0.5,0.858,0.854,0.856,0.4,0,0,0
1,0.843,0.841,0.836,0.463,0,0,0
1.5,0.82,0.819,0.816,0.536,0,0,0
2,0.807,0.802,0.791,0.621,0,0,0
2.5,0.789,0.787,0.781,0.719,0,0,0
3,0.77,0.774,0.76,0.833,0,0,0
3.5,0.759,0.753,0.75,0.965,0,0,0
4,0.742,0.738,0.734,1.12,0,0,0
4.5,0.729,0.726,0.719,1.29,0,0,0
5.5,0.701,0.692,0.691,1.5,0,0,0
6.5,0.673,0.671,0.663,1.74,0,0,0
7.5,0.647,0.645,0.636,2.01,0,0,0
8.5,0.624,0.618,0.61,2.33,0,0,0
9.5,0.601,0.597,0.588,2.7,0,0,0
10.5,0.578,0.577,0.564,3.12,0,0,0
11.5,0.554,0.555,0.545,3.62,0,0,0
12.5,0.537,0.536,0.524,4.19,0,0,0
14.5,0.499,0.497,0.487,4.85,0,0,0
16.5,0.466,0.464,0.453,5.61,0,0,0
18.5,0.433,0.428,0.419,6.5,0,0,0.196
20.5,0.403,0.401,0.391,7.53,0.332,0.242,1.84
22.5,0.376,0.375,0.363,8.72,2.87,3.09,4.9
24.5,0.351,0.349,0.336,10.1,7.21,7.87,8.58
26.5,0.33,0.325,0.315,11.7,11.8,12.7,11.8
28.5,0.309,0.305,0.295,13.5,15.1,15.7,13.7
32.5,0.27,0.27,0.258,15.7,15.9,15.8,13.8
36.5,0.236,0.238,0.226,18.2,13.9,13.3,12.1
40.5,0.209,0.21,0.199,21,10,8.93,9.16
44.5,0.186,0.186,0.175,24.4,5.43,4.42,5.69
48.5,0.166,0.168,0.156,28.2,1.76,1.21,2.63
52.5,0.149,0.149,0.139,32.7,0,0,0.678
56.5,0.133,0.134,0.125,37.8,0,0,0
60.5,0.122,0.122,0.113,43.8,0,0,0
68.5,0.0994,0.101,0.0937,50.7,0,0,0
76.5,0.0838,0.0855,0.0784,58.8,0,0,0
84.5,0.0712,0.0741,0.0656,68.1,0,0,0
92.5,0.0628,0.0647,0.0551,78.8,0,0,0
101,0.0544,0.0555,0.0488,91.3,0,0,0
109,0.0486,0.0501,0.0436,106,0,0,0
117,0.0451,0.0454,0.0402,122,0,0,0
125,0.0402,0.0416,0.0367,142,0,0,0
141,0.0343,0.0369,0.032,164,0,0,0
157,0.0318,0.0334,0.0287,190,0,0,0
173,0.0288,0.0316,0.0241,220,0,0,0
189,0.0249,0.0284,0.0213,255,0,0,0
205,0.0238,0.0266,0.0216,295,0,0,0
221,0.024,0.0266,0.0202,342,0,0,0.0338
237,0.0242,0.0269,0.0205,396,0,0.0567,0.197
253,0.0239,0.0258,0.019,459,0.0606,0.311,0.488
285,0.0239,0.0253,0.0184,531,0.303,0.746,0.857
317,0.023,0.0232,0.018,615,0.708,1.27,1.23
349,0.0219,0.0226,0.0171,712,1.19,1.76,1.55
