X Lag Time,Record 1: JJ1_50mg_000rpm_00-00min_NA_No3_230706 1,Record 2: JJ1_50mg_000rpm_00-00min_NA_No3_230706 2,Record 3: JJ1_50mg_000rpm_00-00min_NA_No3_230706 3,X Intensity,Record 1: JJ1_50mg_000rpm_00-00min_NA_No3_230706 1,Record 2: JJ1_50mg_000rpm_00-00min_NA_No3_230706 2,Record 3: JJ1_50mg_000rpm_00-00min_NA_No3_230706 3
0.5,0.849,0.839,0.836,0.4,0,0,0
1,0.834,0.824,0.823,0.463,0,0,0
1.5,0.816,0.806,0.805,0.536,0,0,0
2,0.798,0.787,0.79,0.621,0,0,0
2.5,0.781,0.773,0.772,0.719,0,0,0
3,0.764,0.757,0.759,0.833,0,0,0
3.5,0.75,0.737,0.742,0.965,0,0,0
4,0.733,0.724,0.727,1.12,0,0,0
4.5,0.717,0.708,0.713,1.29,0,0,0
5.5,0.688,0.678,0.685,1.5,0,0,0
6.5,0.659,0.65,0.659,1.74,0,0,0
7.5,0.632,0.622,0.633,2.01,0,0,0
8.5,0.607,0.596,0.609,2.33,0,0,0
9.5,0.582,0.571,0.585,2.7,0,0,0
10.5,0.558,0.548,0.564,3.12,0,0,0
11.5,0.537,0.525,0.541,3.62,0,0,0
12.5,0.514,0.503,0.521,4.19,0,0,0
14.5,0.474,0.463,0.484,4.85,0,0,0
16.5,0.436,0.425,0.448,5.61,0,0,0
18.5,0.403,0.391,0.415,6.5,0,0,0
20.5,0.371,0.359,0.385,7.53,0.215,0.289,0
22.5,0.343,0.331,0.358,8.72,2.23,2.61,2
24.5,0.317,0.303,0.332,10.1,5.92,6.69,6.08
26.5,0.292,0.279,0.309,11.7,10.3,11.3,10.9
28.5,0.27,0.259,0.287,13.5,14.1,15,15
32.5,0.23,0.219,0.249,15.7,16.3,16.8,17
36.5,0.197,0.186,0.217,18.2,16.3,16.3,16.4
40.5,0.169,0.158,0.188,21,14.2,13.6,13.6
44.5,0.144,0.135,0.164,24.4,10.6,9.63,9.31
48.5,0.124,0.115,0.144,28.2,6.45,5.39,4.93
52.5,0.106,0.0986,0.126,32.7,2.89,2.02,1.6
56.5,0.0906,0.0837,0.112,37.8,0.681,0.249,0.0266
60.5,0.079,0.0729,0.0997,43.8,0,0,0
68.5,0.0586,0.0533,0.0795,50.7,0,0,0
76.5,0.0447,0.039,0.0636,58.8,0,0,0
84.5,0.0333,0.0299,0.0516,68.1,0,0,0
92.5,0.0249,0.0233,0.0433,78.8,0,0,0
101,0.0194,0.0177,0.0368,91.3,0,0,0
109,0.0157,0.0138,0.0309,106,0,0,0
117,0.0128,0.0105,0.0273,122,0,0,0
125,0.0107,0.00834,0.0248,142,0,0,0
141,0.00759,0.00563,0.02,164,0,0,0
157,0.00601,0.00441,0.0175,190,0,0,0
173,0.00477,0.00307,0.0169,220,0,0,0
189,0.00411,0.00165,0.0159,255,0,0,0
205,0.00441,0.00106,0.0139,295,0,0,0
221,0.00384,0.00169,0.014,342,0,0,0
237,0.00327,0.00241,0.0132,396,0,0,0
253,0.0037,0.00197,0.0128,459,0,0,0
285,0.00407,0.00155,0.0116,531,0,0,0
317,0.00253,0.00128,0.0113,615,0,0,0
349,0.00301,0.00171,0.0109,712,0,0,0
381,0.00243,0.00131,0.011,825,0,0,0
413,0.00288,0.000383,0.0108,955,0,0,0
445,0.00328,0.000862,0.0106,1.11E+03,0,0,0
477,0.00175,0.000807,0.0105,1.28E+03,0,0,0
509,0.00173,0.001,0.00966,1.48E+03,0,0,0
573,0.00242,0.000815,0.0094,1.72E+03,0,0,0
637,0.00196,0.000589,0.00987,1.99E+03,0,0,0
701,0.00113,0.000533,0.0103,2.30E+03,0,0,0
765,0.00101,0.000771,0.0104,2.67E+03,0,0,0
829,0.000641,0.000781,0.00793,3.09E+03,0,0,0.104
893,0.00177,0.000518,0.00828,3.58E+03,0,0,0.331
957,0.00124,0.00071,0.00746,4.15E+03,0,0,0.638
1.02E+03,0.00174,0,0.00709,4.80E+03,0,0,0.947
1.15E+03,0.00212,0.000888,0.0082,5.56E+03,0,0,1.17
1.28E+03,0.00133,0.000413,0.00869,6.44E+03,0,0,0
1.40E+03,0.00163,0.000469,0.00677,7.46E+03,0,0,0
1.53E+03,0.00138,0.000252,0.00658,8.63E+03,0,0,0
1.66E+03,0.00137,0.000881,0.00699,,,,
1.79E+03,0.000715,0,0.00824,,,,
1.92E+03,0.0019,0.0015,0.00717,,,,
2.04E+03,0.0014,0.000931,0.00746,,,,
2.30E+03,0.000374,0.000147,0.00743,,,,
2.56E+03,0.000308,0.000549,0.00654,,,,
2.81E+03,0.000248,0.000297,0.00667,,,,
3.07E+03,0.000784,0.000181,0.00645,,,,
3.32E+03,0.00123,0.00145,0.00638,,,,
3.58E+03,0.000802,0.000254,0.00562,,,,
3.84E+03,0.00105,0.000216,0.00584,,,,
4.09E+03,0.000692,0.000384,0.0053,,,,
4.60E+03,0.001,0.000136,0.00585,,,,
5.12E+03,0.000925,0.000192,0.00654,,,,
5.63E+03,0.00139,0.000341,0.00631,,,,
6.14E+03,0.000819,0.000206,0.00634,,,,
6.65E+03,0.000729,0,0.00506,,,,
7.16E+03,0.000937,0.000342,0.00496,,,,
7.68E+03,0.000658,0.000199,0.00504,,,,
8.19E+03,0.000731,0.000365,0.00523,,,,
9.21E+03,0.000454,0.000714,0.00544,,,,
1.02E+04,0.000798,0.00049,0.00596,,,,
1.13E+04,0.00106,0.000594,0.00537,,,,
1.23E+04,0.000417,0.000389,0.0048,,,,
1.33E+04,0.00067,0.000544,0.0054,,,,
1.43E+04,0.000502,0.000368,0.00605,,,,
1.54E+04,0.000498,0.00044,0.00514,,,,
1.64E+04,0.000498,0.000299,0.0052,,,,
1.84E+04,0.000667,0.000131,0.00537,,,,
2.05E+04,0.000124,0.000427,0.00536,,,,
2.25E+04,0.000254,6.34E-05,0.00537,,,,
2.46E+04,0.000286,0.000264,0.0051,,,,
2.66E+04,0,0.000297,0.00492,,,,
2.87E+04,0.000407,0.000364,0.00591,,,,
3.07E+04,0.000345,0.000189,0.00522,,,,
3.28E+04,0.000768,0.000106,0.00512,,,,
3.69E+04,0.00065,0.000156,0.00477,,,,
4.10E+04,0.000635,0.000119,0.00531,,,,
4.51E+04,0.000695,0.000134,0.00492,,,,
4.91E+04,0.000795,5.69E-05,0.005,,,,
5.32E+04,0.000628,3.03E-05,0.0048,,,,
5.73E+04,0.000467,3.92E-05,0.00527,,,,
6.14E+04,0.000671,0.000157,0.00522,,,,
6.55E+04,0.000736,7.23E-05,0.0052,,,,
7.37E+04,0.000681,0.000168,0.00527,,,,
8.19E+04,0.000529,7.13E-05,0.00496,,,,
9.01E+04,0.000734,0.000114,0.00499,,,,
9.83E+04,0.0008,5.29E-06,0.00529,,,,
1.06E+05,0.00056,0.000208,0.00459,,,,
1.15E+05,0.000423,0.000109,0.00486,,,,
1.23E+05,0.000536,5.84E-05,0.00525,,,,
1.31E+05,0.00069,4.57E-05,0.00452,,,,
1.47E+05,0.000887,3.09E-05,0.00478,,,,
1.64E+05,0.000762,7.63E-05,0.00467,,,,
1.80E+05,0.000589,1.01E-05,0.00452,,,,
