X Lag Time,Record 28: K11 1,Record 29: K11 2,Record 30: K11 3
0.5,0.843,0.834,0.838
1,0.826,0.819,0.82
1.5,0.806,0.798,0.798
2,0.785,0.779,0.781
2.5,0.768,0.76,0.76
3,0.75,0.743,0.744
3.5,0.734,0.725,0.726
4,0.716,0.708,0.707
4.5,0.7,0.69,0.69
5.5,0.668,0.659,0.659
6.5,0.639,0.63,0.628
7.5,0.611,0.602,0.599
8.5,0.585,0.573,0.572
9.5,0.559,0.549,0.546
10.5,0.534,0.524,0.521
11.5,0.513,0.501,0.497
12.5,0.491,0.48,0.475
14.5,0.449,0.439,0.434
16.5,0.413,0.403,0.397
18.5,0.379,0.369,0.363
20.5,0.35,0.339,0.333
22.5,0.321,0.312,0.306
24.5,0.296,0.287,0.28
26.5,0.273,0.265,0.258
28.5,0.253,0.244,0.238
32.5,0.216,0.209,0.203
36.5,0.185,0.18,0.173
40.5,0.16,0.154,0.148
44.5,0.139,0.133,0.128
48.5,0.121,0.116,0.111
52.5,0.106,0.102,0.0963
56.5,0.0942,0.0897,0.0847
60.5,0.0842,0.0796,0.0749
68.5,0.0675,0.0632,0.0592
76.5,0.0549,0.0512,0.0482
84.5,0.0458,0.0431,0.0401
92.5,0.0391,0.0373,0.0336
101,0.0339,0.0326,0.0288
109,0.0302,0.0289,0.0249
117,0.0266,0.0266,0.0225
125,0.0243,0.0247,0.0202
141,0.0209,0.0203,0.0168
157,0.019,0.0181,0.0151
173,0.0169,0.0164,0.0144
189,0.0154,0.0152,0.0137
205,0.015,0.0141,0.0132
221,0.0144,0.0133,0.0127
237,0.0134,0.0129,0.0125
253,0.0133,0.0128,0.0121
285,0.0134,0.0122,0.0118
317,0.0133,0.0126,0.0107
349,0.0131,0.012,0.01
381,0.0116,0.0113,0.00916
413,0.0101,0.0105,0.00841
445,0.0101,0.00935,0.00861
477,0.0102,0.00948,0.00852
509,0.00937,0.00864,0.00844
573,0.00871,0.0078,0.00794
637,0.00814,0.00804,0.00682
701,0.0079,0.00892,0.00622
765,0.0076,0.00802,0.00656
829,0.00785,0.00763,0.00661
893,0.00705,0.00535,0.00573
957,0.00656,0.0055,0.00469
1.02E+03,0.00721,0.00562,0.00417
1.15E+03,0.0066,0.00449,0.00424
1.28E+03,0.00531,0.00449,0.0035
1.40E+03,0.00399,0.00382,0.0035
1.53E+03,0.00341,0.00341,0.00356
1.66E+03,0.00437,0.00283,0.00345
1.79E+03,0.00406,0.00295,0.0027
1.92E+03,0.00284,0.00286,0.00237
2.04E+03,0.00231,0.00209,0.00216
2.30E+03,0.00262,0.00187,0.00152
2.56E+03,0.00217,0.00237,0.00174
2.81E+03,0.00177,0.00145,0.000885
3.07E+03,0.00155,0.000877,0.000773
3.32E+03,0.00112,0.00134,0.000988
3.58E+03,0.00126,0.00138,0.00108
3.84E+03,0.00117,0.00106,0.00102
4.09E+03,0.00117,0.000913,0.00083
4.60E+03,0.00052,0.000815,0.000704
5.12E+03,0.00121,0.000379,0.00024
5.63E+03,0.000741,0.00063,0.000755
6.14E+03,0.00126,0.000635,0.000668
6.65E+03,0.0011,0.000528,0.000828
7.16E+03,0.00105,0.000183,0.000149
7.68E+03,0.00104,0.00128,0.000706
8.19E+03,0.00119,0.000734,0.000571
9.21E+03,0.000895,0.000273,0.000398
1.02E+04,0.00105,0.000603,0.00042
1.13E+04,0.000902,0.000429,0.000807
1.23E+04,0.00065,0.000582,0.000501
1.33E+04,0.000819,0.000416,0.000546
1.43E+04,0.000804,0.00094,0.000141
1.54E+04,0.000845,0.000531,0.000352
1.64E+04,0.000476,0.000599,0.000269
1.84E+04,0.00106,0.000417,0.000352
2.05E+04,0.000732,0.000299,0.00036
2.25E+04,0.000486,0.00037,0.000235
2.46E+04,0.000796,0.000211,0.000264
2.66E+04,0.000706,0.000483,0.000345
2.87E+04,0.000647,0.000355,0.000708
3.07E+04,0.000589,0.00051,0.000333
3.28E+04,0.000559,0.00034,0.000395
3.69E+04,0.000577,0.00027,0.0004
4.10E+04,0.000744,0.000408,0.000685
4.51E+04,0.000469,0.000346,0.000374
4.91E+04,0.00072,0.000442,0.000271
5.32E+04,0.000728,0.000478,0.000401
5.73E+04,0.000358,0.000367,0.000214
6.14E+04,0.00052,0.000513,0.000445
6.55E+04,0.000515,0.00036,0.000282
7.37E+04,0.000638,0.000253,0.000311
8.19E+04,0.000608,0.000464,0.000352
9.01E+04,0.0004,0.000468,0.000225
9.83E+04,0.000595,0.000276,0.000407
1.06E+05,0.000422,0.000444,0.000253
1.15E+05,0.000494,0.000365,0.000316
1.23E+05,0.000635,0.000186,0.000235
1.31E+05,0.000438,0.000187,0.000212
1.47E+05,0.000409,0.000293,0.000334
1.64E+05,0.000477,0.000303,0.000305
1.80E+05,0.000343,0.000173,0.000593
1.97E+05,0.000325,0.000267,0.000468
2.13E+05,0.000312,0.000258,0.000618
2.29E+05,0.000386,0.000102,0.000409
2.46E+05,0.000289,0.000261,0.000394
2.62E+05,0.00033,0.000261,0.000156
2.95E+05,0.000374,0.000423,0.000198
3.28E+05,0.000417,0.000385,0.000214
3.60E+05,0.000239,0.000271,0.000128
3.93E+05,0.000368,0.000231,0.0002
4.26E+05,0.00038,0.000171,0.000183
4.59E+05,0.00025,0.000102,0.000225
4.92E+05,0.00025,8.17E-05,0.000243
5.24E+05,0.000431,0.000361,0.000347
5.90E+05,0.000346,0.000343,8.03E-05
6.55E+05,0.000391,0.000449,0.000315
7.21E+05,0.000437,0.000318,0.00031
7.86E+05,0.000392,0.000247,0.00033
8.52E+05,0.000329,0.000117,0.000306
9.18E+05,4.11E-05,0.000105,0.000347
9.83E+05,0.000243,0.000272,0.000231
1.05E+06,0.000326,0.000534,0.000551
1.18E+06,0.000212,0.000383,0.000437
1.31E+06,0.000332,0.00054,0.000437
1.44E+06,0.000351,0.000618,0.000483
1.57E+06,0.000362,0.000301,0.000351
1.70E+06,0.000284,0.000447,0.000365
1.84E+06,0.00014,0.000415,0.000235
1.97E+06,0.000289,0.000529,0.000383
2.10E+06,0,3.52E-05,0.000303
2.36E+06,0.000549,0.000226,0.000499
2.62E+06,0.000284,0,0.000894
2.88E+06,0.000331,0,0.000683
3.15E+06,0.000453,0.00036,0.000355
3.41E+06,0.000309,0.000105,0.000484
3.67E+06,0.00049,1.63E-06,0.000885
3.93E+06,0.000178,6.76E-05,0.000652
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
