X Lag Time,Record 1: JJ1_50mg_200rpm_10-00min_ST_No3_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_ST_No3_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_ST_No3_230705 3,X Intensity,Record 1: JJ1_50mg_200rpm_10-00min_ST_No3_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_ST_No3_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_ST_No3_230705 3
0.5,0.885,0.88,0.883,0.4,0,0,0
1,0.881,0.868,0.881,0.463,0,0,0
1.5,0.869,0.859,0.869,0.536,0,0,0
2,0.856,0.851,0.856,0.621,0,0,0
2.5,0.848,0.842,0.847,0.719,0,0,0
3,0.837,0.833,0.842,0.833,0,0,0
3.5,0.832,0.828,0.833,0.965,0,0,0
4,0.822,0.819,0.82,1.12,0,0,0
4.5,0.817,0.812,0.817,1.29,0,0,0
5.5,0.801,0.801,0.803,1.5,0,0,0
6.5,0.792,0.783,0.786,1.74,0,0,0
7.5,0.776,0.769,0.776,2.01,0,0,0
8.5,0.761,0.757,0.759,2.33,0,0,0
9.5,0.751,0.743,0.751,2.7,0,0,0
10.5,0.739,0.728,0.737,3.12,0,0,0
11.5,0.728,0.719,0.723,3.62,0,0,0
12.5,0.715,0.708,0.713,4.19,0,0,0
14.5,0.695,0.685,0.692,4.85,0,0,0
16.5,0.673,0.662,0.671,5.61,0,0,0
18.5,0.654,0.645,0.652,6.5,0,0,0
20.5,0.633,0.628,0.633,7.53,0,0,0
22.5,0.618,0.609,0.614,8.72,0,0,0
24.5,0.6,0.591,0.599,10.1,0.031,1.06,1.08
26.5,0.585,0.577,0.581,11.7,4.75,5.48,5.45
28.5,0.572,0.562,0.568,13.5,10.4,10.6,10.1
32.5,0.545,0.536,0.541,15.7,12.5,12.8,11.9
36.5,0.52,0.512,0.516,18.2,9.85,10.7,9.71
40.5,0.498,0.488,0.493,21,4.6,5.65,5.15
44.5,0.479,0.47,0.474,24.4,0.578,1.14,1.2
48.5,0.462,0.452,0.456,28.2,0,0,0
52.5,0.445,0.436,0.441,32.7,0,0,0
56.5,0.43,0.42,0.427,37.8,0,0,0
60.5,0.418,0.407,0.414,43.8,0,0,0
68.5,0.396,0.384,0.389,50.7,0,0,0
76.5,0.378,0.365,0.371,58.8,0,0,0
84.5,0.36,0.348,0.356,68.1,0,0,0
92.5,0.348,0.335,0.342,78.8,0,0,0
101,0.336,0.323,0.331,91.3,0,0,0
109,0.327,0.313,0.323,106,0,0,0
117,0.32,0.305,0.312,122,0,0,0
125,0.312,0.299,0.306,142,0,0,0
141,0.299,0.288,0.294,164,0,0,0
157,0.29,0.278,0.285,190,0,0,0
173,0.284,0.271,0.277,220,0,0,0
189,0.279,0.264,0.27,255,0.268,0,0
205,0.273,0.259,0.265,295,0.941,0,0
221,0.269,0.255,0.26,342,1.89,0.41,0
237,0.265,0.251,0.257,396,2.89,1.98,0.912
253,0.26,0.247,0.253,459,3.73,4.23,2.82
285,0.252,0.241,0.247,531,4.28,6.32,5.15
317,0.246,0.237,0.24,615,4.47,7.6,7.21
349,0.24,0.231,0.234,712,4.35,7.75,8.42
381,0.233,0.225,0.227,825,3.97,6.83,8.51
413,0.228,0.22,0.221,955,3.47,5.18,7.53
445,0.222,0.214,0.216,1.11E+03,2.93,3.27,5.8
477,0.217,0.21,0.211,1.28E+03,2.46,1.58,3.76
509,0.214,0.206,0.207,1.48E+03,2.11,0.456,1.9
573,0.204,0.196,0.197,1.72E+03,1.92,0,0.607
637,0.196,0.188,0.188,1.99E+03,1.88,0,0.0259
701,0.19,0.18,0.18,2.30E+03,1.96,0,0
765,0.182,0.17,0.171,2.67E+03,2.11,0,0
829,0.175,0.163,0.164,3.09E+03,2.28,0,0
893,0.168,0.157,0.158,3.58E+03,2.41,0.332,0
957,0.161,0.151,0.151,4.15E+03,2.46,1.11,0.285
1.02E+03,0.155,0.145,0.145,4.80E+03,2.38,2.2,0.872
1.15E+03,0.144,0.134,0.132,5.56E+03,2.17,3.29,1.58
1.28E+03,0.136,0.122,0.12,6.44E+03,0,0,0
1.40E+03,0.126,0.112,0.11,7.46E+03,0,0,0
1.53E+03,0.115,0.107,0.101,8.63E+03,0,0,0
