X Lag Time,Record 1: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No3_230706 1,Record 2: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No3_230706 2,Record 3: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No3_230706 3,X Intensity,Record 1: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No3_230706 1,Record 2: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No3_230706 2,Record 3: JJ1_50mg_PS2_500ug_200rpm_10-00min_PM_No3_230706 3
0.5,0.844,0.844,0.839,0.4,0,0,0
1,0.83,0.83,0.826,0.463,0,0,0
1.5,0.812,0.81,0.809,0.536,0,0,0
2,0.795,0.791,0.789,0.621,0,0,0
2.5,0.777,0.775,0.773,0.719,0,0,0
3,0.761,0.757,0.758,0.833,0,0,0
3.5,0.745,0.742,0.74,0.965,0,0,0
4,0.729,0.726,0.725,1.12,0,0,0
4.5,0.714,0.712,0.711,1.29,0,0,0
5.5,0.684,0.685,0.681,1.5,0,0,0
6.5,0.657,0.655,0.655,1.74,0,0,0
7.5,0.63,0.629,0.628,2.01,0,0,0
8.5,0.604,0.603,0.602,2.33,0,0,0
9.5,0.579,0.577,0.578,2.7,0,0,0
10.5,0.557,0.555,0.555,3.12,0,0,0
11.5,0.533,0.532,0.532,3.62,0,0,0
12.5,0.512,0.511,0.511,4.19,0,0,0
14.5,0.472,0.47,0.472,4.85,0,0,0
16.5,0.436,0.434,0.435,5.61,0,0,0
18.5,0.401,0.399,0.402,6.5,0,0,0
20.5,0.369,0.369,0.37,7.53,0.713,0.767,0.115
22.5,0.34,0.34,0.342,8.72,2.99,3.31,2.34
24.5,0.315,0.314,0.316,10.1,6.48,7.1,6.37
26.5,0.291,0.29,0.292,11.7,10.3,11,10.9
28.5,0.269,0.268,0.271,13.5,13.4,14,14.6
32.5,0.228,0.23,0.232,15.7,15.2,15.4,16.5
36.5,0.195,0.196,0.199,18.2,15.1,14.9,16.1
40.5,0.167,0.169,0.17,21,13.4,12.9,13.7
44.5,0.144,0.145,0.146,24.4,10.4,9.76,9.99
48.5,0.122,0.126,0.125,28.2,6.92,6.33,6.02
52.5,0.105,0.108,0.109,32.7,3.65,3.28,2.69
56.5,0.0908,0.0939,0.0944,37.8,1.27,1.14,0.657
60.5,0.0784,0.0814,0.0825,43.8,0.123,0.122,0
68.5,0.0591,0.0611,0.0627,50.7,0,0,0
76.5,0.0451,0.0459,0.0493,58.8,0,0,0
84.5,0.0349,0.0351,0.0383,68.1,0,0,0
