X Lag Time,Record 1: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No2_230706 1,Record 2: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No2_230706 2,Record 3: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No2_230706 3,X Intensity,Record 1: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No2_230706 1,Record 2: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No2_230706 2,Record 3: JJ1_50mg_PS2_500ug_000rpm_00-00min_NA_No2_230706 3
0.5,0.839,0.841,0.845,0.4,0,0,0
1,0.826,0.827,0.83,0.463,0,0,0
1.5,0.806,0.807,0.81,0.536,0,0,0
2,0.788,0.791,0.791,0.621,0,0,0
2.5,0.77,0.771,0.776,0.719,0,0,0
3,0.754,0.754,0.759,0.833,0,0,0
3.5,0.738,0.74,0.74,0.965,0,0,0
4,0.722,0.722,0.725,1.12,0,0,0
4.5,0.704,0.706,0.708,1.29,0,0,0
5.5,0.675,0.675,0.677,1.5,0,0,0
6.5,0.645,0.645,0.647,1.74,0,0,0
7.5,0.618,0.619,0.619,2.01,0,0,0
8.5,0.59,0.593,0.593,2.33,0,0,0
9.5,0.567,0.565,0.567,2.7,0,0,0
10.5,0.542,0.542,0.54,3.12,0,0,0
11.5,0.519,0.518,0.518,3.62,0,0,0
12.5,0.498,0.497,0.495,4.19,0,0,0
14.5,0.456,0.455,0.454,4.85,0,0,0
16.5,0.418,0.418,0.414,5.61,0,0,0
18.5,0.383,0.382,0.38,6.5,0,0,0
20.5,0.351,0.35,0.348,7.53,0,0.229,0
22.5,0.323,0.322,0.32,8.72,2.16,2.83,2.05
24.5,0.296,0.294,0.292,10.1,6.8,7.47,7.05
26.5,0.273,0.27,0.269,11.7,12.4,12.6,13.2
28.5,0.251,0.249,0.246,13.5,16.9,16.6,18.1
32.5,0.211,0.21,0.206,15.7,18.7,18.1,19.8
36.5,0.179,0.177,0.174,18.2,17.4,16.7,17.8
40.5,0.151,0.149,0.146,21,13.5,13,12.9
44.5,0.127,0.126,0.123,24.4,8.21,8.12,7.01
48.5,0.108,0.106,0.103,28.2,3.43,3.63,2.22
52.5,0.0913,0.0908,0.0873,32.7,0.584,0.795,0
56.5,0.0772,0.0763,0.0736,37.8,0,0,0
60.5,0.066,0.065,0.0623,43.8,0,0,0
68.5,0.0474,0.0468,0.0445,50.7,0,0,0
76.5,0.034,0.0344,0.0325,58.8,0,0,0
84.5,0.0239,0.025,0.0238,68.1,0,0,0
92.5,0.0168,0.0187,0.0176,78.8,0,0,0
101,0.0115,0.0149,0.0131,91.3,0,0,0
109,0.00872,0.0108,0.0108,106,0,0,0
117,0.00648,0.00778,0.00817,122,0,0,0
125,0.00469,0.00495,0.00613,142,0,0,0
141,0.00248,0.00254,0.00385,164,0,0,0
157,0.00112,0.0018,0.0027,190,0,0,0
173,1.48E-05,0.00197,0.00187,220,0,0,0
189,0.000592,0.00204,0.00135,255,0,0,0
205,0.00104,0.00169,0.000475,295,0,0,0
221,0.00123,0.00168,0.000704,342,0,0,0
237,0.00176,0.000933,0.00125,396,0,0,0
