X Lag Time,Record 1: JJ1_50mg_PS2_050ug_200rpm_10-00min_PM_No1_230706 1,Record 2: JJ1_50mg_PS2_050ug_200rpm_10-00min_PM_No1_230706 2,Record 3: JJ1_50mg_PS2_050ug_200rpm_10-00min_PM_No1_230706 3,X Intensity,Record 1: JJ1_50mg_PS2_050ug_200rpm_10-00min_PM_No1_230706 1,Record 2: JJ1_50mg_PS2_050ug_200rpm_10-00min_PM_No1_230706 2,Record 3: JJ1_50mg_PS2_050ug_200rpm_10-00min_PM_No1_230706 3
0.5,0.845,0.845,0.84,0.4,0,0,0
1,0.831,0.831,0.826,0.463,0,0,0
1.5,0.81,0.812,0.808,0.536,0,0,0
2,0.793,0.792,0.787,0.621,0,0,0
2.5,0.777,0.775,0.771,0.719,0,0,0
3,0.76,0.757,0.754,0.833,0,0,0
3.5,0.743,0.743,0.736,0.965,0,0,0
4,0.725,0.725,0.722,1.12,0,0,0
4.5,0.71,0.709,0.704,1.29,0,0,0
5.5,0.679,0.678,0.674,1.5,0,0,0
6.5,0.651,0.648,0.646,1.74,0,0,0
7.5,0.622,0.622,0.617,2.01,0,0,0
8.5,0.594,0.594,0.591,2.33,0,0,0
9.5,0.57,0.568,0.565,2.7,0,0,0
10.5,0.547,0.544,0.539,3.12,0,0,0
11.5,0.524,0.521,0.517,3.62,0,0,0
12.5,0.501,0.499,0.495,4.19,0,0,0
14.5,0.46,0.458,0.453,4.85,0,0,0
16.5,0.422,0.421,0.415,5.61,0,0,0
18.5,0.387,0.386,0.38,6.5,0,0,0
20.5,0.355,0.354,0.349,7.53,0,0,0
22.5,0.327,0.324,0.32,8.72,1.73,1.77,1.46
24.5,0.299,0.297,0.295,10.1,6.3,6.45,6.32
26.5,0.274,0.272,0.27,11.7,12.2,12.5,12.8
28.5,0.253,0.25,0.248,13.5,17.2,17.5,18.2
32.5,0.213,0.211,0.208,15.7,19.4,19.7,20.3
36.5,0.18,0.177,0.174,18.2,18.1,18.2,18.4
40.5,0.151,0.149,0.148,21,13.8,13.6,13.3
44.5,0.128,0.125,0.125,24.4,8.05,7.7,7.07
48.5,0.108,0.106,0.105,28.2,2.97,2.61,2.13
52.5,0.091,0.0893,0.0881,32.7,0.209,0,0
56.5,0.0772,0.0757,0.0743,37.8,0,0,0
60.5,0.0657,0.0642,0.0633,43.8,0,0,0
68.5,0.0479,0.0465,0.0452,50.7,0,0,0
76.5,0.0351,0.0333,0.0323,58.8,0,0,0
84.5,0.0241,0.0246,0.0237,68.1,0,0,0
92.5,0.0176,0.0179,0.0178,78.8,0,0,0
101,0.0121,0.0137,0.0131,91.3,0,0,0
109,0.00813,0.011,0.01,106,0,0,0
117,0.00576,0.00826,0.00708,122,0,0,0
125,0.00419,0.00641,0.00526,142,0,0,0
141,0.00185,0.00367,0.00331,164,0,0,0
157,0.00109,0.00252,0.00114,190,0,0,0
173,0.00143,0.00245,0.00155,220,0,0,0
189,0.00135,0.00228,0.00107,255,0,0,0
205,0.000883,0.00284,0.00061,295,0,0,0
221,0.000268,0.0022,0.000577,342,0,0,0
237,0.000281,0.00183,0.000464,396,0,0,0
253,0.000677,0.000786,0.000304,459,0,0,0
285,0.00133,0.000653,0.000456,531,0,0,0
317,0.00198,0.00109,0.000702,615,0,0,0
349,0.00181,5.04E-05,0.000862,712,0,0,0
381,0.000703,3.79E-05,0.00129,825,0,0,0
