X Lag Time,Record 1: JJmAb1_200rpm_10min_PMMA 1,Record 2: JJmAb1_200rpm_10min_PMMA 2,Record 3: JJmAb1_200rpm_10min_PMMA 3,X Intensity,Record 1: JJmAb1_200rpm_10min_PMMA 1,Record 2: JJmAb1_200rpm_10min_PMMA 2,Record 3: JJmAb1_200rpm_10min_PMMA 3
0.5,0.853,0.856,0.88,0.4,0,0,0
1,0.854,0.855,0.881,0.463,0,0,0
1.5,0.848,0.854,0.874,0.536,0,0,0
2,0.85,0.847,0.869,0.621,0,0,0
2.5,0.836,0.847,0.87,0.719,0,0,0
3,0.843,0.844,0.864,0.833,0,0,0
3.5,0.838,0.844,0.865,0.965,0,0,0
4,0.837,0.841,0.862,1.12,0,0,0
4.5,0.833,0.84,0.86,1.29,0,0,0
5.5,0.83,0.832,0.859,1.5,0,0,0
6.5,0.825,0.833,0.855,1.74,0,0,0
7.5,0.822,0.829,0.854,2.01,0,0,0
8.5,0.817,0.826,0.847,2.33,0,0,0
9.5,0.817,0.824,0.845,2.7,0,0,0
10.5,0.814,0.822,0.843,3.12,0,0,0
11.5,0.809,0.818,0.838,3.62,0,0,0
12.5,0.808,0.815,0.837,4.19,0,0,0
14.5,0.802,0.811,0.83,4.85,0,0,0
16.5,0.799,0.805,0.827,5.61,0,0,0
18.5,0.793,0.802,0.825,6.5,0,0,0
20.5,0.788,0.799,0.818,7.53,0,0,0
22.5,0.786,0.797,0.815,8.72,0,0.564,0
24.5,0.781,0.793,0.812,10.1,0.517,1.44,0.518
26.5,0.776,0.787,0.809,11.7,1.42,1.92,1.45
28.5,0.773,0.783,0.805,13.5,1.98,1.64,2.05
32.5,0.768,0.779,0.799,15.7,1.7,0.869,1.85
36.5,0.762,0.773,0.793,18.2,0.774,0.188,1.02
40.5,0.755,0.767,0.787,21,0,0,0.217
44.5,0.75,0.763,0.781,24.4,0,0,0
48.5,0.746,0.758,0.777,28.2,0,0,0
52.5,0.742,0.753,0.772,32.7,0,0,0
56.5,0.738,0.75,0.768,37.8,0,0,0
60.5,0.733,0.746,0.765,43.8,0,0,0
68.5,0.727,0.739,0.757,50.7,0,0,0
76.5,0.72,0.734,0.751,58.8,0,0,0
84.5,0.714,0.728,0.746,68.1,0,0,0
92.5,0.709,0.723,0.74,78.8,0,0,0
101,0.704,0.717,0.736,91.3,0,0,0
109,0.699,0.713,0.731,106,0,0,0
117,0.695,0.709,0.727,122,0,0,0
125,0.691,0.705,0.723,142,0,0,0
141,0.683,0.698,0.715,164,0,0,0
157,0.677,0.692,0.708,190,0,0,0
173,0.671,0.686,0.702,220,0,0,0
189,0.664,0.679,0.696,255,0,0,0
