X Lag Time,Record 1: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No3_230703 1,Record 2: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No3_230703 2,Record 3: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No3_230703 3,X Intensity,Record 1: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No3_230703 1,Record 2: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No3_230703 2,Record 3: JJ1_10mg_AIR_050%v_200rpm_10-00min_PM_No3_230703 3
0.5,0.847,0.858,0.855,0.4,0,0,0
1,0.847,0.857,0.85,0.463,0,0,0
1.5,0.839,0.848,0.842,0.536,0,0,0
2,0.832,0.841,0.833,0.621,0,0,0
2.5,0.823,0.834,0.827,0.719,0,0,0
3,0.817,0.828,0.822,0.833,0,0,0
3.5,0.809,0.821,0.814,0.965,0,0,0
4,0.804,0.815,0.808,1.12,0,0,0
4.5,0.797,0.81,0.802,1.29,0,0,0
5.5,0.787,0.796,0.789,1.5,0,0,0
6.5,0.775,0.785,0.779,1.74,0,0,0
7.5,0.763,0.772,0.767,2.01,0,0,0
8.5,0.752,0.763,0.755,2.33,0,0,0
9.5,0.742,0.752,0.744,2.7,0,0,0
10.5,0.733,0.741,0.732,3.12,0,0,0
11.5,0.722,0.731,0.723,3.62,0,0,0
12.5,0.713,0.723,0.712,4.19,0,0,0
14.5,0.696,0.705,0.694,4.85,0,0,0
16.5,0.678,0.686,0.676,5.61,0,0,0
18.5,0.664,0.671,0.659,6.5,0,0,0
20.5,0.647,0.656,0.643,7.53,0,0,0
22.5,0.633,0.641,0.628,8.72,0,0.195,0.531
24.5,0.62,0.627,0.615,10.1,2.58,2.82,3.65
26.5,0.608,0.615,0.6,11.7,7.2,6.33,7.27
28.5,0.597,0.603,0.588,13.5,10.1,8.37,9
32.5,0.575,0.58,0.566,15.7,8.87,7.66,7.93
36.5,0.555,0.561,0.545,18.2,4.5,4.74,4.89
40.5,0.537,0.543,0.527,21,0.555,1.54,1.7
44.5,0.521,0.526,0.51,24.4,0,0,0
48.5,0.506,0.512,0.494,28.2,0,0,0
52.5,0.494,0.499,0.482,32.7,0,0,0
56.5,0.48,0.486,0.469,37.8,0,0,0
60.5,0.47,0.476,0.458,43.8,0,0,0
68.5,0.451,0.456,0.439,50.7,0,0,0
76.5,0.436,0.44,0.423,58.8,0,0,0
84.5,0.422,0.427,0.409,68.1,0,0,0
92.5,0.411,0.415,0.396,78.8,0,0,0
101,0.401,0.405,0.386,91.3,0,0,0
109,0.392,0.396,0.378,106,0,0,0
117,0.386,0.388,0.37,122,0,0,0
125,0.379,0.382,0.363,142,0,0,0
141,0.368,0.37,0.351,164,0,0,0
157,0.359,0.361,0.342,190,0,0,0
173,0.35,0.354,0.334,220,0,0.204,0.269
189,0.343,0.346,0.326,255,0,1.23,1.09
205,0.337,0.339,0.319,295,1,2.84,2.46
221,0.331,0.333,0.313,342,3.5,4.52,4.14
237,0.325,0.327,0.307,396,6.64,5.81,5.8
253,0.32,0.322,0.302,459,9.29,6.48,7.11
285,0.31,0.312,0.291,531,10.6,6.46,7.83
317,0.3,0.302,0.28,615,10.4,5.9,7.83
349,0.291,0.292,0.271,712,8.68,4.99,7.14
381,0.282,0.282,0.262,825,6.15,3.97,5.92
413,0.273,0.274,0.254,955,3.51,3.03,4.4
445,0.265,0.267,0.246,1.11E+03,1.42,2.3,2.85
477,0.256,0.26,0.238,1.28E+03,0.27,1.84,1.52
509,0.248,0.252,0.231,1.48E+03,0,1.64,0.589
573,0.235,0.238,0.217,1.72E+03,0,1.66,0.112
637,0.22,0.227,0.206,1.99E+03,0,1.81,0
701,0.208,0.215,0.194,2.30E+03,0,2,0
765,0.196,0.203,0.182,2.67E+03,0,2.17,0
829,0.184,0.19,0.172,3.09E+03,0,2.24,0.162
893,0.174,0.18,0.163,3.58E+03,0.135,2.18,0.561
957,0.165,0.171,0.154,4.15E+03,0.662,2,1.15
1.02E+03,0.157,0.162,0.146,4.80E+03,1.52,1.71,1.79
1.15E+03,0.14,0.146,0.13,5.56E+03,2.43,1.35,2.31
