X Lag Time,Record 1: JJ1_50mg_200rpm_10-00min_PM_No4_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_PM_No4_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_PM_No4_230705 3,X Intensity,Record 1: JJ1_50mg_200rpm_10-00min_PM_No4_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_PM_No4_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_PM_No4_230705 3
0.5,0.8,0.806,0.807,0.4,0,0,0
1,0.8,0.804,0.807,0.463,0,0,0
1.5,0.793,0.799,0.802,0.536,0,0,0
2,0.79,0.794,0.796,0.621,0,0,0
2.5,0.788,0.791,0.795,0.719,0,0,0
3,0.784,0.789,0.794,0.833,0,0,0
3.5,0.785,0.788,0.789,0.965,0,0,0
4,0.779,0.784,0.788,1.12,0,0,0
4.5,0.778,0.782,0.784,1.29,0,0,0
5.5,0.77,0.778,0.781,1.5,0,0,0
6.5,0.768,0.771,0.776,1.74,0,0,0
7.5,0.763,0.766,0.772,2.01,0,0,0
8.5,0.758,0.763,0.765,2.33,0,0,0
9.5,0.758,0.76,0.763,2.7,0,0,0
10.5,0.751,0.756,0.759,3.12,0,0,0
11.5,0.749,0.753,0.753,3.62,0,0,0
12.5,0.744,0.748,0.749,4.19,0,0,0
14.5,0.738,0.744,0.743,4.85,0,0,0
16.5,0.732,0.736,0.737,5.61,0,0,0
18.5,0.725,0.729,0.728,6.5,0,0,0
20.5,0.721,0.724,0.723,7.53,0,0,0
22.5,0.712,0.718,0.717,8.72,0,0,0
24.5,0.708,0.715,0.713,10.1,2.59,1.65,0.767
26.5,0.703,0.708,0.708,11.7,6.11,5.32,6.35
28.5,0.698,0.704,0.702,13.5,3.42,4,6.2
32.5,0.689,0.694,0.692,15.7,0,0,0.279
36.5,0.681,0.685,0.684,18.2,0,0,0
40.5,0.674,0.678,0.675,21,0,0,0
44.5,0.666,0.672,0.667,24.4,0,0,0
48.5,0.661,0.665,0.66,28.2,0,0,0
52.5,0.654,0.66,0.656,32.7,0,0,0
56.5,0.648,0.654,0.65,37.8,0,0,0
60.5,0.644,0.649,0.645,43.8,0,0,0
68.5,0.635,0.64,0.635,50.7,0,0,0
76.5,0.628,0.634,0.626,58.8,0,0,0
84.5,0.62,0.628,0.619,68.1,0,0,0
92.5,0.614,0.621,0.613,78.8,0,0,0
101,0.608,0.616,0.608,91.3,0,0,0
109,0.605,0.61,0.603,106,0,0,0
117,0.6,0.607,0.599,122,0,0,0
125,0.597,0.604,0.596,142,0,0,0
141,0.59,0.598,0.589,164,0,0,0
157,0.584,0.591,0.583,190,0,0,0
173,0.58,0.587,0.579,220,0,0,0
189,0.575,0.583,0.574,255,0,0,0
205,0.572,0.578,0.569,295,0,0,0
221,0.567,0.574,0.565,342,0,0,0
237,0.564,0.572,0.562,396,0,0,0
253,0.561,0.568,0.558,459,0,0,0
285,0.554,0.56,0.551,531,0,0,0
317,0.548,0.553,0.544,615,0,0,0
349,0.541,0.547,0.537,712,0,0,0
381,0.534,0.541,0.53,825,0,0,1.62
413,0.527,0.534,0.525,955,8.6,1.59,10.7
445,0.521,0.527,0.518,1.11E+03,20.2,9.99,20.3
477,0.513,0.52,0.511,1.28E+03,25.4,19.3,23.4
509,0.506,0.513,0.504,1.48E+03,21,23.3,18.6
573,0.492,0.5,0.49,1.72E+03,10.7,19.8,9.55
637,0.479,0.486,0.477,1.99E+03,2.07,11.5,2.14
701,0.466,0.472,0.464,2.30E+03,0,3.5,0
765,0.452,0.459,0.451,2.67E+03,0,0,0
829,0.438,0.445,0.437,3.09E+03,0,0,0
893,0.424,0.433,0.424,3.58E+03,0,0,0
957,0.411,0.419,0.411,4.15E+03,0,0,0
1.02E+03,0.398,0.406,0.399,4.80E+03,0,0,0
1.15E+03,0.372,0.382,0.374,5.56E+03,0,0,0
1.28E+03,0.349,0.358,0.35,6.44E+03,0,0,0
1.40E+03,0.325,0.335,0.328,7.46E+03,0,0,0
1.53E+03,0.303,0.313,0.307,8.63E+03,0,0,0
1.66E+03,0.283,0.291,0.288,,,,
1.79E+03,0.265,0.272,0.269,,,,
1.92E+03,0.246,0.254,0.252,,,,
2.04E+03,0.23,0.238,0.238,,,,
2.30E+03,0.2,0.21,0.211,,,,
2.56E+03,0.174,0.187,0.188,,,,
2.81E+03,0.152,0.168,0.17,,,,
3.07E+03,0.134,0.15,0.155,,,,
3.32E+03,0.12,0.135,0.14,,,,
3.58E+03,0.107,0.123,0.129,,,,
3.84E+03,0.0975,0.112,0.119,,,,
4.09E+03,0.09,0.103,0.112,,,,
4.60E+03,0.0782,0.0885,0.0988,,,,
5.12E+03,0.0708,0.0762,0.0883,,,,
5.63E+03,0.0674,0.0647,0.076,,,,
6.14E+03,0.0638,0.0563,0.0642,,,,
6.65E+03,0.0615,0.0488,0.0539,,,,
7.16E+03,0.0594,0.0412,0.0464,,,,
7.68E+03,0.0549,0.0358,0.0413,,,,
8.19E+03,0.0511,0.0323,0.0392,,,,
9.21E+03,0.0428,0.029,0.0395,,,,
1.02E+04,0.0373,0.0269,0.0423,,,,
1.13E+04,0.0348,0.027,0.0404,,,,
1.23E+04,0.0345,0.0268,0.0344,,,,
1.33E+04,0.0373,0.0248,0.0308,,,,
1.43E+04,0.0349,0.0162,0.028,,,,
1.54E+04,0.0278,0.0104,0.0238,,,,
1.64E+04,0.0215,0.00883,0.0168,,,,
1.84E+04,0.0199,0.00982,0.0132,,,,
2.05E+04,0.0164,0.0114,0.0172,,,,
2.25E+04,0.014,0.0131,0.0155,,,,
2.46E+04,0.0154,0.0165,0.00798,,,,
2.66E+04,0.0111,0.0129,0.00885,,,,
2.87E+04,0.00698,0.00982,0.0095,,,,
3.07E+04,0.00846,0.0127,0.005,,,,
3.28E+04,0.0144,0.0111,0.00233,,,,
3.69E+04,0.0235,0.0192,0.00173,,,,
4.10E+04,0.0141,0.0176,0.00357,,,,
4.51E+04,0.0108,0.0126,0.00446,,,,
4.91E+04,0.00896,0.00909,0.00762,,,,
5.32E+04,0.00485,0.0145,0.012,,,,
5.73E+04,0.00822,0.0175,0.00933,,,,
6.14E+04,0.00809,0.0183,0.00747,,,,
6.55E+04,0.0105,0.0115,0.0136,,,,
7.37E+04,0.0196,0.00273,0.0151,,,,
8.19E+04,0.00485,0.00802,0.00649,,,,
9.01E+04,0.00532,0.00551,0.00318,,,,
9.83E+04,0.00622,0.00968,0.0037,,,,
1.06E+05,0.00749,0.00686,0.00294,,,,
1.15E+05,0.00972,0.00589,0.00463,,,,
1.23E+05,0.00941,0.00653,0.0102,,,,
1.31E+05,0.0104,0.00808,0.00547,,,,
1.47E+05,0.00601,0.00338,0.00325,,,,
1.64E+05,0.00216,0.00465,0.00332,,,,
1.80E+05,0.00197,0.000641,0.000647,,,,
1.97E+05,0.00193,0.00338,0.00473,,,,
2.13E+05,7.95E-05,0.00403,0.00261,,,,
2.29E+05,0.0028,0.00405,0.00601,,,,
2.46E+05,0.00226,0.000565,0.00572,,,,
2.62E+05,0.00188,0.00325,0.00258,,,,
2.95E+05,0.00353,7.08E-05,0.00144,,,,
3.28E+05,4.02E-05,0.00413,0.00449,,,,
3.60E+05,0.00505,0.00395,0.00294,,,,
3.93E+05,0.00822,0.00132,0,,,,
4.26E+05,0.00173,0.00558,0.00797,,,,
4.59E+05,0.00209,0.00305,0.00339,,,,
4.92E+05,0.00688,0.00396,0.00313,,,,
5.24E+05,0.00433,0.00202,0.00585,,,,
5.90E+05,0.00169,0.0031,0.00361,,,,
6.55E+05,0.00191,0.00191,0.00653,,,,
7.21E+05,0.00233,0.00255,0.00195,,,,
7.86E+05,0.00332,0.00447,0.00254,,,,
8.52E+05,0.00556,6.60E-05,0.000248,,,,
9.18E+05,0.00242,0.00296,0.000295,,,,
9.83E+05,0.0011,0.00377,0.00225,,,,
1.05E+06,0.00548,0.00313,0.0014,,,,
1.18E+06,0.0069,0.00366,0.00448,,,,
1.31E+06,0.0036,0,0.00434,,,,
1.44E+06,0.0057,0.00419,0.00459,,,,
1.57E+06,0.00452,0.00319,0.00722,,,,
1.70E+06,0.00113,0.000915,0.00307,,,,
1.84E+06,0.0021,0.00234,0.00503,,,,
1.97E+06,0.00907,0.00346,0.00626,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
