X Lag Time,Record 1: BVs_3e10_000rpm_00-00min_NA_No1_230907 1,Record 2: BVs_3e10_000rpm_00-00min_NA_No1_230907 2,Record 3: BVs_3e10_000rpm_00-00min_NA_No1_230907 3,X Intensity,Record 1: BVs_3e10_000rpm_00-00min_NA_No1_230907 1,Record 2: BVs_3e10_000rpm_00-00min_NA_No1_230907 2,Record 3: BVs_3e10_000rpm_00-00min_NA_No1_230907 3
0.5,0.883,0.885,0.894,0.4,0,0,0
1,0.888,0.892,0.9,0.463,0,0,0
1.5,0.886,0.887,0.899,0.536,0,0,0
2,0.883,0.888,0.896,0.621,0,0,0
2.5,0.884,0.886,0.894,0.719,0,0,0
3,0.882,0.884,0.892,0.833,0,0,0
3.5,0.88,0.884,0.891,0.965,0,0,0
4,0.877,0.881,0.89,1.12,0,0,0
4.5,0.876,0.88,0.888,1.29,0,0,0
5.5,0.872,0.877,0.885,1.5,0,0,0
6.5,0.87,0.873,0.881,1.74,0,0,0
7.5,0.866,0.868,0.878,2.01,0,0,0
8.5,0.863,0.866,0.875,2.33,0,0,0
9.5,0.859,0.862,0.871,2.7,0,0,0
10.5,0.856,0.86,0.869,3.12,0,0,0
11.5,0.852,0.855,0.864,3.62,0,0,0
12.5,0.849,0.851,0.861,4.19,0,0,0
14.5,0.843,0.845,0.855,4.85,0,0,0
16.5,0.836,0.838,0.848,5.61,0,0,0
18.5,0.83,0.832,0.841,6.5,0,0,0
20.5,0.823,0.825,0.835,7.53,0,0,0
22.5,0.817,0.819,0.828,8.72,0,0,0
24.5,0.811,0.812,0.822,10.1,0,0,0
26.5,0.804,0.806,0.815,11.7,0,0,0
28.5,0.798,0.8,0.809,13.5,0,0,0
32.5,0.786,0.788,0.797,15.7,0,0,0
36.5,0.774,0.776,0.785,18.2,0,0,0
40.5,0.762,0.764,0.773,21,0,0,0
44.5,0.75,0.752,0.762,24.4,0,0,0
48.5,0.739,0.74,0.751,28.2,0,0,0
52.5,0.728,0.729,0.739,32.7,0,0,0
56.5,0.717,0.717,0.728,37.8,0,0,0
60.5,0.706,0.707,0.717,43.8,0,0,0
68.5,0.685,0.685,0.696,50.7,0,0,0
76.5,0.665,0.665,0.676,58.8,0,0,0
84.5,0.645,0.646,0.656,68.1,0.501,0.438,0.23
92.5,0.626,0.626,0.637,78.8,1.97,1.77,1.56
101,0.608,0.608,0.619,91.3,4.28,3.96,3.95
109,0.59,0.59,0.601,106,6.99,6.64,6.89
117,0.573,0.573,0.582,122,9.55,9.3,9.73
125,0.557,0.557,0.566,142,11.5,11.5,11.9
141,0.525,0.524,0.535,164,12.5,12.7,13
157,0.495,0.495,0.504,190,12.4,12.9,12.9
173,0.468,0.467,0.476,220,11.3,11.9,11.7
189,0.441,0.441,0.45,255,9.47,10.1,9.66
205,0.417,0.417,0.425,295,7.2,7.75,7.18
221,0.394,0.393,0.402,342,4.86,5.22,4.68
237,0.373,0.372,0.38,396,2.79,2.95,2.54
253,0.353,0.352,0.36,459,1.24,1.26,1.02
285,0.317,0.315,0.323,531,0.332,0.299,0.215
317,0.284,0.282,0.29,615,0,0,0
349,0.256,0.253,0.261,712,0,0,0
381,0.23,0.228,0.235,825,0,0,0
413,0.207,0.205,0.212,955,0,0,0
445,0.187,0.184,0.191,1.11E+03,0,0,0
477,0.17,0.166,0.173,1.28E+03,0,0,0
509,0.154,0.151,0.158,1.48E+03,0,0,0
573,0.128,0.124,0.131,1.72E+03,0,0,0
637,0.107,0.103,0.11,1.99E+03,0,0,0
701,0.0895,0.0861,0.0919,2.30E+03,0,0,0
765,0.0756,0.0727,0.0773,2.67E+03,0.0403,0,0.00642
829,0.064,0.0617,0.0653,3.09E+03,0.171,0,0.105
893,0.0548,0.0518,0.0551,3.58E+03,0.386,0.0259,0.308
957,0.0468,0.0435,0.0472,4.15E+03,0.643,0.172,0.576
1.02E+03,0.0403,0.0372,0.0407,4.80E+03,0.882,0.423,0.843
1.15E+03,0.0306,0.0269,0.031,5.56E+03,1.04,0.698,1.03
1.28E+03,0.0243,0.0192,0.0243,6.44E+03,0,0,0
1.40E+03,0.0207,0.0151,0.0207,7.46E+03,0,0,0
1.53E+03,0.0179,0.0133,0.0188,8.63E+03,0,0,0
1.66E+03,0.0155,0.0115,0.0167,,,,
1.79E+03,0.0124,0.011,0.0144,,,,
1.92E+03,0.0105,0.00978,0.0122,,,,
2.04E+03,0.00871,0.00818,0.0117,,,,
