X Lag Time,Record 1: BVs_3e10_300rpm_40-00min_ST_No1_230908 1,Record 2: BVs_3e10_300rpm_40-00min_ST_No1_230908 2,Record 3: BVs_3e10_300rpm_40-00min_ST_No1_230908 3,X Intensity,Record 1: BVs_3e10_300rpm_40-00min_ST_No1_230908 1,Record 2: BVs_3e10_300rpm_40-00min_ST_No1_230908 2,Record 3: BVs_3e10_300rpm_40-00min_ST_No1_230908 3
0.5,0.86,0.865,0.847,0.4,0,0,0
1,0.865,0.867,0.851,0.463,0,0,0
1.5,0.865,0.869,0.85,0.536,0,0,0
2,0.863,0.865,0.849,0.621,0,0,0
2.5,0.863,0.865,0.848,0.719,0,0,0
3,0.863,0.862,0.847,0.833,0,0,0
3.5,0.86,0.862,0.847,0.965,0,0,0
4,0.86,0.862,0.847,1.12,0,0,0
4.5,0.86,0.86,0.845,1.29,0,0,0
5.5,0.858,0.858,0.843,1.5,0,0,0
6.5,0.855,0.857,0.841,1.74,0,0,0
7.5,0.853,0.855,0.84,2.01,0,0,0
8.5,0.853,0.853,0.838,2.33,0,0,0
9.5,0.85,0.85,0.835,2.7,0,0,0
10.5,0.848,0.847,0.833,3.12,0,0,0
11.5,0.845,0.846,0.832,3.62,0,0,0
12.5,0.843,0.844,0.83,4.19,0,0,0
14.5,0.838,0.84,0.826,4.85,0,0,0
16.5,0.835,0.836,0.822,5.61,0,0,0
18.5,0.831,0.831,0.818,6.5,0,0,0
20.5,0.828,0.827,0.814,7.53,0,0,0
22.5,0.823,0.823,0.811,8.72,0,0,0
24.5,0.82,0.82,0.808,10.1,0,0,0
26.5,0.815,0.816,0.803,11.7,0,0,0
28.5,0.811,0.811,0.8,13.5,0,0,0
32.5,0.804,0.804,0.793,15.7,0,0,0
36.5,0.796,0.796,0.785,18.2,0,0,0
40.5,0.788,0.789,0.779,21,0,0,0
44.5,0.781,0.781,0.771,24.4,0,0,0
48.5,0.774,0.773,0.765,28.2,0,0,0
52.5,0.766,0.766,0.758,32.7,0,0,0
56.5,0.759,0.759,0.751,37.8,0,0,0
60.5,0.752,0.752,0.745,43.8,0,0,0
68.5,0.738,0.738,0.732,50.7,0,0,0
76.5,0.725,0.724,0.719,58.8,0.0735,0,0
84.5,0.712,0.711,0.706,68.1,0.593,0.955,0.335
92.5,0.7,0.698,0.694,78.8,1.5,2.46,1.64
101,0.687,0.685,0.683,91.3,2.58,3.81,3.3
109,0.675,0.673,0.671,106,3.64,4.53,4.55
117,0.664,0.661,0.66,122,4.53,4.58,5.01
125,0.652,0.65,0.649,142,5.23,4.21,4.72
141,0.63,0.627,0.628,164,5.74,3.77,4.07
157,0.609,0.606,0.608,190,6.11,3.59,3.55
173,0.588,0.586,0.589,220,6.4,3.88,3.55
189,0.569,0.566,0.571,255,6.63,4.65,4.21
205,0.551,0.548,0.553,295,6.8,5.77,5.45
221,0.533,0.53,0.536,342,6.88,6.99,6.96
237,0.516,0.513,0.52,396,6.84,8.02,8.3
253,0.5,0.498,0.505,459,6.61,8.6,9.09
285,0.47,0.468,0.476,531,6.17,8.55,9.07
317,0.443,0.44,0.45,615,5.5,7.81,8.15
349,0.418,0.415,0.426,712,4.61,6.48,6.51
381,0.395,0.392,0.404,825,3.57,4.76,4.47
413,0.373,0.371,0.383,955,2.48,2.97,2.48
445,0.353,0.351,0.364,1.11E+03,1.48,1.43,0.951
477,0.335,0.333,0.345,1.28E+03,0.677,0.409,0.144
509,0.318,0.317,0.329,1.48E+03,0.182,0,0
573,0.288,0.286,0.299,1.72E+03,0,0,0
637,0.262,0.26,0.273,1.99E+03,0,0,0
701,0.239,0.237,0.251,2.30E+03,0,0,0
765,0.22,0.217,0.231,2.67E+03,0,0,0
829,0.202,0.2,0.213,3.09E+03,0,0,0
893,0.187,0.184,0.198,3.58E+03,0.169,0,0
957,0.173,0.17,0.184,4.15E+03,0.728,0,0.237
1.02E+03,0.161,0.157,0.171,4.80E+03,1.63,0.446,1.03
