X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No3_230911 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No3_230911 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No3_230911 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No3_230911 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No3_230911 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No3_230911 3
0.5,0.898,0.9,0.901,0.4,0,0,0
1,0.905,0.904,0.908,0.463,0,0,0
1.5,0.902,0.903,0.903,0.536,0,0,0
2,0.896,0.9,0.898,0.621,0,0,0
2.5,0.897,0.899,0.898,0.719,0,0,0
3,0.893,0.898,0.896,0.833,0,0,0
3.5,0.889,0.895,0.894,0.965,0,0,0
4,0.89,0.888,0.892,1.12,0,0,0
4.5,0.888,0.888,0.889,1.29,0,0,0
5.5,0.883,0.884,0.885,1.5,0,0,0
6.5,0.877,0.879,0.881,1.74,0,0,0
7.5,0.873,0.875,0.876,2.01,0,0,0
8.5,0.869,0.872,0.87,2.33,0,0,0
9.5,0.865,0.866,0.868,2.7,0,0,0
10.5,0.86,0.861,0.862,3.12,0,0,0
11.5,0.855,0.857,0.857,3.62,0,0,0
12.5,0.851,0.852,0.853,4.19,0,0,0
14.5,0.843,0.845,0.845,4.85,0,0,0
16.5,0.832,0.834,0.836,5.61,0,0,0
18.5,0.825,0.826,0.827,6.5,0,0,0
20.5,0.815,0.819,0.818,7.53,0,0,0
22.5,0.808,0.811,0.81,8.72,0,0,0
24.5,0.8,0.799,0.802,10.1,0,0,0
26.5,0.791,0.794,0.794,11.7,0,0,0
28.5,0.782,0.786,0.787,13.5,0,0,0
32.5,0.766,0.77,0.771,15.7,0,0,0
36.5,0.749,0.755,0.756,18.2,0,0,0
40.5,0.736,0.74,0.741,21,0,0.147,0.136
44.5,0.721,0.725,0.727,24.4,0,0.387,0.507
48.5,0.707,0.711,0.712,28.2,0.174,0.537,0.775
