X Lag Time,Record 1: EVs_3e10_BSA_010mg_000rpm_00-00min_NA_No1_230831 1,Record 2: EVs_3e10_BSA_010mg_000rpm_00-00min_NA_No1_230831 2,Record 3: EVs_3e10_BSA_010mg_000rpm_00-00min_NA_No1_230831 3,X Intensity,Record 1: EVs_3e10_BSA_010mg_000rpm_00-00min_NA_No1_230831 1,Record 2: EVs_3e10_BSA_010mg_000rpm_00-00min_NA_No1_230831 2,Record 3: EVs_3e10_BSA_010mg_000rpm_00-00min_NA_No1_230831 3
0.5,0.888,0.892,0.891,0.4,0,0,0
1,0.877,0.881,0.88,0.463,0,0,0
1.5,0.854,0.858,0.861,0.536,0,0,0
2,0.836,0.84,0.84,0.621,0,0,0
2.5,0.818,0.821,0.824,0.719,0,0,0
3,0.798,0.805,0.805,0.833,0,0,0
3.5,0.783,0.787,0.785,0.965,0,0,0
4,0.766,0.771,0.771,1.12,0,0,0
4.5,0.75,0.754,0.755,1.29,0,0,0
5.5,0.718,0.724,0.724,1.5,0,0,0
6.5,0.687,0.692,0.692,1.74,0,0,0
7.5,0.66,0.666,0.667,2.01,0,0,0
8.5,0.634,0.64,0.639,2.33,0,0,0
9.5,0.608,0.614,0.614,2.7,0,0,0
10.5,0.585,0.59,0.591,3.12,0,0,0
11.5,0.561,0.569,0.569,3.62,0,0,0
12.5,0.541,0.549,0.548,4.19,0,0,0
14.5,0.501,0.509,0.508,4.85,0.51,0.327,0
16.5,0.464,0.473,0.472,5.61,2.3,2.09,1.48
18.5,0.432,0.44,0.44,6.5,4.8,4.78,4.33
20.5,0.403,0.412,0.411,7.53,7.2,7.43,7.49
22.5,0.376,0.386,0.385,8.72,8.85,9.25,9.88
24.5,0.353,0.361,0.36,10.1,9.47,9.85,10.8
26.5,0.331,0.34,0.338,11.7,9.1,9.25,10.2
28.5,0.312,0.321,0.319,13.5,7.96,7.76,8.41
32.5,0.277,0.287,0.285,15.7,6.37,5.79,5.93
36.5,0.248,0.258,0.256,18.2,4.65,3.78,3.45
40.5,0.223,0.233,0.23,21,3.05,2.07,1.51
44.5,0.202,0.212,0.21,24.4,1.76,0.854,0.377
48.5,0.184,0.193,0.192,28.2,0.858,0.208,0
52.5,0.169,0.178,0.176,32.7,0.369,0.0902,0
56.5,0.155,0.164,0.163,37.8,0.251,0.385,0.0294
60.5,0.144,0.153,0.152,43.8,0.43,0.943,0.302
68.5,0.125,0.134,0.132,50.7,0.813,1.62,0.851
76.5,0.109,0.119,0.117,58.8,1.31,2.27,1.6
84.5,0.097,0.107,0.106,68.1,1.82,2.82,2.41
92.5,0.0872,0.0971,0.0959,78.8,2.3,3.19,3.16
101,0.0789,0.0889,0.0875,91.3,2.67,3.37,3.72
109,0.0729,0.0819,0.0806,106,2.92,3.35,4.03
117,0.0674,0.0758,0.0746,122,3.02,3.17,4.05
125,0.0633,0.0707,0.0699,142,2.99,2.86,3.8
141,0.0555,0.0618,0.0618,164,2.84,2.46,3.34
157,0.0498,0.0548,0.0553,190,2.59,2.02,2.73
173,0.0452,0.0497,0.0492,220,2.27,1.57,2.05
189,0.0408,0.0453,0.0448,255,1.9,1.15,1.4
205,0.0366,0.0415,0.0405,295,1.52,0.784,0.837
221,0.0328,0.0382,0.0373,342,1.16,0.486,0.411
237,0.0302,0.035,0.034,396,0.828,0.263,0.143
253,0.0281,0.0332,0.0315,459,0.547,0.114,0.0207
285,0.0245,0.0281,0.0269,531,0.326,0.0313,0
317,0.0215,0.0251,0.0228,615,0.166,0,0
349,0.019,0.0229,0.0198,712,0.0657,0,0
381,0.0162,0.0201,0.0179,825,0.0153,0.00857,0
413,0.0131,0.0167,0.0162,955,0,0.0294,0
445,0.0119,0.0157,0.0144,1.11E+03,0,0.0634,0
477,0.0099,0.0152,0.0124,1.28E+03,0,0.109,0
509,0.00879,0.0135,0.011,1.48E+03,0,0.164,0
573,0.00735,0.0105,0.00838,1.72E+03,0,0.223,0
637,0.00612,0.00828,0.00715,1.99E+03,0,0.282,0.00212
701,0.00557,0.00706,0.00623,2.30E+03,0,0.337,0.0205
765,0.00433,0.00582,0.00558,2.67E+03,0,0.383,0.0591
829,0.00457,0.00414,0.00507,3.09E+03,0,0.416,0.114
893,0.0036,0.00356,0.00506,3.58E+03,0,0.431,0.176
957,0.00237,0.00392,0.00443,4.15E+03,0,0.428,0.235
1.02E+03,0.00158,0.00318,0.00357,4.80E+03,0,0.403,0.277
