X Lag Time,Record 1: EVs_3e10_BSA_010mg_300rpm_20-00min_ST_No1_230831 1,Record 2: EVs_3e10_BSA_010mg_300rpm_20-00min_ST_No1_230831 2,Record 3: EVs_3e10_BSA_010mg_300rpm_20-00min_ST_No1_230831 3,X Intensity,Record 1: EVs_3e10_BSA_010mg_300rpm_20-00min_ST_No1_230831 1,Record 2: EVs_3e10_BSA_010mg_300rpm_20-00min_ST_No1_230831 2,Record 3: EVs_3e10_BSA_010mg_300rpm_20-00min_ST_No1_230831 3
0.5,0.849,0.854,0.854,0.4,0,0,0
1,0.854,0.859,0.857,0.463,0,0,0
1.5,0.849,0.853,0.853,0.536,0,0,0
2,0.845,0.849,0.849,0.621,0,0,0
2.5,0.84,0.847,0.845,0.719,0,0,0
3,0.838,0.842,0.841,0.833,0,0,0
3.5,0.834,0.838,0.837,0.965,0,0,0
4,0.831,0.834,0.834,1.12,0,0,0
4.5,0.827,0.831,0.83,1.29,0,0,0
5.5,0.82,0.824,0.823,1.5,0,0,0
6.5,0.814,0.817,0.817,1.74,0,0,0
7.5,0.808,0.811,0.81,2.01,0,0,0
8.5,0.801,0.804,0.803,2.33,0,0,0
9.5,0.795,0.798,0.797,2.7,0,0,0
10.5,0.788,0.792,0.791,3.12,0,0,0
11.5,0.783,0.786,0.785,3.62,0,0,0
12.5,0.778,0.779,0.779,4.19,0,0,0
14.5,0.766,0.769,0.767,4.85,0.0855,0,0.0662
16.5,0.756,0.757,0.756,5.61,0.533,0.217,0.429
18.5,0.746,0.747,0.746,6.5,1.04,0.721,0.885
20.5,0.737,0.737,0.736,7.53,1.28,1.21,1.19
22.5,0.727,0.728,0.727,8.72,1.17,1.46,1.22
24.5,0.719,0.719,0.718,10.1,0.796,1.42,1.04
26.5,0.71,0.71,0.71,11.7,0.398,1.18,0.784
28.5,0.702,0.702,0.701,13.5,0.191,0.869,0.621
32.5,0.687,0.686,0.685,15.7,0.287,0.587,0.641
36.5,0.672,0.671,0.671,18.2,0.655,0.391,0.827
40.5,0.659,0.657,0.657,21,1.14,0.295,1.07
44.5,0.646,0.644,0.644,24.4,1.54,0.29,1.21
48.5,0.634,0.632,0.631,28.2,1.68,0.352,1.16
52.5,0.623,0.621,0.62,32.7,1.48,0.458,0.888
56.5,0.612,0.609,0.608,37.8,1.02,0.589,0.502
60.5,0.602,0.599,0.598,43.8,0.495,0.736,0.161
68.5,0.582,0.579,0.578,50.7,0.117,0.908,0
76.5,0.564,0.56,0.559,58.8,0,1.13,0
84.5,0.546,0.543,0.542,68.1,0,1.44,0
92.5,0.53,0.527,0.526,78.8,0,1.89,0.238
101,0.515,0.512,0.511,91.3,0.401,2.51,1.18
109,0.501,0.497,0.496,106,1.63,3.3,2.92
117,0.487,0.483,0.482,122,3.67,4.24,5.23
125,0.475,0.47,0.469,142,6.23,5.26,7.69
141,0.45,0.445,0.444,164,8.79,6.27,9.83
157,0.428,0.422,0.422,190,10.8,7.17,11.2
173,0.407,0.401,0.4,220,12,7.82,11.6
189,0.388,0.382,0.381,255,11.9,8.16,10.9
205,0.369,0.363,0.362,295,10.7,8.1,9.2
221,0.352,0.346,0.345,342,8.6,7.65,6.94
237,0.336,0.33,0.329,396,6.03,6.82,4.52
253,0.321,0.314,0.314,459,3.5,5.71,2.37
285,0.294,0.287,0.286,531,1.5,4.43,0.85
317,0.269,0.262,0.261,615,0.337,3.12,0.11
349,0.246,0.239,0.238,712,0,1.93,0
381,0.226,0.219,0.218,825,0,0.979,0
413,0.209,0.201,0.201,955,0,0.349,0
445,0.192,0.184,0.184,1.11E+03,0,0.0503,0
477,0.178,0.17,0.169,1.28E+03,0,0,0
509,0.164,0.157,0.156,1.48E+03,0,0,0
573,0.14,0.134,0.132,1.72E+03,0,0,0
637,0.12,0.115,0.113,1.99E+03,0,0,0
701,0.103,0.0993,0.0968,2.30E+03,0,0,0
765,0.0885,0.0854,0.0831,2.67E+03,0,0,0
829,0.0764,0.0739,0.0721,3.09E+03,0,0,0
893,0.0661,0.0641,0.0629,3.58E+03,0,0,0.134
957,0.0578,0.0557,0.0543,4.15E+03,0,0,0.435
1.02E+03,0.0504,0.0486,0.0474,4.80E+03,0,0,0.83
1.15E+03,0.0387,0.0369,0.0368,5.56E+03,0,0,1.19
1.28E+03,0.0304,0.0287,0.0294,6.44E+03,0,0,0
1.40E+03,0.0245,0.0234,0.0237,7.46E+03,0,0,0
1.53E+03,0.0196,0.0186,0.0194,8.63E+03,0,0,0
1.66E+03,0.0163,0.0146,0.0158,,,,
1.79E+03,0.0137,0.0116,0.0132,,,,
1.92E+03,0.012,0.01,0.0121,,,,
2.04E+03,0.0112,0.00894,0.0117,,,,
2.30E+03,0.0103,0.00604,0.0103,,,,
2.56E+03,0.00796,0.00379,0.00955,,,,
2.81E+03,0.00689,0.00276,0.011,,,,
3.07E+03,0.00665,0.00178,0.0108,,,,
3.32E+03,0.00606,0.00149,0.00976,,,,
3.58E+03,0.00566,0.00196,0.00938,,,,
3.84E+03,0.00592,0.0015,0.00861,,,,
4.09E+03,0.00585,0.00156,0.00676,,,,
4.60E+03,0.00674,0.00174,0.00417,,,,
5.12E+03,0.00678,0.00171,0.0042,,,,
5.63E+03,0.00589,0.00166,0.00388,,,,
6.14E+03,0.00682,0.00175,0.00376,,,,
6.65E+03,0.00662,0.00161,0.00339,,,,
7.16E+03,0.00587,0.00194,0.00263,,,,
7.68E+03,0.00353,0.00124,0.00548,,,,
8.19E+03,0.00424,0.00186,0.00578,,,,
9.21E+03,0.00684,0.00167,0.00379,,,,
1.02E+04,0.00515,0.0019,0.00435,,,,
1.13E+04,0.00452,0.00317,0.00291,,,,
1.23E+04,0.00317,0.00304,0.00265,,,,
1.33E+04,0.00311,0.00248,0.00214,,,,
1.43E+04,0.00459,0.00118,0.00243,,,,
1.54E+04,0.00554,0.00295,0.00317,,,,
1.64E+04,0.00521,0.00321,0.00149,,,,
1.84E+04,0.00187,0.0028,0.00121,,,,
2.05E+04,0.00256,0.00143,0.00178,,,,
2.25E+04,0.0037,0.00158,0.0027,,,,
2.46E+04,0.00432,0.00176,0.00267,,,,
2.66E+04,0.00349,0.00224,0.00251,,,,
2.87E+04,0.00326,0.00257,0.00236,,,,
3.07E+04,0.00407,0.00205,0.00364,,,,
3.28E+04,0.00318,0.00445,0.00301,,,,
3.69E+04,0.0038,0.00313,0.00194,,,,
4.10E+04,0.00216,0.00227,0.00249,,,,
4.51E+04,0.00318,0.00103,0.00157,,,,
4.91E+04,0.00334,0.00185,0.00287,,,,
5.32E+04,0.00309,0.00256,0.00268,,,,
5.73E+04,0.00289,0.00223,0.00257,,,,
6.14E+04,0.00274,0.00165,0.00242,,,,
6.55E+04,0.0023,0.0019,0.00237,,,,
7.37E+04,0.00328,0.000521,0.00163,,,,
8.19E+04,0.00299,0.00174,0.0019,,,,
9.01E+04,0.00231,0.000521,0.00111,,,,
9.83E+04,0.00222,0.00069,0.00252,,,,
1.06E+05,0.00195,0.000314,0.00154,,,,
1.15E+05,0.00276,0.000816,0.00187,,,,
1.23E+05,0.00232,0.00136,0.00194,,,,
1.31E+05,0.00261,0.00115,0.00197,,,,
1.47E+05,0.00163,0.00151,0.00225,,,,
1.64E+05,0.00107,0.00133,0.00109,,,,
1.80E+05,0.00148,0.00063,0.00132,,,,
1.97E+05,0.00138,0.000124,0.00192,,,,
2.13E+05,0.00252,0.000585,0.00169,,,,
2.29E+05,0.00121,0.00092,0.00105,,,,
2.46E+05,0.00162,0.000457,0.00108,,,,
2.62E+05,0.000996,0.000399,0.00157,,,,
2.95E+05,0.000596,0.000478,0.000611,,,,
3.28E+05,0.000848,7.65E-05,0.00156,,,,
3.60E+05,0.00122,0.000678,0.00111,,,,
3.93E+05,0.000556,0.000346,0.0012,,,,
4.26E+05,0.00175,6.64E-05,0.00126,,,,
4.59E+05,0.00118,0.000368,0.00146,,,,
4.92E+05,0.000692,0.000362,0.00177,,,,
5.24E+05,0.000879,0.000534,0.00215,,,,
5.90E+05,0.00229,0.000374,0.00123,,,,
6.55E+05,0.00168,0.000297,0.00108,,,,
7.21E+05,0.00174,0.000174,0.00134,,,,
7.86E+05,0.00207,0.00062,0.00104,,,,
8.52E+05,0.00217,0.000547,0.00115,,,,
9.18E+05,0.00169,0.000799,0.000771,,,,
9.83E+05,0.00177,0.000599,0.0019,,,,
1.05E+06,0.00286,0.000725,0.00094,,,,
1.18E+06,0.00265,0.000707,0.000755,,,,
1.31E+06,0.00208,0.000407,0.00217,,,,
1.44E+06,0.00282,0.000562,0.00154,,,,
1.57E+06,0.00321,0.000314,0.00157,,,,
1.70E+06,0.00286,0.000509,0.00151,,,,
1.84E+06,0.00375,0.000433,0.000969,,,,
1.97E+06,0.00368,0.00031,0.00129,,,,
2.10E+06,0.00223,0.000721,0.00218,,,,
2.36E+06,0.00303,0.00211,0.00167,,,,
2.62E+06,0.00325,0.00199,0.00082,,,,
2.88E+06,0.0035,0.00167,0.0019,,,,
3.15E+06,0.00445,0.00107,0.000901,,,,
3.41E+06,0.0037,0.00268,0.00137,,,,
3.67E+06,0.00401,0.00195,0.00202,,,,
3.93E+06,0.00366,0.000416,0.00194,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
